timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,1.06,1.09,1.06,1.06,1.06,31119,0.0,1.0
2019-07-23,1.07,1.08,1.06,1.06,1.06,48531,0.0,1.0
2019-07-22,1.08,1.1,1.06,1.06,1.06,112992,0.0,1.0
2019-07-19,1.06,1.09,1.06,1.07,1.07,84279,0.0,1.0
2019-07-18,1.06,1.08,1.06,1.07,1.07,119658,0.0,1.0
2019-07-17,1.05,1.08,1.05,1.06,1.06,50981,0.0,1.0
2019-07-16,1.06,1.09,1.04,1.04,1.04,54641,0.0,1.0
2019-07-15,1.05,1.08,1.05,1.05,1.05,38998,0.0,1.0
2019-07-12,1.07,1.0794,1.03,1.05,1.05,296610,0.0,1.0
2019-07-11,1.1,1.1,1.05,1.065,1.065,373451,0.0,1.0
2019-07-10,1.11,1.13,1.0899,1.1,1.1,261077,0.0,1.0
2019-07-09,1.05,1.13,1.05,1.1,1.1,271920,0.0,1.0
2019-07-08,1.08,1.0999,1.05,1.055,1.055,161273,0.0,1.0
2019-07-05,1.08,1.1,1.08,1.09,1.09,38627,0.0,1.0
2019-07-03,1.1,1.11,1.08,1.09,1.09,159779,0.0,1.0
2019-07-02,1.11,1.11,1.1,1.11,1.11,197180,0.0,1.0
2019-07-01,1.13,1.1436,1.1011,1.11,1.11,217761,0.0,1.0
2019-06-28,1.13,1.15,1.1,1.14,1.14,223128,0.0,1.0
2019-06-27,1.17,1.17,1.1,1.13,1.13,312925,0.0,1.0
2019-06-26,1.15,1.19,1.13,1.145,1.145,279985,0.0,1.0
2019-06-25,1.16,1.19,1.07,1.15,1.15,827616,0.0,1.0
2019-06-24,1.27,1.35,1.15,1.16,1.16,2697947,0.0,1.0
2019-06-21,1.18,1.23,1.15,1.22,1.22,498917,0.0,1.0
2019-06-20,1.12,1.19,1.11,1.16,1.16,235091,0.0,1.0
2019-06-19,1.12,1.14,1.11,1.13,1.13,170863,0.0,1.0
2019-06-18,1.13,1.14,1.12,1.12,1.12,89963,0.0,1.0
