timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,72.43,72.43,70.97,71.67,71.67,1710759,0.0,1.0
2019-07-24,69.36,72.41,69.36,72.14,72.14,2505945,0.0,1.0
2019-07-23,67.01,69.76,67.0,69.23,69.23,3492228,0.0,1.0
2019-07-22,69.53,70.14,68.99,69.16,69.16,2302595,0.0,1.0
2019-07-19,69.59,70.25,69.08,69.33,69.33,2923173,0.0,1.0
2019-07-18,70.02,70.165,68.26,69.08,69.08,2439052,0.0,1.0
2019-07-17,72.53,72.53,70.14,70.14,70.14,1996800,0.0,1.0
2019-07-16,71.51,72.68,71.13,72.57,72.57,1707923,0.0,1.0
2019-07-15,72.16,72.41,70.71,71.5,71.5,1833783,0.0,1.0
2019-07-12,71.09,72.18,71.09,72.13,72.13,1283974,0.0,1.0
2019-07-11,70.55,70.84,69.89,70.78,70.78,1055838,0.0,1.0
2019-07-10,70.98,71.48,70.22,70.51,70.51,1286998,0.0,1.0
2019-07-09,70.45,70.72,70.13,70.63,70.63,1274858,0.0,1.0
2019-07-08,70.36,70.91,70.23,70.66,70.66,1124303,0.0,1.0
2019-07-05,70.92,70.92,69.37,70.61,70.61,1298812,0.0,1.0
2019-07-03,71.51,71.74,70.635,71.2,71.2,796510,0.0,1.0
2019-07-02,71.07,71.81,70.98,71.35,71.35,1409649,0.0,1.0
2019-07-01,72.63,72.86,71.36,72.24,72.24,1657605,0.0,1.0
2019-06-28,70.94,71.8636,70.63,71.66,71.66,2644089,0.0,1.0
2019-06-27,71.0,71.33,70.261,70.69,70.69,1167442,0.0,1.0
2019-06-26,71.56,71.88,70.76,70.91,70.91,1157430,0.0,1.0
2019-06-25,71.56,71.89,71.06,71.3,71.3,1088296,0.0,1.0
2019-06-24,71.23,72.01,71.0,71.4,71.4,839751,0.0,1.0
2019-06-21,72.07,72.47,71.3,71.34,71.34,1796042,0.0,1.0
2019-06-20,72.04,72.39,71.58,72.23,72.23,1276353,0.0,1.0
2019-06-19,71.0,71.41,70.5,71.2,71.2,1178566,0.0,1.0
2019-06-18,69.82,71.49,69.64,70.99,70.99,1208145,0.0,1.0
2019-06-17,69.93,70.14,69.11,69.24,69.24,849067,0.0,1.0
2019-06-14,70.0,70.295,69.22,70.02,70.02,837973,0.0,1.0
2019-06-13,69.89,70.2886,69.6,69.97,69.97,832467,0.0,1.0
2019-06-12,69.78,70.0,69.44,69.82,69.82,897024,0.0,1.0
2019-06-11,70.75,71.1,69.75,69.79,69.79,1357304,0.0,1.0
2019-06-10,70.48,70.86,69.92,70.2,70.2,1212217,0.0,1.0
2019-06-07,70.13,70.79,69.6,70.22,70.22,1152720,0.0,1.0
2019-06-06,69.09,69.8,68.66,69.74,69.74,1135648,0.0,1.0
2019-06-05,68.99,69.65,68.16,69.14,69.14,1699998,0.0,1.0
2019-06-04,66.76,68.65,66.61,68.62,68.62,1801559,0.0,1.0
2019-06-03,65.98,66.74,65.84,66.23,66.23,1774979,0.0,1.0
2019-05-31,66.49,67.06,65.78,65.82,65.82,1779903,0.0,1.0
2019-05-30,67.62,68.38,67.62,68.04,68.04,923359,0.0,1.0
2019-05-29,66.57,67.59,66.33,67.51,67.51,1535090,0.0,1.0
2019-05-28,67.71,68.29,67.09,67.1,67.1,1748815,0.0,1.0
2019-05-24,67.48,67.62,67.02,67.56,67.56,1143249,0.0,1.0
2019-05-23,67.49,67.89,66.63,67.06,67.06,2344496,0.0,1.0
2019-05-22,69.94,70.05,68.16,68.18,68.18,1555432,0.0,1.0
2019-05-21,69.84,70.235,69.15,70.15,70.15,1201183,0.0,1.0
2019-05-20,68.77,70.07,68.31,69.32,69.32,1534075,0.0,1.0
2019-05-17,69.49,70.15,68.9,69.24,69.24,1503532,0.0,1.0
2019-05-16,69.47,70.39,69.44,69.89,69.89,1063244,0.0,1.0
2019-05-15,68.02,69.455,67.77,69.17,69.17,1512561,0.0,1.0
2019-05-14,67.74,68.98,67.52,68.71,68.71,1585081,0.0,1.0
2019-05-13,67.88,68.22,67.02,67.64,67.64,2124176,0.32,1.0
2019-05-10,68.76,69.685,67.75,69.51,69.1827,1799034,0.0,1.0
2019-05-09,68.32,69.18,67.49,69.01,68.6851,1791830,0.0,1.0
2019-05-08,68.82,69.38,68.41,68.84,68.5159,1515667,0.0,1.0
2019-05-07,68.66,69.13,68.07,68.85,68.5258,2225447,0.0,1.0
2019-05-06,70.0,70.49,68.93,69.43,69.1031,2249096,0.0,1.0
2019-05-03,70.67,71.5,70.41,71.38,71.0439,1733276,0.0,1.0
2019-05-02,70.88,71.09,69.96,70.19,69.8595,2147200,0.0,1.0
2019-05-01,71.8,72.28,70.83,70.85,70.5164,2232957,0.0,1.0
2019-04-30,72.0,73.0,69.84,71.67,71.3325,3733006,0.0,1.0
2019-04-29,71.0,71.38,70.72,71.32,70.9842,1837115,0.0,1.0
2019-04-26,70.43,71.03,70.12,70.96,70.6259,2054352,0.0,1.0
2019-04-25,70.8,70.8,69.96,70.16,69.8296,1314088,0.0,1.0
2019-04-24,71.08,71.71,70.7,71.48,71.1434,1360072,0.0,1.0
2019-04-23,71.01,71.62,70.5001,71.18,70.8448,1346242,0.0,1.0
2019-04-22,71.08,71.32,70.0782,71.13,70.7951,936290,0.0,1.0
2019-04-18,71.73,71.95,71.22,71.44,71.1036,2353110,0.0,1.0
2019-04-17,71.66,72.21,71.085,71.12,70.7851,1205000,0.0,1.0
2019-04-16,70.51,71.55,69.91,71.43,71.0937,1641406,0.0,1.0
2019-04-15,70.59,70.85,70.2,70.36,70.0287,1141372,0.0,1.0
2019-04-12,70.0,70.73,69.8,70.5,70.168,1328483,0.0,1.0
2019-04-11,68.97,69.765,68.622,69.71,69.3818,1395765,0.0,1.0
2019-04-10,68.57,68.91,68.17,68.78,68.4561,1103033,0.0,1.0
2019-04-09,68.52,68.765,67.95,68.4,68.0779,1341159,0.0,1.0
2019-04-08,68.84,69.09,68.49,68.94,68.6154,1076814,0.0,1.0
2019-04-05,69.32,69.43,68.83,69.02,68.695,1221438,0.0,1.0
2019-04-04,68.25,69.4125,68.01,69.02,68.695,3534756,0.0,1.0
2019-04-03,68.67,68.95,68.025,68.33,68.0083,2630611,0.0,1.0
2019-04-02,69.1,69.1,68.2,68.42,68.0978,4759517,0.0,1.0
2019-04-01,68.81,69.24,68.34,69.05,68.7249,2669493,0.0,1.0
2019-03-29,68.79,68.95,68.03,68.14,67.8192,2319981,0.0,1.0
2019-03-28,67.93,68.86,67.71,68.27,67.9485,1159213,0.0,1.0
2019-03-27,67.48,68.06,67.37,67.82,67.5007,1020971,0.0,1.0
2019-03-26,67.72,68.15,67.155,67.42,67.1025,1230892,0.0,1.0
2019-03-25,67.435,67.82,67.1,67.4,67.0826,1171288,0.0,1.0
2019-03-22,67.79,68.09,66.85,67.03,66.7144,2087912,0.0,1.0
2019-03-21,67.33,68.33,67.33,68.19,67.8689,1206402,0.0,1.0
2019-03-20,67.93,68.4199,67.42,67.74,67.421,1312019,0.0,1.0
2019-03-19,68.76,68.99,67.83,68.1,67.7793,1369791,0.0,1.0
2019-03-18,67.58,68.48,67.49,68.41,68.0879,1785668,0.0,1.0
2019-03-15,68.46,68.86,67.58,67.65,67.3315,3013377,0.0,1.0
2019-03-14,68.53,68.73,68.095,68.45,68.1277,2392273,0.0,1.0
2019-03-13,68.59,69.01,68.205,68.74,68.4163,2979852,0.0,1.0
2019-03-12,68.24,68.31,67.88,68.24,67.9187,2261590,0.0,1.0
2019-03-11,67.39,68.22,67.15,68.15,67.8291,1800814,0.0,1.0
2019-03-08,66.5,67.37,66.2,67.31,66.9931,1858239,0.0,1.0
2019-03-07,67.01,67.2345,65.92,67.12,66.804,2102745,0.0,1.0
2019-03-06,67.66,67.86,67.21,67.26,66.9433,2494599,0.0,1.0
2019-03-05,67.63,68.15,67.33,67.79,67.4708,2230097,0.0,1.0
2019-03-04,68.12,68.43,66.66,67.48,67.1623,2366289,0.0,1.0
