timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,18.28,18.72,18.14,18.7,18.7,3936685,0.0,1.0
2019-07-25,19.29,19.44,18.015,18.35,18.35,3831298,0.0,1.0
2019-07-24,18.82,20.1599,18.35,18.89,18.89,7670624,0.0,1.0
2019-07-23,17.64,18.96,17.59,18.89,18.89,8663189,0.0,1.0
2019-07-22,17.79,17.85,17.22,17.65,17.65,3766230,0.0,1.0
2019-07-19,18.24,18.28,17.65,17.79,17.79,4229238,0.0,1.0
2019-07-18,17.8,18.54,16.86,18.46,18.46,7566313,0.0,1.0
2019-07-17,17.92,18.9,17.92,18.45,18.45,4627105,0.0,1.0
2019-07-16,17.91,18.37,17.73,18.13,18.13,8245907,0.0,1.0
2019-07-15,19.22,19.22,17.33,17.74,17.74,18190669,0.0,1.0
2019-07-12,20.13,20.31,19.3,19.4,19.4,8907254,0.0,1.0
2019-07-11,21.4,21.73,19.92,20.45,20.45,8982064,0.0,1.0
2019-07-10,22.15,22.32,21.025,21.4,21.4,5758615,0.0,1.0
2019-07-09,21.69,23.0899,21.61,21.89,21.89,8019776,0.0,1.0
2019-07-08,21.45,21.84,20.92,21.73,21.73,8090902,0.0,1.0
2019-07-05,22.22,22.26,21.57,21.79,21.79,3494280,0.0,1.0
2019-07-03,22.47,23.0999,22.03,22.37,22.37,3217291,0.0,1.0
2019-07-02,23.36,23.49,22.13,22.4,22.4,4797176,0.0,1.0
2019-07-01,23.11,23.56,22.47,23.35,23.35,4685428,0.0,1.0
2019-06-28,23.74,24.1197,22.18,22.92,22.92,10740877,0.0,1.0
2019-06-27,21.75,24.033,21.49,23.95,23.95,7600645,0.0,1.0
2019-06-26,21.44,21.91,20.95,21.72,21.72,5820759,0.0,1.0
2019-06-25,21.66,22.21,20.93,21.6,21.6,13765848,0.0,1.0
2019-06-24,22.97,23.3,21.265,21.67,21.67,8706234,0.0,1.0
2019-06-21,22.75,25.19,22.12,22.96,22.96,21088682,0.0,1.0
2019-06-20,21.0,23.85,20.8,23.57,23.57,19836372,0.0,1.0
2019-06-19,19.62,21.07,19.42,20.53,20.53,16633781,0.0,1.0
2019-06-18,19.14,19.69,18.96,19.14,19.14,3322800,0.0,1.0
2019-06-17,18.6,19.09,18.54,18.88,18.88,3937406,0.0,1.0
2019-06-14,18.19,18.64,18.1,18.48,18.48,1746814,0.0,1.0
2019-06-13,18.3,18.47,18.03,18.29,18.29,2360255,0.0,1.0
2019-06-12,18.94,19.53,17.97,18.24,18.24,5714625,0.0,1.0
2019-06-11,19.86,19.97,18.97,19.1,19.1,7045835,0.0,1.0
2019-06-10,20.88,21.0,19.53,19.77,19.77,3405466,0.0,1.0
2019-06-07,20.83,21.07,20.35,20.46,20.46,5486915,0.0,1.0
