timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,35.9,36.31,35.52,35.75,35.75,324647,0.0,1.0
2019-07-24,36.02,36.165,35.64,36.03,36.03,263054,0.0,1.0
2019-07-23,35.96,36.33,35.53,36.1,36.1,231294,0.0,1.0
2019-07-22,36.03,36.03,35.33,35.67,35.67,301080,0.0,1.0
2019-07-19,35.65,36.23,35.4335,36.0,36.0,222551,0.0,1.0
2019-07-18,35.78,36.14,35.31,35.52,35.52,283611,0.0,1.0
2019-07-17,35.51,35.96,35.2517,35.75,35.75,306356,0.0,1.0
2019-07-16,35.28,35.65,35.15,35.51,35.51,192353,0.0,1.0
2019-07-15,34.48,35.39,34.48,35.24,35.24,364564,0.0,1.0
2019-07-12,34.11,34.49,33.71,34.44,34.44,250834,0.0,1.0
2019-07-11,34.23,34.37,33.565,34.12,34.12,381890,0.0,1.0
2019-07-10,34.19,34.64,33.685,34.12,34.12,457663,0.0,1.0
2019-07-09,33.93,34.415,33.38,34.14,34.14,387655,0.0,1.0
2019-07-08,34.89,34.89,33.57,34.11,34.11,422951,0.0,1.0
2019-07-05,34.44,35.05,34.05,34.96,34.96,152154,0.0,1.0
2019-07-03,34.25,35.3,34.15,34.72,34.72,239527,0.0,1.0
2019-07-02,33.74,34.44,33.315,34.12,34.12,302850,0.0,1.0
2019-07-01,33.38,34.155,33.13,33.75,33.75,416408,0.0,1.0
2019-06-28,31.41,33.05,31.3,32.96,32.96,826103,0.0,1.0
2019-06-27,30.12,31.38,30.02,31.25,31.25,306958,0.0,1.0
2019-06-26,30.64,30.95,29.35,30.1,30.1,298990,0.0,1.0
2019-06-25,30.75,30.95,29.89,30.49,30.49,419453,0.0,1.0
2019-06-24,31.8,31.8,30.65,30.66,30.66,241614,0.0,1.0
2019-06-21,32.28,32.83,31.76,31.89,31.89,343101,0.0,1.0
2019-06-20,33.1,33.6,31.68,32.47,32.47,341169,0.0,1.0
2019-06-19,31.93,33.81,31.8,32.87,32.87,556106,0.0,1.0
2019-06-18,31.15,31.92,30.6,31.91,31.91,344844,0.0,1.0
2019-06-17,29.71,31.16,29.25,30.88,30.88,409263,0.0,1.0
2019-06-14,29.33,29.81,28.935,29.69,29.69,263874,0.0,1.0
2019-06-13,29.54,30.06,28.8,29.1,29.1,586888,0.0,1.0
2019-06-12,28.91,29.855,28.34,29.41,29.41,315622,0.0,1.0
