timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,6.02,6.14,5.77,5.77,5.77,73034,0.0,1.0
2019-07-24,5.89,6.11,5.85,6.04,6.04,43620,0.0,1.0
2019-07-23,5.95,6.315,5.76,5.98,5.98,178569,0.0,1.0
2019-07-22,5.93,5.97,5.68,5.94,5.94,203541,0.0,1.0
2019-07-19,5.93,6.1,5.92,5.93,5.93,60475,0.0,1.0
2019-07-18,5.95,6.1,5.8362,5.97,5.97,81312,0.0,1.0
2019-07-17,5.93,5.97,5.71,5.94,5.94,125029,0.0,1.0
2019-07-16,6.18,6.25,5.86,5.9,5.9,142618,0.0,1.0
2019-07-15,6.07,6.29,5.95,6.24,6.24,186703,0.0,1.0
2019-07-12,6.54,6.54,6.05,6.16,6.16,176611,0.0,1.0
2019-07-11,6.15,6.7,5.9,6.61,6.61,418353,0.0,1.0
2019-07-10,7.25,7.34,6.099,6.14,6.14,277485,0.0,1.0
2019-07-09,7.3,7.64,7.27,7.35,7.35,109287,0.0,1.0
2019-07-08,7.4,7.53,7.09,7.27,7.27,209988,0.0,1.0
2019-07-05,7.19,7.38,7.01,7.33,7.33,144894,0.0,1.0
2019-07-03,6.88,7.29,6.88,7.09,7.09,124906,0.0,1.0
2019-07-02,6.804,6.88,6.51,6.87,6.87,235776,0.0,1.0
2019-07-01,6.81,6.975,6.47,6.81,6.81,159412,0.0,1.0
2019-06-28,5.77,6.9,5.7,6.74,6.74,940687,0.0,1.0
2019-06-27,5.95,6.05,5.56,5.68,5.68,409552,0.0,1.0
2019-06-26,6.18,6.25,5.89,5.89,5.89,167070,0.0,1.0
2019-06-25,6.48,6.55,6.14,6.18,6.18,100996,0.0,1.0
2019-06-24,6.47,6.76,6.38,6.45,6.45,179567,0.0,1.0
2019-06-21,6.7,6.75,6.43,6.55,6.55,219051,0.0,1.0
2019-06-20,6.97,6.97,6.71,6.73,6.73,233896,0.0,1.0
2019-06-19,6.94,6.95,6.74,6.93,6.93,99732,0.0,1.0
2019-06-18,7.0,7.11,6.83,6.87,6.87,87825,0.0,1.0
2019-06-17,6.94,6.95,6.88,6.95,6.95,75406,0.0,1.0
2019-06-14,6.81,7.05,6.79,6.94,6.94,63395,0.0,1.0
2019-06-13,6.71,6.9,6.67,6.78,6.78,89059,0.0,1.0
2019-06-12,6.84,6.96,6.76,6.82,6.82,97094,0.0,1.0
2019-06-11,6.89,6.89,6.56,6.8,6.8,111273,0.0,1.0
2019-06-10,7.23,7.23,6.75,6.81,6.81,90497,0.0,1.0
2019-06-07,6.85,7.2,6.6801,7.17,7.17,74974,0.0,1.0
2019-06-06,7.07,7.07,6.66,6.79,6.79,91923,0.0,1.0
