timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,30.26,30.4,30.035,30.32,30.32,3394815,0.0,1.0
2019-07-23,30.18,30.3,30.06,30.09,30.09,3163182,0.0,1.0
2019-07-22,30.26,30.34,29.935,30.16,30.16,4853497,0.0,1.0
2019-07-19,30.62,30.64,30.17,30.17,30.17,3724710,0.0,1.0
2019-07-18,30.43,30.74,30.2168,30.7,30.7,4369565,0.0,1.0
2019-07-17,30.44,30.62,30.36,30.39,30.39,3151741,0.0,1.0
2019-07-16,30.35,30.5,30.16,30.36,30.36,3836639,0.0,1.0
2019-07-15,30.22,30.58,30.22,30.51,30.51,4098410,0.0,1.0
2019-07-12,30.4,30.41,30.055,30.26,30.26,2951158,0.0,1.0
2019-07-11,30.35,30.585,30.15,30.46,30.46,3976379,0.0,1.0
2019-07-10,30.79,30.88,30.24,30.35,30.35,6688100,0.0,1.0
2019-07-09,31.0,31.0,30.54,30.69,30.69,3728328,0.0,1.0
2019-07-08,30.98,31.08,30.8268,31.03,31.03,1993909,0.0,1.0
2019-07-05,30.88,31.074,30.65,31.01,31.01,2366389,0.0,1.0
2019-07-03,30.94,31.245,30.94,31.09,31.09,2319419,0.0,1.0
2019-07-02,30.67,30.93,30.56,30.79,30.79,3421273,0.0,1.0
2019-07-01,31.11,31.16,30.37,30.58,30.58,4838831,0.0,1.0
2019-06-28,31.14,31.29,30.86,31.01,31.01,7408062,0.0,1.0
2019-06-27,31.2,31.43,31.01,31.19,31.19,2680575,0.0,1.0
2019-06-26,31.33,31.46,31.03,31.06,31.06,4434971,0.0,1.0
2019-06-25,31.55,31.645,31.36,31.42,31.42,2856590,0.0,1.0
2019-06-24,31.77,31.8,31.375,31.58,31.58,4242074,0.0,1.0
2019-06-21,31.61,31.76,31.26,31.75,31.75,6402348,0.0,1.0
2019-06-20,31.58,31.78,31.165,31.54,31.54,3044111,0.0,1.0
2019-06-19,30.96,31.535,30.91,31.38,31.38,3952728,0.0,1.0
2019-06-18,31.16,31.16,30.79,31.08,31.08,3539954,0.0,1.0
2019-06-17,31.3,31.4575,30.66,30.94,30.94,4630552,0.0,1.0
2019-06-14,31.23,31.49,31.11,31.45,31.45,3298800,0.0,1.0
2019-06-13,31.25,31.34,30.96,31.11,31.11,5885281,0.0,1.0
2019-06-12,30.72,31.21,30.72,31.16,31.16,3138363,0.0,1.0
2019-06-11,30.64,30.8,30.38,30.61,30.61,3633226,0.0,1.0
2019-06-10,30.88,30.88,30.53,30.69,30.69,3598963,0.0,1.0
2019-06-07,31.35,31.49,31.02,31.02,31.02,5258105,0.4125,1.0
2019-06-06,31.25,31.6,31.09,31.52,31.1064,4066735,0.0,1.0
2019-06-05,30.64,31.32,30.49,31.15,30.7412,5039240,0.0,1.0
2019-06-04,30.22,30.58,30.01,30.56,30.159,3921156,0.0,1.0
2019-06-03,29.88,30.22,29.72,30.18,29.7839,5287145,0.0,1.0
2019-05-31,29.95,30.0301,29.73,29.76,29.3694,4557119,0.0,1.0
2019-05-30,29.91,30.13,29.79,29.89,29.4977,3276687,0.0,1.0
2019-05-29,30.62,30.62,29.845,29.85,29.4583,4741157,0.0,1.0
2019-05-28,30.78,30.855,30.44,30.58,30.1787,7399840,0.0,1.0
2019-05-24,30.42,30.845,30.39,30.8,30.3958,5360088,0.0,1.0
2019-05-23,30.07,30.38,30.02,30.36,29.9616,3899059,0.0,1.0
2019-05-22,30.14,30.22,29.78,30.05,29.6556,5113226,0.0,1.0
2019-05-21,29.78,30.53,29.77,30.22,29.8234,4874873,0.0,1.0
2019-05-20,29.85,30.12,29.61,29.69,29.3004,5987796,0.0,1.0
2019-05-17,29.9,30.06,29.71,29.79,29.3991,6915866,0.0,1.0
2019-05-16,30.56,30.75,29.78,29.93,29.5372,8514425,0.0,1.0
2019-05-15,30.9,31.0,30.58,30.65,30.2478,3887279,0.0,1.0
2019-05-14,31.28,31.395,31.07,31.09,30.682,4329432,0.0,1.0
2019-05-13,30.89,31.42,30.865,31.35,30.9386,3795003,0.0,1.0
2019-05-10,30.29,31.04,30.25,31.04,30.6327,3369293,0.0,1.0
2019-05-09,30.4,30.54,29.9542,30.26,29.8629,4551310,0.0,1.0
2019-05-08,30.89,31.0,30.335,30.37,29.9714,4372839,0.0,1.0
2019-05-07,30.99,31.135,30.8131,30.96,30.5537,3765161,0.0,1.0
2019-05-06,31.17,31.17,30.91,31.01,30.603,2769067,0.0,1.0
2019-05-03,30.75,31.24,30.72,31.22,30.8103,3584464,0.0,1.0
2019-05-02,30.94,31.13,30.68,30.74,30.3366,5035194,0.0,1.0
2019-05-01,31.06,31.45,31.05,31.09,30.682,5753814,0.0,1.0
2019-04-30,30.67,31.24,30.59,31.21,30.8004,11079350,0.0,1.0
2019-04-29,30.78,30.84,30.47,30.57,30.1688,4254822,0.0,1.0
2019-04-26,30.98,31.15,30.77,30.78,30.3761,3958047,0.0,1.0
2019-04-25,30.82,31.1,30.71,30.8,30.3958,4227119,0.0,1.0
2019-04-24,30.89,31.115,30.84,30.95,30.5438,2628274,0.0,1.0
2019-04-23,30.89,30.96,30.68,30.86,30.455,4603071,0.0,1.0
2019-04-22,31.05,31.05,30.75,30.84,30.4353,4134822,0.0,1.0
2019-04-18,31.04,31.24,30.93,30.97,30.5636,4119473,0.0,1.0
2019-04-17,31.31,31.31,31.01,31.09,30.682,3037145,0.0,1.0
2019-04-16,31.81,31.92,31.225,31.32,30.909,4098856,0.0,1.0
2019-04-15,31.94,31.98,31.73,31.88,31.4616,3348638,0.0,1.0
2019-04-12,31.88,31.97,31.61,31.86,31.4419,3853118,0.0,1.0
2019-04-11,31.74,31.995,31.7,31.97,31.5504,2953811,0.0,1.0
2019-04-10,32.06,32.21,31.69,31.74,31.3235,2781821,0.0,1.0
2019-04-09,31.95,32.0,31.78,32.0,31.5801,2524240,0.0,1.0
2019-04-08,32.13,32.13,31.72,31.93,31.511,2597912,0.0,1.0
2019-04-05,31.74,32.16,31.71,32.15,31.7281,3776694,0.0,1.0
2019-04-04,31.96,32.0,31.425,31.67,31.2544,3276892,0.0,1.0
2019-04-03,31.8,32.02,31.605,31.89,31.4715,4164807,0.0,1.0
2019-04-02,31.7,31.75,31.48,31.72,31.3037,3749080,0.0,1.0
2019-04-01,31.7,31.73,31.345,31.64,31.2248,6379607,0.0,1.0
2019-03-29,31.64,31.77,31.4591,31.74,31.3235,4841624,0.0,1.0
2019-03-28,32.38,32.41,31.53,31.59,31.1754,5626203,0.0,1.0
2019-03-27,32.5,32.53,32.16,32.34,31.9156,2802874,0.0,1.0
2019-03-26,32.38,32.57,32.35,32.45,32.0241,3006476,0.0,1.0
2019-03-25,32.31,32.485,32.25,32.35,31.9255,2856663,0.0,1.0
2019-03-22,32.4,32.5652,32.19,32.19,31.7676,4185021,0.0,1.0
2019-03-21,32.13,32.38,32.11,32.3,31.8761,3673376,0.0,1.0
2019-03-20,32.14,32.43,32.03,32.11,31.6886,3667268,0.0,1.0
2019-03-19,32.69,32.72,31.97,32.1,31.6787,5041588,0.0,1.0
2019-03-18,32.79,32.88,32.545,32.72,32.2906,5411274,0.0,1.0
2019-03-15,32.58,32.885,32.455,32.74,32.3103,11540487,0.0,1.0
2019-03-14,32.54,32.65,32.31,32.59,32.1623,5134760,0.0,1.0
2019-03-13,32.55,32.56,32.33,32.5,32.0735,3359724,0.0,1.0
2019-03-12,32.44,32.61,32.33,32.47,32.0439,4050135,0.0,1.0
2019-03-11,32.07,32.38,31.96,32.38,31.9551,4173563,0.0,1.0
2019-03-08,31.92,31.995,31.57,31.98,31.5603,3813035,0.0,1.0
2019-03-07,32.08,32.27,31.8701,32.07,31.6491,4504228,0.4125,1.0
2019-03-06,32.57,32.68,32.255,32.36,31.5298,4301363,0.0,1.0
2019-03-05,32.33,32.59,32.14,32.48,31.6467,4582384,0.0,1.0
2019-03-04,32.35,32.43,32.01,32.37,31.5395,5085148,0.0,1.0
2019-03-01,32.24,32.305,31.81,32.26,31.4323,4869591,0.0,1.0
2019-02-28,31.94,32.22,31.77,32.17,31.3447,5768689,0.0,1.0
2019-02-27,32.02,32.09,31.81,31.98,31.1595,4041274,0.0,1.0
2019-02-26,31.86,32.055,31.62,31.93,31.1108,4877124,0.0,1.0
2019-02-25,31.73,31.78,31.41,31.73,30.9159,3516675,0.0,1.0
2019-02-22,31.5,31.69,31.32,31.64,30.8282,3077027,0.0,1.0
2019-02-21,31.11,31.5,30.97,31.42,30.6139,3492533,0.0,1.0
2019-02-20,30.68,31.27,30.67,31.18,30.3801,6098707,0.0,1.0
2019-02-19,30.5,30.7,30.4,30.68,29.8929,6147266,0.0,1.0
2019-02-15,30.62,30.79,30.22,30.46,29.6785,9643718,0.0,1.0
2019-02-14,30.83,30.98,30.51,30.55,29.7662,5598264,0.0,1.0
2019-02-13,30.93,30.96,30.67,30.91,30.117,7215608,0.0,1.0
2019-02-12,31.25,31.32,30.985,31.01,30.2144,7248878,0.0,1.0
2019-02-11,31.3,31.48,31.05,31.12,30.3216,3876989,0.0,1.0
2019-02-08,30.88,31.31,30.86,31.29,30.4872,3575197,0.0,1.0
2019-02-07,30.54,31.07,30.42,31.05,30.2534,4583975,0.0,1.0
2019-02-06,31.06,31.15,30.8,30.88,30.0877,3878539,0.0,1.0
2019-02-05,30.93,31.27,30.865,31.06,30.2631,4817904,0.0,1.0
2019-02-04,30.94,31.06,30.68,31.06,30.2631,4562025,0.0,1.0
2019-02-01,31.29,31.39,30.88,31.15,30.3508,3325630,0.0,1.0
2019-01-31,30.79,31.38,30.58,31.32,30.5165,6566714,0.0,1.0
2019-01-30,30.59,30.98,30.55,30.8,30.0098,3597668,0.0,1.0
2019-01-29,30.77,30.77,30.47,30.6,29.8149,4757673,0.0,1.0
2019-01-28,30.715,30.775,30.42,30.66,29.8734,3048109,0.0,1.0
2019-01-25,30.62,31.07,30.595,30.67,29.8831,4045357,0.0,1.0
2019-01-24,30.5,30.8,30.105,30.78,29.9903,3800751,0.0,1.0
2019-01-23,29.9,30.5,29.89,30.5,29.7175,5684613,0.0,1.0
2019-01-22,30.15,30.23,29.42,29.88,29.1134,4693813,0.0,1.0
2019-01-18,29.92,30.16,29.82,30.07,29.2985,4375912,0.0,1.0
2019-01-17,29.68,29.99,29.575,29.9,29.1329,3490768,0.0,1.0
2019-01-16,29.22,29.71,29.1499,29.68,28.9185,5666677,0.0,1.0
2019-01-15,28.83,29.41,28.83,29.4,28.6457,4759971,0.0,1.0
2019-01-14,29.07,29.07,28.53,28.96,28.217,5829041,0.0,1.0
2019-01-11,29.54,29.69,29.25,29.5,28.7432,3858505,0.0,1.0
2019-01-10,29.35,29.61,29.1,29.57,28.8114,4412495,0.0,1.0
2019-01-09,29.21,29.45,29.12,29.29,28.5385,3978015,0.0,1.0
2019-01-08,28.95,29.31,28.93,29.29,28.5385,5344133,0.0,1.0
2019-01-07,28.68,29.1767,28.53,28.91,28.1683,5269016,0.0,1.0
2019-01-04,27.8,28.87,27.8,28.87,28.1293,4999614,0.0,1.0
2019-01-03,28.11,28.29,27.915,28.01,27.2914,4887701,0.0,1.0
