timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,54.51,54.87,54.0238,54.07,54.07,102203,0.0,1.0
2019-07-24,54.66,54.75,54.17,54.17,54.17,64922,0.0,1.0
2019-07-23,54.51,54.77,54.24,54.77,54.77,88106,0.0,1.0
2019-07-22,54.85,54.85,54.31,54.63,54.63,68257,0.0,1.0
2019-07-19,54.72,55.16,54.72,55.1,55.1,80859,0.0,1.0
2019-07-18,54.18,54.54,54.03,54.53,54.53,91029,0.0,1.0
2019-07-17,54.65,54.71,54.0,54.09,54.09,79470,0.0,1.0
2019-07-16,54.7,54.88,54.07,54.2,54.2,100983,0.0,1.0
2019-07-15,54.87,55.02,54.49,54.5,54.5,72626,0.0,1.0
2019-07-12,54.88,54.9,54.66,54.87,54.87,58407,0.0,1.0
2019-07-11,55.17,55.17,54.73,54.85,54.85,127281,0.0,1.0
2019-07-10,54.7,55.31,54.385,54.55,54.55,95460,0.0,1.0
2019-07-09,54.31,54.4,54.0301,54.37,54.37,81863,0.0,1.0
2019-07-08,54.16,54.4,53.86,54.33,54.33,79812,0.0,1.0
2019-07-05,54.53,54.65,54.13,54.5,54.5,82918,0.0,1.0
2019-07-03,54.94,55.0158,54.48,54.83,54.83,74494,0.0,1.0
2019-07-02,55.69,55.96,55.2,55.21,55.21,88923,0.0,1.0
2019-07-01,56.0,56.6573,55.42,55.67,55.67,83174,0.0,1.0
2019-06-28,55.44,55.47,54.96,55.07,55.07,54304,0.0,1.0
2019-06-27,55.81,55.81,55.42,55.42,55.42,63428,0.0,1.0
2019-06-26,55.61,55.88,55.42,55.75,55.75,71310,0.0,1.0
2019-06-25,55.32,55.65,55.07,55.23,55.23,77056,0.0,1.0
2019-06-24,56.07,56.18,55.69,55.74,55.74,74363,0.0,1.0
2019-06-21,56.43,56.43,55.83,56.18,56.18,120731,0.0,1.0
2019-06-20,55.89,56.75,55.69,56.72,56.72,225399,0.0,1.0
2019-06-19,55.22,55.44,54.8093,55.14,55.14,108697,1.7446,1.0
2019-06-18,55.11,56.36,54.88,56.11,54.3892,183639,0.0,1.0
2019-06-17,54.36,54.83,54.22,54.48,52.8092,91818,0.0,1.0
2019-06-14,54.77,54.77,54.31,54.32,52.6541,83542,0.0,1.0
2019-06-13,54.72,54.79,54.29,54.78,53.1,126382,0.0,1.0
2019-06-12,54.8,55.28,54.12,54.33,52.6638,100584,0.0,1.0
2019-06-11,55.86,55.9574,55.45,55.45,53.7494,80704,0.0,1.0
2019-06-10,55.52,55.81,55.09,55.38,53.6816,82453,0.0,1.0
2019-06-07,55.28,55.98,55.21,55.66,53.953,62181,0.0,1.0
2019-06-06,54.47,55.24,54.47,55.21,53.5168,96409,0.0,1.0
2019-06-05,55.41,55.6132,54.24,54.5,52.8286,101667,0.0,1.0
2019-06-04,55.74,55.86,55.03,55.86,54.1469,154748,0.0,1.0
2019-06-03,56.26,56.31,55.75,55.93,54.2147,99791,0.0,1.0
2019-05-31,55.43,55.85,55.33,55.33,53.6331,81438,0.0,1.0
2019-05-30,56.75,56.86,56.09,56.17,54.4474,68463,0.0,1.0
2019-05-29,56.38,56.74,56.06,56.71,54.9708,102290,0.0,1.0
2019-05-28,57.45,57.5,56.885,56.89,55.1453,105888,0.0,1.0
2019-05-24,57.62,57.6686,57.19,57.36,55.6009,97916,0.0,1.0
2019-05-23,57.58,57.675,56.11,56.31,54.5831,147265,0.0,1.0
2019-05-22,58.26,58.26,57.75,57.85,56.0758,61882,0.0,1.0
2019-05-21,58.48,58.94,58.185,58.38,56.5896,141055,0.0,1.0
2019-05-20,58.57,58.67,58.05,58.1,56.3182,77991,0.0,1.0
2019-05-17,58.18,58.57,58.0,58.07,56.2891,79756,0.0,1.0
2019-05-16,58.65,59.23,58.65,58.9,57.0936,65782,0.0,1.0
2019-05-15,58.5,58.645,57.93,58.41,56.6187,78113,0.0,1.0
2019-05-14,58.19,59.35,57.8,59.11,57.2972,223016,0.0,1.0
2019-05-13,58.28,58.37,57.49,57.87,56.0952,186610,0.0,1.0
2019-05-10,59.2,59.2064,58.0,58.94,57.1324,111886,0.0,1.0
2019-05-09,59.2,59.65,58.64,59.34,57.5201,106836,0.0,1.0
2019-05-08,60.21,60.375,59.54,60.02,58.1793,117883,0.0,1.0
2019-05-07,60.6,60.73,59.61,60.05,58.2084,190920,0.0,1.0
2019-05-06,61.02,62.23,61.0,61.93,60.0307,101752,0.0,1.0
2019-05-03,62.52,63.25,62.35,62.42,60.5057,62621,0.0,1.0
2019-05-02,62.55,62.55,61.57,61.85,59.9532,87905,0.0,1.0
2019-05-01,63.34,63.84,62.94,62.94,61.0097,45515,0.0,1.0
2019-04-30,63.39,63.69,63.2629,63.29,61.349,57900,0.0,1.0
2019-04-29,63.6,63.875,63.04,63.67,61.7173,87073,0.0,1.0
2019-04-26,64.35,64.35,63.47,63.59,61.6398,81830,0.0,1.0
2019-04-25,64.25,64.42,63.98,64.04,62.076,80309,0.0,1.0
2019-04-24,65.19,65.19,64.37,64.45,62.4734,75493,0.0,1.0
2019-04-23,65.39,65.53,65.17,65.25,63.2489,52793,0.0,1.0
2019-04-22,64.7,65.72,64.29,65.41,63.404,145660,0.0,1.0
2019-04-18,64.22,64.79,64.18,64.59,62.6091,52255,0.0,1.0
