timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,0.31,0.31,0.3099,0.3099,0.3099,16535,0.0,1.0
2019-07-24,0.31,0.31,0.29,0.291,0.291,11910,0.0,1.0
2019-07-23,0.281,0.33,0.281,0.3,0.3,49181,0.0,1.0
2019-07-22,0.2822,0.32,0.2713,0.281,0.281,44200,0.0,1.0
2019-07-19,0.3216,0.33,0.2999,0.2999,0.2999,119203,0.0,1.0
2019-07-18,0.33,0.33,0.33,0.33,0.33,10156,0.0,1.0
2019-07-17,0.325,0.36,0.3225,0.33,0.33,20868,0.0,1.0
2019-07-16,0.32,0.32,0.313,0.313,0.313,35969,0.0,1.0
2019-07-15,0.316,0.3229,0.316,0.32,0.32,3700,0.0,1.0
2019-07-12,0.32,0.32,0.32,0.32,0.32,45068,0.0,1.0
2019-07-11,0.34,0.35,0.32,0.32,0.32,87412,0.0,1.0
2019-07-10,0.35,0.35,0.33,0.34,0.34,9279,0.0,1.0
2019-07-09,0.3328,0.35,0.321,0.321,0.321,99692,0.0,1.0
2019-07-08,0.311,0.34,0.311,0.311,0.311,3105,0.0,1.0
2019-07-05,0.3281,0.345,0.3281,0.345,0.345,1500,0.0,1.0
2019-07-03,0.3215,0.3483,0.31,0.3483,0.3483,57830,0.0,1.0
2019-07-02,0.397,0.397,0.33,0.3482,0.3482,80059,0.0,1.0
2019-07-01,0.397,0.397,0.336,0.336,0.336,1420,0.0,1.0
2019-06-28,0.336,0.397,0.336,0.397,0.397,5500,0.0,1.0
2019-06-27,0.397,0.397,0.35,0.35,0.35,91836,0.0,1.0
2019-06-26,0.35,0.397,0.33,0.397,0.397,141930,0.0,1.0
2019-06-25,0.361,0.362,0.35,0.35,0.35,66300,0.0,1.0
2019-06-24,0.35,0.361,0.35,0.361,0.361,2527,0.0,1.0
2019-06-21,0.3675,0.37,0.35,0.37,0.37,23002,0.0,1.0
2019-06-20,0.38,0.4,0.355,0.375,0.375,46868,0.0,1.0
2019-06-19,0.38,0.3999,0.355,0.355,0.355,79609,0.0,1.0
2019-06-18,0.39,0.39,0.38,0.39,0.39,12025,0.0,1.0
2019-06-17,0.45,0.45,0.36,0.4,0.4,20017,0.0,1.0
2019-06-14,0.48,0.48,0.38,0.42,0.42,49913,0.0,1.0
2019-06-13,0.46,0.48,0.46,0.477,0.477,16447,0.0,1.0
2019-06-12,0.48,0.48,0.41,0.43,0.43,4100,0.0,1.0
2019-06-11,0.48,0.48,0.48,0.48,0.48,22,0.0,1.0
2019-06-10,0.41,0.48,0.41,0.48,0.48,3220,0.0,1.0
2019-06-07,0.39,0.49,0.38,0.48,0.48,35289,0.0,1.0
2019-06-06,0.449,0.45,0.4195,0.444,0.444,9450,0.0,1.0
2019-06-05,0.449,0.449,0.449,0.449,0.449,22,0.0,1.0
2019-06-04,0.4195,0.449,0.39,0.449,0.449,1615,0.0,1.0
2019-06-03,0.42,0.42,0.39,0.393,0.393,9865,0.0,1.0
2019-05-31,0.3901,0.425,0.3901,0.4,0.4,6200,0.0,1.0
2019-05-30,0.45,0.45,0.41,0.43,0.43,8697,0.0,1.0
2019-05-29,0.4,0.42,0.4,0.42,0.42,8680,0.0,1.0
