timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,89.36,90.93,89.14,89.38,89.38,1068927,0.0,1.0
2019-07-24,88.5,90.275,87.93,89.21,89.21,925489,0.0,1.0
2019-07-23,87.19,88.65,86.6,88.06,88.06,996849,0.0,1.0
2019-07-22,88.65,89.46,86.61,86.68,86.68,866432,0.0,1.0
2019-07-19,88.33,89.6,87.85,88.25,88.25,1096500,0.0,1.0
2019-07-18,89.52,89.73,87.16,87.87,87.87,1618648,0.0,1.0
2019-07-17,88.16,90.14,88.16,89.57,89.57,2941522,0.0,1.0
2019-07-16,90.76,92.9,90.39,92.5,92.5,1041641,0.0,1.0
2019-07-15,89.76,91.58,89.56,90.48,90.48,1814990,0.0,1.0
2019-07-12,88.66,90.46,88.4065,89.19,89.19,1284660,0.0,1.0
2019-07-11,87.71,88.48,86.92,88.24,88.24,1757218,0.0,1.0
2019-07-10,90.31,90.455,87.31,87.47,87.47,1659553,0.0,1.0
2019-07-09,91.75,91.75,89.89,90.07,90.07,1229642,0.0,1.0
2019-07-08,92.32,93.67,91.84,91.9,91.9,852186,0.0,1.0
2019-07-05,93.88,93.9,91.52,92.82,92.82,901719,0.0,1.0
2019-07-03,94.13,94.55,92.99,93.66,93.66,661660,0.0,1.0
2019-07-02,95.17,95.17,92.38,93.72,93.72,1011308,0.0,1.0
2019-07-01,97.22,98.785,94.11,95.26,95.26,2030405,0.0,1.0
2019-06-28,93.11,94.95,93.11,94.64,94.64,1174310,0.0,1.0
2019-06-27,94.94,95.5,92.37,93.28,93.28,863420,0.0,1.0
2019-06-26,91.81,94.51,91.54,93.56,93.56,1048071,0.0,1.0
2019-06-25,92.48,92.48,91.04,91.29,91.29,990524,0.0,1.0
2019-06-24,92.84,94.18,91.99,92.63,92.63,1248251,0.0,1.0
2019-06-21,90.5,93.29,89.97,93.26,93.26,2188571,0.0,1.0
2019-06-20,89.15,90.49,88.86,90.43,90.43,1065545,0.0,1.0
2019-06-19,89.73,90.38,87.56,87.87,87.87,940593,0.0,1.0
