timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,1.1,1.13,1.08,1.08,1.08,13759,0.0,1.0
2019-07-23,1.14,1.15,1.08,1.0854,1.0854,80551,0.0,1.0
2019-07-22,1.06,1.22,1.05,1.1357,1.1357,154509,0.0,1.0
2019-07-19,1.06,1.06,1.05,1.055,1.055,13498,0.0,1.0
2019-07-18,1.07,1.08,1.06,1.068,1.068,29237,0.0,1.0
2019-07-17,1.06,1.085,1.055,1.07,1.07,46544,0.0,1.0
2019-07-16,1.06,1.07,1.05,1.065,1.065,30203,0.0,1.0
2019-07-15,1.06,1.07,1.05,1.07,1.07,32012,0.0,1.0
2019-07-12,1.0542,1.07,1.05,1.0686,1.0686,14714,0.0,1.0
2019-07-11,1.06,1.09,1.05,1.058,1.058,37396,0.0,1.0
2019-07-10,1.14,1.14,1.05,1.05,1.05,142491,0.0,1.0
2019-07-09,1.0201,1.19,1.02,1.18,1.18,348020,0.0,1.0
2019-07-08,1.05,1.07,1.04,1.04,1.04,7557,0.0,1.0
2019-07-05,1.05,1.1,1.04,1.05,1.05,97933,0.0,1.0
2019-07-03,1.1,1.1,1.04,1.045,1.045,46549,0.0,1.0
2019-07-02,1.11,1.13,1.08,1.1,1.1,49764,0.0,1.0
2019-07-01,1.08,1.1641,1.0722,1.1,1.1,140802,0.0,1.0
2019-06-28,1.07,1.0997,1.04,1.06,1.06,40252,0.0,1.0
2019-06-27,1.05,1.06,1.03,1.04,1.04,39432,0.0,1.0
2019-06-26,1.0,1.05,1.0,1.03,1.03,23083,0.0,1.0
2019-06-25,1.02,1.04,1.0,1.04,1.04,43548,0.0,1.0
2019-06-24,1.02,1.05,1.0025,1.02,1.02,34124,0.0,1.0
2019-06-21,1.03,1.12,1.01,1.031,1.031,408756,0.0,1.0
2019-06-20,1.02,1.05,1.01,1.0392,1.0392,82856,0.0,1.0
2019-06-19,1.0161,1.04,1.0,1.018,1.018,37774,0.0,1.0
2019-06-18,1.05,1.05,0.9828,1.02,1.02,89747,0.0,1.0
2019-06-17,1.022,1.04,1.02,1.02,1.02,37616,0.0,1.0
2019-06-14,1.06,1.06,1.01,1.02,1.02,42798,0.0,1.0
2019-06-13,1.026,1.12,0.97,1.07,1.07,590454,0.0,1.0
2019-06-12,1.04,1.04,0.99,1.02,1.02,46185,0.0,1.0
2019-06-11,1.0601,1.07,1.01,1.0497,1.0497,54700,0.0,1.0
2019-06-10,1.0893,1.0893,1.01,1.0599,1.0599,27405,0.0,1.0
2019-06-07,1.0447,1.09,1.04,1.05,1.05,40260,0.0,1.0
2019-06-06,1.07,1.08,1.03,1.05,1.05,37941,0.0,1.0
2019-06-05,1.1,1.1,1.06,1.1,1.1,41936,0.0,1.0
2019-06-04,1.0779,1.15,1.06,1.1,1.1,150168,0.0,1.0
2019-06-03,1.04,1.09,1.04,1.04,1.04,45560,0.0,1.0
2019-05-31,1.0609,1.12,1.04,1.056,1.056,34042,0.0,1.0
2019-05-30,1.07,1.0996,1.06,1.06,1.06,26495,0.0,1.0
2019-05-29,1.07,1.1,1.06,1.08,1.08,35232,0.0,1.0
2019-05-28,1.14,1.14,1.09,1.1,1.1,69153,0.0,1.0
2019-05-24,1.09,1.094,1.06,1.09,1.09,47024,0.0,1.0
2019-05-23,1.11,1.12,1.08,1.09,1.09,70828,0.0,1.0
2019-05-22,1.18,1.18,1.09,1.11,1.11,50268,0.0,1.0
2019-05-21,1.18,1.18,1.07,1.08,1.08,98526,0.0,1.0
2019-05-20,1.18,1.22,1.12,1.15,1.15,92522,0.0,1.0
2019-05-17,1.14,1.2,1.12,1.19,1.19,70487,0.0,1.0
2019-05-16,1.17,1.24,1.1226,1.14,1.14,154039,0.0,1.0
2019-05-15,1.1055,1.24,1.1001,1.18,1.18,138702,0.0,1.0
2019-05-14,1.17,1.17,1.08,1.1343,1.1343,79186,0.0,1.0
2019-05-13,1.13,1.18,1.06,1.17,1.17,248322,0.0,1.0
2019-05-10,1.16,1.16,1.1,1.1396,1.1396,34690,0.0,1.0
2019-05-09,1.19,1.2,1.12,1.15,1.15,53262,0.0,1.0
2019-05-08,1.11,1.22,1.11,1.19,1.19,43390,0.0,1.0
2019-05-07,1.0971,1.16,1.09,1.1144,1.1144,42117,0.0,1.0
2019-05-06,1.15,1.2,1.12,1.16,1.16,54147,0.0,1.0
2019-05-03,1.23,1.235,1.15,1.19,1.19,79580,0.0,1.0
2019-05-02,1.22,1.25,1.2,1.23,1.23,30317,0.0,1.0
2019-05-01,1.22,1.258,1.1562,1.24,1.24,62630,0.0,1.0
2019-04-30,1.27,1.3065,1.18,1.21,1.21,44752,0.0,1.0
2019-04-29,1.23,1.32,1.1608,1.26,1.26,113651,0.0,1.0
2019-04-26,1.28,1.28,1.2,1.23,1.23,47347,0.0,1.0
2019-04-25,1.32,1.32,1.17,1.2635,1.2635,63864,0.0,1.0
2019-04-24,1.34,1.34,1.29,1.32,1.32,43125,0.0,1.0
2019-04-23,1.39,1.41,1.2,1.33,1.33,114227,0.0,1.0
2019-04-22,1.35,1.39,1.31,1.38,1.38,35353,0.0,1.0
2019-04-18,1.26,1.34,1.26,1.34,1.34,53544,0.0,1.0
2019-04-17,1.35,1.36,1.22,1.25,1.25,51900,0.0,1.0
2019-04-16,1.43,1.43,1.34,1.3635,1.3635,74615,0.0,1.0
2019-04-15,1.47,1.48,1.33,1.4,1.4,87985,0.0,1.0
2019-04-12,1.47,1.55,1.426,1.48,1.48,140982,0.0,1.0
2019-04-11,1.45,1.55,1.44,1.48,1.48,283667,0.0,1.0
2019-04-10,1.43,1.4689,1.4,1.44,1.44,262463,0.0,1.0
2019-04-09,1.37,1.4,1.28,1.4,1.4,206313,0.0,1.0
2019-04-08,1.34,1.3594,1.3,1.33,1.33,155798,0.0,1.0
2019-04-05,1.35,1.3799,1.2923,1.33,1.33,214512,0.0,1.0
2019-04-04,1.22,1.43,1.1601,1.36,1.36,612197,0.0,1.0
2019-04-03,1.18,1.24,1.17,1.22,1.22,102274,0.0,1.0
2019-04-02,1.16,1.2515,1.16,1.17,1.17,119280,0.0,1.0
2019-04-01,1.18,1.21,1.15,1.17,1.17,110935,0.0,1.0
2019-03-29,1.12,1.23,1.11,1.16,1.16,131045,0.0,1.0
2019-03-28,1.19,1.19,1.1,1.12,1.12,132078,0.0,1.0
2019-03-27,1.15,1.39,1.13,1.2,1.2,661564,0.0,1.0
2019-03-26,1.08,1.1145,1.06,1.09,1.09,232058,0.0,1.0
2019-03-25,1.08,1.19,1.05,1.08,1.08,125858,0.0,1.0
2019-03-22,1.06,1.12,1.06,1.08,1.08,125116,0.0,1.0
2019-03-21,1.0,1.16,0.95,1.1,1.1,480895,0.0,1.0
2019-03-20,1.37,1.4,1.3,1.35,1.35,144182,0.0,1.0
2019-03-19,1.48,1.52,1.37,1.38,1.38,88842,0.0,1.0
2019-03-18,1.45,1.49,1.37,1.49,1.49,91384,0.0,1.0
2019-03-15,1.35,1.53,1.33,1.45,1.45,322106,0.0,1.0
2019-03-14,1.38,1.41,1.32,1.37,1.37,152751,0.0,1.0
2019-03-13,1.44,1.45,1.36,1.39,1.39,270003,0.0,1.0
2019-03-12,1.59,1.65,1.41,1.47,1.47,980628,0.0,1.0
2019-03-11,1.53,1.74,1.26,1.69,1.69,2381675,0.0,1.0
2019-03-08,1.06,1.3,1.03,1.21,1.21,673915,0.0,1.0
2019-03-07,1.01,1.15,0.9804,1.08,1.08,397635,0.0,1.0
2019-03-06,1.01,1.03,1.01,1.02,1.02,9213,0.0,1.0
2019-03-05,1.0,1.04,0.994,1.04,1.04,23761,0.0,1.0
2019-03-04,1.03,1.04,1.0,1.025,1.025,29261,0.0,1.0
2019-03-01,1.02,1.0387,1.02,1.03,1.03,16435,0.0,1.0
2019-02-28,1.03,1.0332,1.01,1.03,1.03,34509,0.0,1.0
2019-02-27,1.04,1.06,1.03,1.05,1.05,20516,0.0,1.0
2019-02-26,1.03,1.08,1.03,1.07,1.07,35046,0.0,1.0
2019-02-25,1.07,1.07,1.02,1.04,1.04,79498,0.0,1.0
2019-02-22,1.08,1.12,1.05,1.07,1.07,36411,0.0,1.0
2019-02-21,1.07,1.125,1.06,1.11,1.11,57862,0.0,1.0
2019-02-20,1.05,1.08,1.04,1.08,1.08,33526,0.0,1.0
2019-02-19,1.02,1.1,1.02,1.08,1.08,111089,0.0,1.0
2019-02-15,1.01,1.0499,1.0,1.02,1.02,45326,0.0,1.0
2019-02-14,1.03,1.058,1.01,1.05,1.05,66440,0.0,1.0
2019-02-13,1.02,1.07,1.01,1.0193,1.0193,42721,0.0,1.0
2019-02-12,1.05,1.05,1.0101,1.03,1.03,72311,0.0,1.0
2019-02-11,1.0,1.04,1.0,1.0188,1.0188,38724,0.0,1.0
2019-02-08,1.01,1.019,1.0,1.01,1.01,25091,0.0,1.0
2019-02-07,1.01,1.05,0.9961,1.02,1.02,47599,0.0,1.0
2019-02-06,1.01,1.05,1.01,1.0251,1.0251,129607,0.0,1.0
2019-02-05,1.02,1.03,0.98,1.0,1.0,80803,0.0,1.0
2019-02-04,1.08,1.0854,1.01,1.03,1.03,79531,0.0,1.0
2019-02-01,1.03,1.08,1.03,1.04,1.04,80713,0.0,1.0
2019-01-31,1.07,1.0774,1.02,1.02,1.02,117832,0.0,1.0
2019-01-30,1.04,1.1,1.03,1.09,1.09,57747,0.0,1.0
2019-01-29,1.06,1.087,1.01,1.02,1.02,52771,0.0,1.0
2019-01-28,1.082,1.1246,1.0248,1.092,1.092,75259,0.0,1.0
2019-01-25,1.06,1.15,1.06,1.1,1.1,38527,0.0,1.0
2019-01-24,1.11,1.11,1.04,1.06,1.06,55534,0.0,1.0
2019-01-23,1.12,1.17,1.1,1.13,1.13,56116,0.0,1.0
2019-01-22,1.21,1.23,1.1,1.12,1.12,103970,0.0,1.0
2019-01-18,1.26,1.26,1.17,1.23,1.23,36181,0.0,1.0
2019-01-17,1.21,1.34,1.1558,1.2339,1.2339,380162,0.0,1.0
2019-01-16,1.12,1.2,1.09,1.2,1.2,339508,0.0,1.0
2019-01-15,1.07,1.2,1.063,1.13,1.13,55030,0.0,1.0
2019-01-14,1.11,1.17,1.04,1.08,1.08,111073,0.0,1.0
2019-01-11,1.11,1.15,1.02,1.13,1.13,92855,0.0,1.0
2019-01-10,1.11,1.15,1.09,1.12,1.12,123524,0.0,1.0
2019-01-09,1.13,1.17,1.05,1.1,1.1,196110,0.0,1.0
2019-01-08,1.19,1.38,1.07,1.09,1.09,831860,0.0,1.0
2019-01-07,0.97,1.08,0.9341,1.03,1.03,155809,0.0,1.0
2019-01-04,0.92,0.9969,0.92,0.97,0.97,67246,0.0,1.0
2019-01-03,0.9901,1.09,0.914,0.95,0.95,126301,0.0,1.0
2019-01-02,0.99,1.01,0.801,0.9901,0.9901,172975,0.0,1.0
2018-12-31,1.05,1.0999,0.95,0.9972,0.9972,202271,0.0,1.0
2018-12-28,0.96,1.22,0.89,1.06,1.06,633620,0.0,1.0
2018-12-27,0.792,0.86,0.751,0.86,0.86,225506,0.0,1.0
2018-12-26,0.71,0.7875,0.7092,0.7414,0.7414,114498,0.0,1.0
2018-12-24,0.7801,0.7801,0.65,0.65,0.65,91114,0.0,1.0
2018-12-21,0.87,0.87,0.77,0.7801,0.7801,155126,0.0,1.0
2018-12-20,0.94,0.9554,0.64,0.8515,0.8515,339594,0.0,1.0
2018-12-19,1.02,1.02,0.934,0.9799,0.9799,204427,0.0,1.0
2018-12-18,1.13,1.13,1.0176,1.03,1.03,97539,0.0,1.0
2018-12-17,1.21,1.21,1.1,1.11,1.11,131318,0.0,1.0
2018-12-14,1.12,1.2135,1.12,1.19,1.19,168453,0.0,1.0
2018-12-13,1.19,1.2716,1.12,1.13,1.13,137894,0.0,1.0
2018-12-12,1.24,1.2799,1.1558,1.18,1.18,149616,0.0,1.0
2018-12-11,1.14,1.34,1.1021,1.2,1.2,810014,0.0,1.0
2018-12-10,1.34,1.34,1.1,1.1,1.1,412718,0.0,1.0
2018-12-07,1.37,1.42,1.31,1.37,1.37,297146,0.0,1.0
2018-12-06,1.41,1.415,1.35,1.36,1.36,109524,0.0,1.0
2018-12-04,1.47,1.47,1.3001,1.37,1.37,278317,0.0,1.0
2018-12-03,1.56,1.622,1.47,1.47,1.47,165770,0.0,1.0
2018-11-30,1.59,1.66,1.47,1.49,1.49,242683,0.0,1.0
2018-11-29,1.78,1.81,1.55,1.62,1.62,227926,0.0,1.0
2018-11-28,1.85,1.9,1.7,1.81,1.81,640982,0.0,1.0
2018-11-27,1.51,1.86,1.35,1.75,1.75,1451495,0.0,1.0
2018-11-26,1.46,1.5523,1.4,1.51,1.51,611388,0.0,1.0
2018-11-23,1.35,1.5,1.35,1.43,1.43,472122,0.0,1.0
2018-11-21,1.4,1.51,1.35,1.38,1.38,624689,0.0,1.0
2018-11-20,1.3,1.6,1.25,1.38,1.38,1814221,0.0,1.0
2018-11-19,1.45,1.45,1.3,1.32,1.32,996240,0.0,1.0
2018-11-16,1.4,1.82,1.36,1.49,1.49,1856388,0.0,1.0
2018-11-15,1.6,1.65,1.3,1.4,1.4,1791396,0.0,1.0
2018-11-14,2.69,2.83,1.91,2.05,2.05,3572412,0.0,1.0
2018-11-13,2.2,3.2,2.03,2.97,2.97,10355664,0.0,1.0
2018-11-12,2.16,2.16,1.83,1.93,1.93,1547097,0.0,1.0
2018-11-09,1.8,2.38,1.74,2.22,2.22,3444957,0.0,1.0
2018-11-08,1.77,1.95,1.69,1.77,1.77,729254,0.0,1.0
