timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,8.7,8.84,8.68,8.72,8.72,48476,0.0,1.0
2019-07-23,8.78,8.78,8.52,8.7,8.7,66161,0.0,1.0
2019-07-22,8.92,9.14,8.68,8.68,8.68,68477,0.0,1.0
2019-07-19,9.43,9.43,8.77,9.01,9.01,8241,0.0,1.0
2019-07-18,8.89,9.3,8.74,9.13,9.13,57539,0.0,1.0
2019-07-17,8.85,8.92,8.84,8.85,8.85,8010,0.0,1.0
2019-07-16,8.69,9.1,8.69,8.86,8.86,62612,0.0,1.0
2019-07-15,9.04,9.1,8.66,8.9,8.9,68876,0.0,1.0
2019-07-12,9.1,9.21,8.98,8.98,8.98,25607,0.0,1.0
2019-07-11,9.2,9.2,9.0,9.01,9.01,12986,0.0,1.0
2019-07-10,9.5,9.6,9.04,9.18,9.18,13683,0.0,1.0
2019-07-09,9.4799,9.5,9.39,9.5,9.5,8174,0.0,1.0
2019-07-08,9.56,9.62,9.37,9.52,9.52,3605,0.0,1.0
2019-07-05,9.3,9.82,9.22,9.66,9.66,16288,0.0,1.0
2019-07-03,9.365,9.64,9.365,9.425,9.425,4383,0.0,1.0
2019-07-02,9.31,9.77,9.31,9.51,9.51,40630,0.0,1.0
2019-07-01,9.49,9.74,9.34,9.36,9.36,38833,0.0,1.0
2019-06-28,9.33,9.57,9.08,9.53,9.53,115586,0.0,1.0
2019-06-27,9.03,9.49,9.03,9.41,9.41,69182,0.0,1.0
2019-06-26,9.25,9.34,8.84,9.0,9.0,360659,0.0,1.0
2019-06-25,9.19,9.38,9.07,9.29,9.29,49580,0.0,1.0
2019-06-24,9.01,9.46,9.0,9.13,9.13,50727,0.0,1.0
2019-06-21,8.98,9.35,8.98,9.1,9.1,45787,0.0,1.0
2019-06-20,9.02,9.4,8.99,9.03,9.03,63760,0.0,1.0
2019-06-19,9.45,9.5,8.98,8.99,8.99,309111,0.0,1.0
2019-06-18,9.5,9.56,9.355,9.53,9.53,94134,0.0,1.0
2019-06-17,9.54,9.55,9.27,9.48,9.48,10910,0.0,1.0
2019-06-14,9.41,9.67,9.25,9.54,9.54,50486,0.0,1.0
