timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,35.24,36.07,35.0,35.96,35.96,206672,0.0,1.0
2019-07-25,35.2,35.45,35.0,35.06,35.06,415140,0.0,1.0
2019-07-24,33.79,35.24,33.79,35.14,35.14,339987,0.0,1.0
2019-07-23,34.28,34.5,33.84,34.08,34.08,238867,0.0,1.0
2019-07-22,34.61,34.61,33.9,34.13,34.13,280771,0.0,1.0
2019-07-19,34.31,34.9,34.27,34.62,34.62,269323,0.0,1.0
2019-07-18,34.0,34.58,33.93,34.41,34.41,316757,0.0,1.0
2019-07-17,34.24,34.49,33.97,34.09,34.09,238338,0.0,1.0
2019-07-16,34.65,34.71,34.29,34.36,34.36,208634,0.0,1.0
2019-07-15,35.48,35.88,34.45,34.63,34.63,198949,0.0,1.0
2019-07-12,35.42,35.66,35.2102,35.48,35.48,214080,0.0,1.0
2019-07-11,35.32,35.56,35.03,35.3,35.3,126813,0.0,1.0
2019-07-10,35.7,35.7,35.2,35.3,35.3,132293,0.0,1.0
2019-07-09,35.19,35.77,34.87,35.66,35.66,176687,0.0,1.0
2019-07-08,35.86,35.96,35.39,35.41,35.41,106594,0.0,1.0
2019-07-05,35.91,36.47,35.85,36.08,36.08,114090,0.0,1.0
2019-07-03,35.54,35.96,35.46,35.8,35.8,55494,0.0,1.0
2019-07-02,36.24,36.26,35.08,35.41,35.41,136615,0.0,1.0
2019-07-01,36.45,36.73,35.9101,36.23,36.23,209013,0.0,1.0
2019-06-28,35.62,36.38,35.4775,35.94,35.94,1299784,0.0,1.0
2019-06-27,34.78,35.32,34.68,35.32,35.32,185758,0.0,1.0
2019-06-26,34.79,35.28,34.55,34.74,34.74,215268,0.0,1.0
2019-06-25,34.74,35.05,34.16,34.81,34.81,185255,0.0,1.0
2019-06-24,35.3,35.48,34.19,34.68,34.68,335353,0.0,1.0
2019-06-21,36.09,36.57,34.94,35.37,35.37,592398,0.0,1.0
2019-06-20,36.65,36.65,35.83,36.35,36.35,356141,0.0,1.0
2019-06-19,36.25,36.94,35.575,36.3,36.3,337216,0.0,1.0
2019-06-18,35.3,36.38,35.3,36.33,36.33,273927,0.0,1.0
2019-06-17,35.86,36.08,34.96,35.25,35.25,248050,0.0,1.0
2019-06-14,34.85,36.0058,34.5514,35.94,35.94,271117,0.0,1.0
2019-06-13,35.11,35.36,34.68,34.83,34.83,171627,0.22,1.0
2019-06-12,35.05,35.23,34.81,35.11,34.8896,104310,0.0,1.0
2019-06-11,35.18,35.3,34.78,35.12,34.8996,159523,0.0,1.0
2019-06-10,34.65,35.33,34.21,34.98,34.7604,129798,0.0,1.0
2019-06-07,34.51,34.705,34.28,34.57,34.353,109814,0.0,1.0
2019-06-06,34.51,34.83,34.05,34.66,34.4424,97697,0.0,1.0
2019-06-05,34.9,34.9,34.28,34.66,34.4424,98810,0.0,1.0
2019-06-04,34.24,35.02,34.04,34.98,34.7604,113639,0.0,1.0
2019-06-03,33.79,34.34,33.08,33.79,33.5779,190030,0.0,1.0
2019-05-31,34.03,34.375,33.67,33.8,33.5878,149704,0.0,1.0
2019-05-30,35.04,35.26,34.1,34.48,34.2636,169386,0.0,1.0
2019-05-29,34.34,35.2,33.96,35.05,34.83,207734,0.0,1.0
2019-05-28,34.99,35.01,34.45,34.65,34.4325,211499,0.0,1.0
2019-05-24,34.25,35.13,34.25,35.03,34.8101,124012,0.0,1.0
2019-05-23,34.69,34.69,33.78,34.17,33.9555,155450,0.0,1.0
2019-05-22,35.22,35.3977,34.83,35.03,34.8101,114000,0.0,1.0
2019-05-21,35.33,35.44,35.2,35.44,35.2176,112780,0.0,1.0
2019-05-20,35.14,35.66,35.07,35.27,35.0486,122806,0.0,1.0
2019-05-17,35.24,35.86,35.06,35.34,35.1182,113359,0.0,1.0
2019-05-16,35.46,35.81,35.36,35.54,35.3169,128374,0.0,1.0
2019-05-15,35.32,35.42,34.88,35.37,35.148,182246,0.0,1.0
2019-05-14,34.98,35.8,34.8095,35.6,35.3765,131851,0.0,1.0
2019-05-13,35.89,36.11,34.87,35.01,34.7903,236322,0.0,1.0
2019-05-10,36.2,36.72,36.07,36.47,36.2411,192928,0.0,1.0
2019-05-09,35.99,36.535,35.7,36.36,36.1318,128086,0.0,1.0
2019-05-08,36.5,36.68,36.2351,36.3,36.0722,142561,0.0,1.0
