timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,5.23,5.33,4.92,5.17,5.17,15529444,0.0,1.0
2019-07-25,5.63,5.67,5.12,5.13,5.13,11490788,0.0,1.0
2019-07-24,5.41,5.73,5.41,5.56,5.56,10731922,0.0,1.0
2019-07-23,5.46,5.58,5.3215,5.48,5.48,10334841,0.0,1.0
2019-07-22,5.33,5.495,5.25,5.46,5.46,10215328,0.0,1.0
2019-07-19,5.585,5.65,5.185,5.29,5.29,23033188,0.0,1.0
2019-07-18,5.19,5.28,4.96,5.14,5.14,16657017,0.0,1.0
2019-07-17,5.58,5.61,5.19,5.23,5.23,16589040,0.0,1.0
2019-07-16,5.95,5.97,5.44,5.59,5.59,18828690,0.0,1.0
2019-07-15,6.19,6.28,5.985,6.01,6.01,8685371,0.0,1.0
2019-07-12,6.12,6.33,6.05,6.28,6.28,7308352,0.0,1.0
2019-07-11,6.41,6.53,6.09,6.11,6.11,7711113,0.0,1.0
2019-07-10,6.29,6.47,6.19,6.42,6.42,8248871,0.0,1.0
2019-07-09,6.1,6.25,5.98,6.22,6.22,10063528,0.0,1.0
2019-07-08,6.25,6.36,6.11,6.13,6.13,7045878,0.0,1.0
2019-07-05,6.13,6.4,6.1086,6.29,6.29,11876071,0.0,1.0
2019-07-03,6.22,6.25,6.03,6.1,6.1,5873771,0.0,1.0
2019-07-02,6.75,6.75,6.17,6.18,6.18,10939775,0.0,1.0
2019-07-01,7.09,7.137,6.67,6.75,6.75,8612402,0.0,1.0
2019-06-28,6.92,7.1,6.87,6.98,6.98,6689568,0.0,1.0
2019-06-27,6.89,7.07,6.78,6.89,6.89,5322080,0.0,1.0
2019-06-26,6.78,7.03,6.73,6.91,6.91,5274614,0.0,1.0
2019-06-25,7.04,7.08,6.74,6.76,6.76,8571713,0.0,1.0
2019-06-24,7.03,7.23,6.99,7.09,7.09,8525858,0.0,1.0
2019-06-21,6.88,7.05,6.82,7.03,7.03,10565670,0.0,1.0
2019-06-20,6.97,7.295,6.81,6.86,6.86,12896396,0.0,1.0
2019-06-19,6.83,7.005,6.6908,6.8,6.8,11639058,0.0,1.0
2019-06-18,6.71,6.97,6.71,6.83,6.83,5441155,0.0,1.0
2019-06-17,6.5,6.82,6.425,6.69,6.69,7208813,0.0,1.0
2019-06-14,6.69,6.79,6.51,6.53,6.53,9075641,0.0,1.0
2019-06-13,6.75,6.79,6.59,6.74,6.74,7084900,0.02,1.0
2019-06-12,6.78,6.8,6.525,6.58,6.5605,10487097,0.0,1.0
2019-06-11,7.15,7.16,6.82,6.85,6.8297,11597911,0.0,1.0
2019-06-10,7.29,7.49,7.03,7.09,7.069,9542699,0.0,1.0
2019-06-07,7.42,7.51,7.09,7.29,7.2684,11526613,0.0,1.0
2019-06-06,7.71,7.87,7.265,7.49,7.4678,9133750,0.0,1.0
2019-06-05,8.25,8.25,7.645,7.74,7.7171,6127754,0.0,1.0
2019-06-04,8.2,8.38,7.99,8.31,8.2854,6419309,0.0,1.0
2019-06-03,7.87,8.13,7.72,8.11,8.086,8868233,0.0,1.0
2019-05-31,7.64,7.86,7.61,7.82,7.7969,6750796,0.0,1.0
2019-05-30,8.02,8.22,7.78,7.81,7.7869,5745429,0.0,1.0
2019-05-29,7.73,8.18,7.68,8.16,8.1359,5693288,0.0,1.0
2019-05-28,7.93,7.98,7.695,7.83,7.8068,5359366,0.0,1.0
2019-05-24,7.84,8.12,7.8,7.96,7.9364,6530586,0.0,1.0
2019-05-23,7.93,7.95,7.6065,7.77,7.747,13701010,0.0,1.0
2019-05-22,8.46,8.56,8.05,8.07,8.0461,7797190,0.0,1.0
2019-05-21,8.31,8.6,8.275,8.6,8.5746,7591632,0.0,1.0
2019-05-20,8.77,8.8,8.3,8.31,8.2854,7941253,0.0,1.0
