timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,133.65,133.91,131.06,131.36,131.36,442666,0.0,1.0
2019-07-25,130.31,134.32,130.31,133.89,133.89,346532,0.0,1.0
2019-07-24,129.85,130.61,128.94,130.19,130.19,357255,0.0,1.0
2019-07-23,131.42,132.05,130.0,130.64,130.64,340345,0.0,1.0
2019-07-22,129.7,132.58,129.7,130.76,130.76,265095,0.0,1.0
2019-07-19,131.77,132.88,129.74,129.98,129.98,325116,0.0,1.0
2019-07-18,129.63,132.18,127.93,131.505,131.505,394206,0.0,1.0
2019-07-17,129.27,130.145,128.58,128.61,128.61,263876,0.0,1.0
2019-07-16,134.77,135.19,129.76,129.82,129.82,386414,0.0,1.0
2019-07-15,133.89,135.25,132.11,135.05,135.05,367127,0.0,1.0
2019-07-12,136.87,136.89,132.36,135.26,135.26,321203,0.0,1.0
2019-07-11,140.76,141.63,136.52,136.82,136.82,302916,0.0,1.0
2019-07-10,139.89,142.1,139.41,140.48,140.48,273741,0.0,1.0
2019-07-09,139.21,141.0,138.9,140.08,140.08,294007,0.0,1.0
2019-07-08,143.45,144.24,138.84,139.47,139.47,234921,0.0,1.0
2019-07-05,141.81,142.87,139.5052,142.43,142.43,193102,0.0,1.0
2019-07-03,140.72,142.66,139.8,142.29,142.29,169039,0.0,1.0
2019-07-02,140.19,141.6235,139.21,140.83,140.83,299368,0.0,1.0
2019-07-01,137.48,140.91,135.57,140.1,140.1,482260,0.0,1.0
2019-06-28,131.64,137.08,131.0,136.56,136.56,1046337,0.0,1.0
2019-06-27,130.25,132.28,129.6,131.73,131.73,220335,0.0,1.0
2019-06-26,131.17,131.78,129.215,130.07,130.07,338580,0.0,1.0
2019-06-25,133.78,134.9501,127.51,131.03,131.03,615123,0.0,1.0
2019-06-24,133.29,135.03,132.77,134.0,134.0,246762,0.0,1.0
2019-06-21,133.86,135.13,131.79,133.54,133.54,393982,0.0,1.0
2019-06-20,134.41,134.97,132.94,134.43,134.43,289035,0.0,1.0
