timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,16.39,16.45,16.27,16.35,16.35,17992,0.0,1.0
2019-07-24,16.5082,16.58,16.5082,16.58,16.58,13815,0.0,1.0
2019-07-23,16.45,16.604,16.44,16.6,16.6,39995,0.0,1.0
2019-07-22,16.122,16.19,16.11,16.1325,16.1325,26461,0.0,1.0
2019-07-19,16.16,16.26,16.08,16.08,16.08,321529,0.0,1.0
2019-07-18,16.025,16.07,15.8319,16.03,16.03,832821,0.0,1.0
2019-07-17,16.488,16.518,16.3,16.34,16.34,498834,0.0,1.0
2019-07-16,16.92,17.06,16.918,17.02,17.02,37003,0.0,1.0
2019-07-15,17.1525,17.1876,17.052,17.14,17.14,11427,0.0,1.0
2019-07-12,16.88,16.8875,16.81,16.84,16.84,7191,0.0,1.0
2019-07-11,16.731,16.777,16.67,16.777,16.777,7212,0.0,1.0
2019-07-10,17.151,17.19,16.91,16.99,16.99,34134,0.0,1.0
2019-07-09,17.091,17.15,17.078,17.15,17.15,17639,0.0,1.0
2019-07-08,17.425,17.563,17.42,17.53,17.53,5879,0.0,1.0
2019-07-05,17.424,17.5375,17.35,17.515,17.515,19038,0.0,1.0
2019-07-03,18.42,18.476,18.375,18.43,18.43,7923,0.0,1.0
2019-07-02,18.49,18.5975,18.47,18.56,18.56,19930,0.0,1.0
2019-07-01,18.61,18.73,18.521,18.59,18.59,11158,0.0,1.0
2019-06-28,18.38,18.455,18.3554,18.375,18.375,9024,0.0,1.0
2019-06-27,18.33,18.35,18.22,18.29,18.29,47193,0.0,1.0
2019-06-26,18.2975,18.328,18.22,18.22,18.22,7047,0.0,1.0
2019-06-25,18.217,18.27,18.0775,18.0775,18.0775,21091,0.0,1.0
2019-06-24,18.14,18.19,18.07,18.09,18.09,21609,0.0,1.0
2019-06-21,18.06,18.24,18.06,18.17,18.17,15222,0.0,1.0
2019-06-20,17.75,18.21,17.75,18.185,18.185,94310,0.0,1.0
2019-06-19,17.53,17.6,17.45,17.565,17.565,14622,0.0,1.0
2019-06-18,17.2,17.55,17.2,17.46,17.46,18186,0.0,1.0
2019-06-17,17.05,17.165,16.991,17.006,17.006,243684,0.0,1.0
2019-06-14,17.14,17.211,17.06,17.13,17.13,361746,0.0,1.0
2019-06-13,17.284,17.32,17.222,17.222,17.222,358903,0.0,1.0
2019-06-12,17.07,17.19,17.04,17.04,17.04,390734,0.0,1.0
2019-06-11,16.98,17.05,16.84,16.91,16.91,39162,0.0,1.0
2019-06-10,16.658,16.676,16.57,16.57,16.57,8254,0.0,1.0
2019-06-07,16.46,16.63,16.43,16.5,16.5,13856,0.0,1.0
2019-06-06,16.164,16.29,16.11,16.29,16.29,13086,0.0,1.0
2019-06-05,16.13,16.21,16.05,16.15,16.15,8094,0.0,1.0
2019-06-04,15.95,16.04,15.8206,16.026,16.026,46772,0.0,1.0
2019-06-03,15.38,15.55,15.32,15.4,15.4,120895,0.0,1.0
2019-05-31,15.33,15.5,15.32,15.49,15.49,37154,0.0,1.0
2019-05-30,15.85,15.91,15.83,15.9,15.9,12088,0.0,1.0
2019-05-29,15.61,15.81,15.6,15.76,15.76,36494,0.0,1.0
2019-05-28,15.872,15.89,15.7,15.71,15.71,8261,0.0,1.0
2019-05-24,16.17,16.21,16.1,16.185,16.185,3810,0.0,1.0
2019-05-23,15.99,15.99,15.85,15.895,15.895,11181,0.0,1.0
2019-05-22,16.7,16.7,16.588,16.61,16.61,5318,0.0,1.0
2019-05-21,16.73,16.81,16.694,16.8,16.8,11674,0.0,1.0
2019-05-20,16.48,16.535,16.43,16.48,16.48,6327,0.0,1.0
2019-05-17,16.88,16.908,16.75,16.77,16.77,25963,0.0,1.0
2019-05-16,16.92,17.2,16.92,17.12,17.12,156860,0.0,1.0
2019-05-15,16.7,17.07,16.7,16.87,16.87,8809,0.0,1.0
2019-05-14,16.82,16.92,16.71,16.8,16.8,19886,0.0,1.0
2019-05-13,16.51,16.59,16.43,16.52,16.52,12475,0.0,1.0
2019-05-10,17.03,17.17,16.88,17.135,17.135,40577,0.0,1.0
2019-05-09,16.87,17.14,16.8,17.11,17.11,15976,0.0,1.0
2019-05-08,17.29,17.45,17.29,17.33,17.33,17207,0.0,1.0
2019-05-07,17.24,17.262,17.0975,17.15,17.15,14682,0.0,1.0
2019-05-06,17.37,17.66,17.37,17.625,17.625,8251,0.0,1.0
2019-05-03,17.84,17.96,17.83,17.906,17.906,6682,0.0,1.0
2019-05-02,18.19,18.19,17.92,17.94,17.94,12874,0.0,1.0
2019-05-01,18.6,18.64,18.4,18.4,18.4,3510,0.4515,1.0
2019-04-30,18.65,18.95,18.65,18.93,18.4767,10272,0.0,1.0
2019-04-29,18.67,18.83,18.66,18.755,18.3059,5324,0.0,1.0
2019-04-26,18.68,18.77,18.61,18.655,18.2082,13109,0.0,1.0
2019-04-25,18.888,18.9,18.792,18.83,18.3791,5065,0.0,1.0
2019-04-24,18.88,19.05,18.88,18.96,18.5059,13070,0.0,1.0
2019-04-23,18.538,18.62,18.538,18.62,18.1741,10508,0.0,1.0
2019-04-22,18.74,18.95,18.74,18.95,18.4962,4543,0.0,1.0
2019-04-18,18.9,18.9,18.748,18.805,18.3547,3526,0.0,1.0
2019-04-17,18.23,18.39,18.23,18.354,17.9145,62765,0.0,1.0
2019-04-16,18.09,18.2,18.07,18.2,17.7641,127902,0.0,1.0
2019-04-15,18.2,18.2,18.1,18.14,17.7056,4675,0.0,1.0
2019-04-12,18.12,18.13,18.05,18.095,17.6617,6531,0.0,1.0
2019-04-11,17.975,17.99,17.85,17.925,17.4957,3661,0.0,1.0
2019-04-10,17.73,17.98,17.73,17.92,17.4909,16139,0.0,1.0
2019-04-09,17.69,17.7875,17.63,17.665,17.242,6237,0.0,1.0
2019-04-08,17.66,17.75,17.66,17.705,17.281,5730,0.0,1.0
