timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,1.23,1.25,1.2,1.23,1.23,1567380,0.0,1.0
2019-07-23,1.22,1.24,1.19,1.235,1.235,793758,0.0,1.0
2019-07-22,1.23,1.26,1.2,1.21,1.21,925567,0.0,1.0
2019-07-19,1.27,1.28,1.23,1.26,1.26,636227,0.0,1.0
2019-07-18,1.32,1.35,1.26,1.26,1.26,823227,0.0,1.0
2019-07-17,1.28,1.39,1.28,1.31,1.31,2379375,0.0,1.0
2019-07-16,1.21,1.32,1.21,1.29,1.29,1616310,0.0,1.0
2019-07-15,1.2,1.24,1.19,1.22,1.22,1078174,0.0,1.0
2019-07-12,1.2,1.2184,1.19,1.2,1.2,1158317,0.0,1.0
2019-07-11,1.22,1.24,1.19,1.22,1.22,957157,0.0,1.0
2019-07-10,1.24,1.27,1.17,1.225,1.225,2438931,0.0,1.0
2019-07-09,1.27,1.28,1.23,1.23,1.23,1237004,0.0,1.0
2019-07-08,1.22,1.29,1.16,1.29,1.29,2095369,0.0,1.0
2019-07-05,1.33,1.34,1.2,1.23,1.23,4612782,0.0,1.0
2019-07-03,1.41,1.41,1.34,1.35,1.35,1769207,0.0,1.0
2019-07-02,1.47,1.48,1.38,1.39,1.39,2622591,0.0,1.0
2019-07-01,1.53,1.54,1.36,1.51,1.51,3934048,0.0,1.0
2019-06-28,1.59,1.62,1.5,1.5,1.5,3120006,0.0,1.0
2019-06-27,1.68,1.72,1.6,1.6,1.6,2546993,0.0,1.0
2019-06-26,1.52,1.66,1.51,1.66,1.66,2857489,0.0,1.0
2019-06-25,1.45,1.53,1.43,1.5,1.5,1939638,0.0,1.0
2019-06-24,1.41,1.49,1.41,1.47,1.47,1872001,0.0,1.0
2019-06-21,1.37,1.48,1.33,1.44,1.44,3490619,0.0,1.0
2019-06-20,1.48,1.48,1.35,1.4,1.4,3928907,0.0,1.0
2019-06-19,1.26,1.48,1.25,1.48,1.48,15656164,0.0,1.0
2019-06-18,1.86,1.92,1.81,1.84,1.84,3034382,0.0,1.0
2019-06-17,1.73,1.9,1.72,1.85,1.85,2632665,0.0,1.0
2019-06-14,1.85,1.85,1.66,1.7,1.7,3419101,0.0,1.0
2019-06-13,1.91,1.92,1.75,1.83,1.83,3791167,0.0,1.0
2019-06-12,2.05,2.07,1.85,1.91,1.91,4437756,0.0,1.0
2019-06-11,1.97,2.21,1.96,2.05,2.05,4786512,0.0,1.0
2019-06-10,2.5,2.53,1.8,1.9,1.9,10605206,0.0,1.0
2019-06-07,2.21,2.4,2.12,2.32,2.32,4882568,0.0,1.0
2019-06-06,2.05,2.19,2.04,2.14,2.14,1839864,0.0,1.0
2019-06-05,2.23,2.25,2.09,2.09,2.09,1993260,0.0,1.0
2019-06-04,2.17,2.25,2.11,2.23,2.23,1778803,0.0,1.0
2019-06-03,2.25,2.32,2.0118,2.15,2.15,2492632,0.0,1.0
2019-05-31,2.26,2.38,2.16,2.22,2.22,3126695,0.0,1.0
2019-05-30,2.5,2.6,2.15,2.36,2.36,7149130,0.0,1.0
2019-05-29,2.26,2.46,2.17,2.46,2.46,5539810,0.0,1.0
2019-05-28,2.06,2.29,2.03,2.27,2.27,4562919,0.0,1.0
2019-05-24,2.03,2.18,1.99,2.02,2.02,3802383,0.0,1.0
2019-05-23,2.0,2.06,1.9325,2.05,2.05,2767876,0.0,1.0
2019-05-22,1.86,2.17,1.8,2.06,2.06,7404312,0.0,1.0
2019-05-21,2.02,2.35,1.83,1.97,1.97,26806400,0.0,1.0
2019-05-20,1.46,1.75,1.41,1.75,1.75,6113996,0.0,1.0
2019-05-17,1.38,1.47,1.3,1.44,1.44,3300552,0.0,1.0
2019-05-16,1.23,1.39,1.2,1.37,1.37,2916747,0.0,1.0
2019-05-15,1.17,1.27,1.16,1.26,1.26,1061584,0.0,1.0
2019-05-14,1.19,1.2,1.13,1.19,1.19,1385808,0.0,1.0
2019-05-13,1.24,1.24,1.1,1.13,1.13,4174791,0.0,1.0
2019-05-10,1.25,1.28,1.13,1.16,1.16,3534191,0.0,1.0
2019-05-09,1.3,1.31,1.22,1.23,1.23,1402562,0.0,1.0
2019-05-08,1.26,1.32,1.22,1.3,1.3,1862626,0.0,1.0
2019-05-07,1.36,1.41,1.22,1.24,1.24,3760889,0.0,1.0
2019-05-06,1.26,1.38,1.25,1.34,1.34,1947841,0.0,1.0
2019-05-03,1.25,1.33,1.23,1.3,1.3,2207357,0.0,1.0
2019-05-02,1.24,1.26,1.21,1.23,1.23,890894,0.0,1.0
2019-05-01,1.26,1.28,1.2,1.23,1.23,1034591,0.0,1.0
2019-04-30,1.28,1.31,1.18,1.24,1.24,2430988,0.0,1.0
2019-04-29,1.11,1.2901,1.1,1.24,1.24,5732836,0.0,1.0
2019-04-26,1.07,1.11,1.06,1.1,1.1,677673,0.0,1.0
2019-04-25,1.08,1.12,1.05,1.08,1.08,829468,0.0,1.0
2019-04-24,1.07,1.12,1.06,1.08,1.08,872337,0.0,1.0
2019-04-23,1.05,1.095,1.03,1.07,1.07,1149073,0.0,1.0
2019-04-22,1.16,1.16,1.0,1.025,1.025,4199587,0.0,1.0
2019-04-18,1.17,1.27,1.13,1.18,1.18,1695027,0.0,1.0
2019-04-17,1.33,1.4193,1.17,1.18,1.18,3497114,0.0,1.0
2019-04-16,1.15,1.51,1.1,1.35,1.35,11900962,0.0,1.0
2019-04-15,1.03,1.15,1.0,1.13,1.13,3379385,0.0,1.0
2019-04-12,0.9782,1.05,0.974,1.03,1.03,2084361,0.0,1.0
2019-04-11,1.0,1.0,0.9516,0.9702,0.9702,377495,0.0,1.0
2019-04-10,0.99,0.9985,0.9303,0.9984,0.9984,915934,0.0,1.0
2019-04-09,0.98,0.98,0.9316,0.952,0.952,686058,0.0,1.0
2019-04-08,1.02,1.02,0.962,0.9762,0.9762,979652,0.0,1.0
2019-04-05,1.02,1.03,1.0,1.01,1.01,554712,0.0,1.0
2019-04-04,1.05,1.05,1.0,1.02,1.02,570448,0.0,1.0
2019-04-03,1.03,1.04,1.01,1.03,1.03,800996,0.0,1.0
2019-04-02,1.0,1.04,0.95,1.01,1.01,1514351,0.0,1.0
2019-04-01,1.03,1.05,0.99,1.0,1.0,825532,0.0,1.0
2019-03-29,0.97,1.05,0.97,1.03,1.03,2315698,0.0,1.0
2019-03-28,0.9001,0.975,0.8901,0.96,0.96,1418686,0.0,1.0
2019-03-27,0.8894,0.91,0.867,0.9002,0.9002,975705,0.0,1.0
2019-03-26,0.88,0.9099,0.8512,0.9,0.9,360782,0.0,1.0
2019-03-25,0.8905,0.8905,0.84,0.8711,0.8711,558004,0.0,1.0
2019-03-22,0.91,0.91,0.855,0.88,0.88,1157354,0.0,1.0
2019-03-21,0.96,0.965,0.886,0.909,0.909,1437521,0.0,1.0
2019-03-20,0.9833,0.9897,0.956,0.9636,0.9636,488239,0.0,1.0
2019-03-19,0.9615,0.992,0.96,0.9803,0.9803,1041888,0.0,1.0
2019-03-18,0.97,0.9897,0.9501,0.959,0.959,577277,0.0,1.0
2019-03-15,0.9893,1.01,0.95,0.9654,0.9654,636451,0.0,1.0
2019-03-14,1.02,1.02,0.98,0.9827,0.9827,679872,0.0,1.0
2019-03-13,1.02,1.02,0.98,1.01,1.01,948644,0.0,1.0
2019-03-12,0.98,1.02,0.96,1.01,1.01,1431934,0.0,1.0
2019-03-11,0.9225,0.98,0.91,0.9582,0.9582,1140403,0.0,1.0
2019-03-08,0.8709,0.9646,0.8709,0.9289,0.9289,834915,0.0,1.0
2019-03-07,0.875,0.8779,0.85,0.8646,0.8646,672282,0.0,1.0
