timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,16.46,16.81,16.45,16.67,16.67,2044547,0.0,1.0
2019-07-23,16.12,16.535,16.07,16.42,16.42,2098876,0.0,1.0
2019-07-22,16.04,16.15,15.9,16.06,16.06,1400080,0.0,1.0
2019-07-19,16.22,16.2784,15.925,15.99,15.99,1653575,0.0,1.0
2019-07-18,16.37,16.39,16.02,16.26,16.26,1011871,0.0,1.0
2019-07-17,16.62,16.6721,16.25,16.39,16.39,1675440,0.0,1.0
2019-07-16,16.4,16.69,16.32,16.56,16.56,1374718,0.0,1.0
2019-07-15,16.46,16.58,16.33,16.5,16.5,1310152,0.0,1.0
2019-07-12,16.34,16.535,16.34,16.39,16.39,1268930,0.0,1.0
2019-07-11,16.45,16.5862,16.24,16.34,16.34,1213589,0.0,1.0
2019-07-10,16.48,16.6265,16.295,16.45,16.45,1406303,0.0,1.0
2019-07-09,16.28,16.41,16.12,16.39,16.39,899748,0.0,1.0
2019-07-08,16.32,16.535,16.26,16.29,16.29,2062244,0.0,1.0
2019-07-05,16.16,16.4,15.96,16.34,16.34,1350000,0.0,1.0
2019-07-03,16.23,16.49,16.12,16.16,16.16,1177732,0.0,1.0
2019-07-02,15.9,16.22,15.76,16.17,16.17,1468556,0.0,1.0
2019-07-01,16.47,16.55,15.66,15.82,15.82,2856079,0.0,1.0
2019-06-28,16.04,16.33,16.01,16.21,16.21,3181490,0.0,1.0
2019-06-27,15.64,16.09,15.62,16.02,16.02,2271165,0.0,1.0
2019-06-26,15.87,15.94,15.475,15.53,15.53,2529829,0.0,1.0
2019-06-25,15.6,16.07,15.5472,15.86,15.86,2123450,0.0,1.0
2019-06-24,16.16,16.1682,15.58,15.6,15.6,2046420,0.0,1.0
2019-06-21,16.17,16.2,15.76,16.12,16.12,3395500,0.0,1.0
2019-06-20,16.41,16.45,16.17,16.17,16.17,1184570,0.0,1.0
2019-06-19,16.53,16.55,16.16,16.3,16.3,2006795,0.0,1.0
2019-06-18,16.61,16.94,16.48,16.55,16.55,1615767,0.0,1.0
2019-06-17,16.25,16.58,16.25,16.52,16.52,944895,0.0,1.0
2019-06-14,16.5,16.59,16.2,16.21,16.21,1154058,0.0,1.0
