timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,2.34,2.36,2.23,2.24,2.24,261029,0.0,1.0
2019-07-25,2.44,2.44,2.3,2.34,2.34,200453,0.0,1.0
2019-07-24,2.42,2.45,2.35,2.43,2.43,248544,0.0,1.0
2019-07-23,2.46,2.52,2.36,2.42,2.42,232301,0.0,1.0
2019-07-22,2.46,2.54,2.41,2.46,2.46,144696,0.0,1.0
2019-07-19,2.42,2.46,2.38,2.46,2.46,137245,0.0,1.0
2019-07-18,2.47,2.5,2.35,2.44,2.44,445461,0.0,1.0
2019-07-17,2.51,2.53,2.38,2.47,2.47,549051,0.0,1.0
2019-07-16,2.4,2.495,2.33,2.34,2.34,365281,0.0,1.0
2019-07-15,2.47,2.48,2.38,2.39,2.39,159631,0.0,1.0
2019-07-12,2.49,2.54,2.41,2.44,2.44,122092,0.0,1.0
2019-07-11,2.5,2.565,2.41,2.51,2.51,212012,0.0,1.0
2019-07-10,2.37,2.505,2.33,2.5,2.5,332750,0.0,1.0
2019-07-09,2.24,2.34,2.225,2.34,2.34,161848,0.0,1.0
2019-07-08,2.25,2.32,2.2,2.28,2.28,327627,0.0,1.0
2019-07-05,2.24,2.36,2.16,2.24,2.24,316238,0.0,1.0
2019-07-03,2.37,2.3897,2.17,2.23,2.23,304698,0.0,1.0
2019-07-02,2.49,2.51,2.29,2.33,2.33,358256,0.0,1.0
2019-07-01,2.54,2.57,2.46,2.5,2.5,205895,0.0,1.0
2019-06-28,2.37,2.505,2.36,2.44,2.44,373327,0.0,1.0
2019-06-27,2.36,2.44,2.31,2.37,2.37,420593,0.0,1.0
2019-06-26,2.42,2.55,2.325,2.33,2.33,357329,0.0,1.0
2019-06-25,2.45,2.57,2.38,2.4,2.4,280062,0.0,1.0
2019-06-24,2.67,2.68,2.432,2.48,2.48,341078,0.0,1.0
2019-06-21,2.87,2.93,2.65,2.68,2.68,222992,0.0,1.0
2019-06-20,2.8,2.95,2.8,2.89,2.89,165965,0.0,1.0
2019-06-19,2.75,2.84,2.71,2.76,2.76,227097,0.0,1.0
2019-06-18,2.75,2.93,2.729,2.76,2.76,631130,0.0,1.0
2019-06-17,2.78,2.81,2.67,2.69,2.69,283111,0.0,1.0
2019-06-14,2.87,2.95,2.75,2.78,2.78,108480,0.0,1.0
2019-06-13,2.86,2.96,2.75,2.88,2.88,175086,0.0,1.0
2019-06-12,2.94,3.04,2.76,2.81,2.81,118825,0.0,1.0
2019-06-11,3.04,3.13,2.95,2.96,2.96,160546,0.0,1.0
2019-06-10,3.0,3.13,2.97,3.0,3.0,192814,0.0,1.0
2019-06-07,2.92,2.97,2.78,2.96,2.96,156272,0.0,1.0
2019-06-06,2.87,2.94,2.78,2.91,2.91,222369,0.0,1.0
2019-06-05,3.29,3.38,2.85,2.85,2.85,245800,0.0,1.0
2019-06-04,3.4,3.4332,3.28,3.29,3.29,134446,0.0,1.0
2019-06-03,3.28,3.47,3.271,3.35,3.35,182043,0.0,1.0
2019-05-31,3.25,3.37,3.25,3.33,3.33,69074,0.0,1.0
2019-05-30,3.45,3.575,3.3,3.32,3.32,122391,0.0,1.0
2019-05-29,3.25,3.53,3.21,3.47,3.47,155785,0.0,1.0
2019-05-28,3.35,3.36,3.27,3.3,3.3,119235,0.0,1.0
2019-05-24,3.31,3.44,3.2501,3.36,3.36,67053,0.0,1.0
2019-05-23,3.33,3.37,3.1701,3.28,3.28,278304,0.0,1.0
