timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,0.9201,0.9383,0.7909,0.8002,0.8002,2161004,0.0,1.0
2019-07-24,1.06,1.13,0.876,0.8949,0.8949,4796676,0.0,1.0
2019-07-23,1.01,1.07,0.9752,1.06,1.06,4975777,0.0,1.0
2019-07-22,0.8385,1.04,0.83,1.01,1.01,3419002,0.0,1.0
2019-07-19,0.8001,0.825,0.7629,0.8199,0.8199,1629388,0.0,1.0
2019-07-18,0.88,0.8853,0.771,0.8032,0.8032,2536104,0.0,1.0
2019-07-17,0.9501,0.9701,0.8789,0.886,0.886,1898260,0.0,1.0
2019-07-16,1.08,1.09,0.946,0.9517,0.9517,3125980,0.0,1.0
2019-07-15,1.17,1.18,1.05,1.06,1.06,1805504,0.0,1.0
2019-07-12,1.17,1.21,1.13,1.17,1.17,3415392,0.0,1.0
2019-07-11,1.23,1.25,1.16,1.17,1.17,2844197,0.0,1.0
2019-07-10,1.19,1.25,1.15,1.23,1.23,3309559,0.0,1.0
2019-07-09,1.2,1.22,1.13,1.19,1.19,3490888,0.0,1.0
2019-07-08,1.23,1.32,1.21,1.22,1.22,2532114,0.0,1.0
2019-07-05,1.28,1.29,1.22,1.25,1.25,1952469,0.0,1.0
2019-07-03,1.33,1.33,1.28,1.3,1.3,815433,0.0,1.0
2019-07-02,1.39,1.39,1.25,1.33,1.33,3357791,0.0,1.0
2019-07-01,1.38,1.46,1.32,1.39,1.39,4390205,0.0,1.0
2019-06-28,1.22,1.33,1.18,1.3,1.3,6700085,0.0,1.0
2019-06-27,1.26,1.31,1.21,1.22,1.22,5122445,0.0,1.0
2019-06-26,1.31,1.35,1.26,1.27,1.27,4397897,0.0,1.0
2019-06-25,1.26,1.31,1.215,1.28,1.28,2922172,0.0,1.0
2019-06-24,1.44,1.49,1.28,1.29,1.29,5713239,0.0,1.0
2019-06-21,1.56,1.625,1.38,1.44,1.44,10444804,0.0,1.0
2019-06-20,1.54,1.6,1.52,1.55,1.55,4886531,0.0,1.0
2019-06-19,1.47,1.575,1.415,1.48,1.48,6787534,0.0,1.0
2019-06-18,1.47,1.6,1.405,1.46,1.46,7208114,0.0,1.0
2019-06-17,1.3,1.46,1.23,1.43,1.43,3616128,0.0,1.0
2019-06-14,1.48,1.48,1.27,1.3,1.3,3371083,0.0,1.0
2019-06-13,1.4,1.49,1.32,1.48,1.48,3750424,0.0,1.0
2019-06-12,1.6,1.62,1.37,1.38,1.38,4246732,0.0,1.0
2019-06-11,1.68,1.7188,1.54,1.63,1.63,6273640,0.0,1.0
2019-06-10,1.58,1.69,1.56,1.65,1.65,3828139,0.0,1.0
2019-06-07,1.63,1.65,1.475,1.57,1.57,4385185,0.0,1.0
2019-06-06,1.64,1.72,1.58,1.64,1.64,2525288,0.0,1.0
2019-06-05,1.88,1.9,1.59,1.64,1.64,6039619,0.0,1.0
2019-06-04,1.7,1.99,1.68,1.84,1.84,6235750,0.0,1.0
2019-06-03,1.66,1.69,1.57,1.62,1.62,3143851,0.0,1.0
2019-05-31,1.61,1.68,1.571,1.62,1.62,2669173,0.0,1.0
2019-05-30,1.75,1.84,1.67,1.69,1.69,3058780,0.0,1.0
2019-05-29,1.84,1.88,1.74,1.78,1.78,4246451,0.0,1.0
2019-05-28,1.92,1.95,1.84,1.91,1.91,3485730,0.0,1.0
2019-05-24,1.99,2.02,1.91,1.92,1.92,3001144,0.0,1.0
2019-05-23,2.1,2.12,1.87,1.95,1.95,5361954,0.0,1.0
2019-05-22,2.28,2.31,2.12,2.17,2.17,4502024,0.0,1.0
