timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,11.6,11.78,11.33,11.41,11.41,181009,0.0,1.0
2019-07-24,11.18,11.73,11.18,11.6,11.6,311408,0.0,1.0
2019-07-23,11.36,11.55,11.13,11.15,11.15,406788,0.0,1.0
2019-07-22,11.51,11.67,11.15,11.27,11.27,319655,0.0,1.0
2019-07-19,11.43,11.63,11.231,11.45,11.45,540639,0.0,1.0
2019-07-18,11.73,11.83,11.38,11.46,11.46,301148,0.0,1.0
2019-07-17,11.85,11.92,11.55,11.72,11.72,470066,0.0,1.0
2019-07-16,11.61,12.06,11.61,11.83,11.83,334313,0.0,1.0
2019-07-15,11.65,11.7134,11.46,11.56,11.56,223585,0.0,1.0
2019-07-12,11.43,11.745,11.39,11.62,11.62,207514,0.0,1.0
2019-07-11,11.51,11.64,11.31,11.34,11.34,268171,0.0,1.0
2019-07-10,11.32,11.48,11.17,11.45,11.45,280259,0.0,1.0
2019-07-09,11.35,11.39,11.02,11.21,11.21,271576,0.0,1.0
2019-07-08,11.47,11.63,11.09,11.37,11.37,576363,0.0,1.0
2019-07-05,11.32,11.56,11.28,11.54,11.54,102383,0.0,1.0
2019-07-03,11.4,11.53,11.25,11.32,11.32,75976,0.0,1.0
2019-07-02,11.55,11.57,11.23,11.38,11.38,155614,0.0,1.0
2019-07-01,11.84,12.235,11.44,11.53,11.53,289928,0.0,1.0
2019-06-28,11.53,11.85,11.47,11.67,11.67,396188,0.0,1.0
2019-06-27,11.37,11.62,11.256,11.46,11.46,234482,0.0,1.0
2019-06-26,11.51,11.65,11.1575,11.32,11.32,302661,0.0,1.0
2019-06-25,11.3,11.68,11.16,11.5,11.5,456853,0.0,1.0
2019-06-24,10.95,11.17,10.82,10.89,10.89,378698,0.0,1.0
2019-06-21,11.21,11.31,10.7,10.95,10.95,1067624,0.0,1.0
2019-06-20,11.29,11.62,11.2,11.21,11.21,291185,0.0,1.0
2019-06-19,11.43,11.43,11.16,11.24,11.24,288079,0.0,1.0
2019-06-18,11.37,11.68,11.37,11.42,11.42,147938,0.0,1.0
2019-06-17,11.25,11.57,11.19,11.33,11.33,242212,0.0,1.0
2019-06-14,11.68,11.69,11.3,11.31,11.31,122121,0.0,1.0
2019-06-13,11.71,11.98,11.61,11.71,11.71,213415,0.19,1.0
2019-06-12,11.55,11.93,11.22,11.84,11.651,286422,0.0,1.0
2019-06-11,11.92,12.12,11.52,11.55,11.3656,282425,0.0,1.0
2019-06-10,11.98,12.19,11.8,11.83,11.6411,208762,0.0,1.0
2019-06-07,11.64,11.9863,11.51,11.87,11.6805,206416,0.0,1.0
2019-06-06,11.87,11.97,11.305,11.58,11.3951,194473,0.0,1.0
2019-06-05,12.02,12.28,11.78,11.83,11.6411,225409,0.0,1.0
2019-06-04,11.56,12.02,11.53,11.99,11.7986,670798,0.0,1.0
2019-06-03,11.55,11.66,11.12,11.52,11.3361,421620,0.0,1.0
2019-05-31,12.25,12.25,11.52,11.54,11.3557,403275,0.0,1.0
2019-05-30,12.56,12.76,12.28,12.36,12.1627,221677,0.0,1.0
2019-05-29,12.42,12.76,12.27,12.56,12.3595,273482,0.0,1.0
2019-05-28,12.92,13.06,12.44,12.52,12.3201,443841,0.0,1.0
2019-05-24,13.17,13.26,12.67,12.91,12.7039,478578,0.0,1.0
2019-05-23,13.51,13.6116,12.93,13.03,12.822,316676,0.0,1.0
2019-05-22,13.89,14.23,13.67,13.68,13.4616,248726,0.0,1.0
2019-05-21,14.61,14.64,13.73,13.88,13.6584,420789,0.0,1.0
2019-05-20,14.64,15.02,13.34,14.7,14.4653,420034,0.0,1.0
2019-05-17,15.14,15.3,14.83,14.91,14.6719,302532,0.0,1.0
2019-05-16,15.52,15.65,15.17,15.21,14.9672,133702,0.0,1.0
2019-05-15,15.55,15.55,15.18,15.38,15.1344,142090,0.0,1.0
2019-05-14,15.16,15.7,15.03,15.62,15.3706,238579,0.0,1.0
2019-05-13,15.96,15.96,14.99,15.36,15.1148,307525,0.0,1.0
2019-05-10,15.06,16.17,14.33,16.16,15.902,307328,0.0,1.0
2019-05-09,15.62,15.91,15.39,15.88,15.6265,472008,0.0,1.0
2019-05-08,15.89,15.99,15.59,15.68,15.4296,206268,0.0,1.0
2019-05-07,15.95,16.15,15.77,15.91,15.656,225632,0.0,1.0
2019-05-06,15.64,16.16,15.51,16.1,15.8429,374734,0.0,1.0
2019-05-03,15.55,15.77,15.37,15.74,15.4887,546111,0.0,1.0
2019-05-02,15.74,15.845,15.38,15.47,15.223,231480,0.0,1.0
2019-05-01,16.28,16.5392,15.62,15.72,15.469,408256,0.0,1.0
2019-04-30,16.51,16.58,16.13,16.17,15.9118,216051,0.0,1.0
2019-04-29,16.55,16.71,16.42,16.53,16.2661,325800,0.0,1.0
2019-04-26,16.86,16.93,16.47,16.56,16.2956,203735,0.0,1.0
2019-04-25,16.85,17.35,16.76,16.77,16.5022,225200,0.0,1.0
2019-04-24,16.51,16.88,16.08,16.85,16.581,268323,0.0,1.0
2019-04-23,16.25,16.5,16.12,16.46,16.1972,219616,0.0,1.0
2019-04-22,16.91,16.99,16.08,16.15,15.8921,175034,0.0,1.0
2019-04-18,17.02,17.21,16.86,17.02,16.7483,158553,0.0,1.0
2019-04-17,16.9,17.315,16.86,17.09,16.8171,204588,0.0,1.0
2019-04-16,16.93,16.97,16.67,16.86,16.5908,107748,0.0,1.0
2019-04-15,16.79,16.99,16.56,16.9,16.6302,157947,0.0,1.0
2019-04-12,16.92,16.92,16.5,16.71,16.4432,100561,0.0,1.0
2019-04-11,16.83,16.97,16.64,16.75,16.4826,60491,0.0,1.0
2019-04-10,16.41,16.97,16.22,16.82,16.5514,165752,0.0,1.0
2019-04-09,16.46,16.505,16.21,16.4,16.1382,124699,0.0,1.0
2019-04-08,16.62,16.8767,16.26,16.46,16.1972,95360,0.0,1.0
2019-04-05,16.64,16.89,16.58,16.64,16.3743,104457,0.0,1.0
2019-04-04,16.33,16.69,16.31,16.6,16.335,145082,0.0,1.0
2019-04-03,15.99,16.41,15.81,16.31,16.0496,158024,0.0,1.0
2019-04-02,16.25,16.42,15.77,15.9,15.6461,158454,0.0,1.0
2019-04-01,15.93,16.63,15.79,16.27,16.0102,296599,0.0,1.0
2019-03-29,16.04,16.1295,15.71,15.87,15.6166,380973,0.0,1.0
2019-03-28,15.93,16.26,15.9,16.08,15.8233,148460,0.0,1.0
2019-03-27,16.11,16.19,15.785,15.92,15.6658,345487,0.0,1.0
2019-03-26,15.73,16.19,15.73,16.08,15.8233,167205,0.0,1.0
2019-03-25,15.49,15.83,15.3,15.66,15.41,201551,0.0,1.0
2019-03-22,16.33,16.475,15.43,15.48,15.2328,298110,0.0,1.0
2019-03-21,16.59,16.865,16.41,16.44,16.1775,229745,0.0,1.0
2019-03-20,16.32,17.01,16.32,16.6,16.335,228644,0.0,1.0
2019-03-19,16.41,16.75,16.12,16.31,16.0496,279839,0.0,1.0
2019-03-18,16.11,16.69,15.96,16.37,16.1086,545492,0.0,1.0
2019-03-15,16.19,16.32,15.82,16.09,15.8331,650157,0.0,1.0
2019-03-14,16.6,16.73,16.1,16.17,15.9118,151924,0.19,1.0
2019-03-13,16.72,16.96,16.31,16.71,16.2522,250543,0.0,1.0
2019-03-12,17.47,17.51,16.37,16.64,16.1842,473778,0.0,1.0
2019-03-11,17.46,17.93,17.15,17.9,17.4096,248351,0.0,1.0
2019-03-08,17.52,17.79,17.39,17.44,16.9622,148369,0.0,1.0
2019-03-07,17.29,17.96,17.22,17.51,17.0303,219923,0.0,1.0
2019-03-06,18.2,18.24,17.42,17.44,16.9622,270415,0.0,1.0
2019-03-05,18.36,18.5,18.23,18.23,17.7306,137945,0.0,1.0
2019-03-04,18.56,18.68,18.25,18.42,17.9154,243297,0.0,1.0
2019-03-01,19.07,19.07,18.29,18.44,17.9348,205484,0.0,1.0
2019-02-28,18.89,19.14,18.65,18.98,18.46,173250,0.0,1.0
2019-02-27,19.15,19.35,18.78,18.9,18.3822,121078,0.0,1.0
2019-02-26,19.22,19.7368,19.09,19.25,18.7227,356765,0.0,1.0
2019-02-25,19.36,19.795,18.96,19.14,18.6157,235731,0.0,1.0
2019-02-22,17.77,19.37,17.69,19.33,18.8005,560186,0.0,1.0
2019-02-21,20.01,20.01,17.11,17.43,16.9525,958048,0.0,1.0
2019-02-20,22.27,22.4899,21.89,21.99,21.3876,298626,0.0,1.0
2019-02-19,21.66,22.28,21.35,22.25,21.6405,279218,0.0,1.0
2019-02-15,21.8,22.14,21.56,21.77,21.1736,151166,0.0,1.0
2019-02-14,21.43,21.88,21.325,21.74,21.1444,146623,0.0,1.0
2019-02-13,21.38,21.74,21.19,21.48,20.8916,102824,0.0,1.0
2019-02-12,21.38,21.67,21.15,21.39,20.804,92572,0.0,1.0
2019-02-11,21.13,21.26,20.915,21.23,20.6484,78596,0.0,1.0
2019-02-08,21.1963,21.34,20.83,21.07,20.4928,77455,0.0,1.0
2019-02-07,21.15,21.3659,20.86,21.31,20.7262,105397,0.0,1.0
2019-02-06,21.51,21.57,21.07,21.16,20.5803,86735,0.0,1.0
2019-02-05,21.21,21.58,21.0554,21.53,20.9402,100713,0.0,1.0
2019-02-04,20.86,21.33,20.845,21.2,20.6192,92672,0.0,1.0
2019-02-01,20.86,20.96,20.62,20.86,20.2885,174746,0.0,1.0
2019-01-31,21.1,21.21,20.72,20.75,20.1816,142884,0.0,1.0
2019-01-30,21.32,21.32,20.9,21.13,20.5512,78423,0.0,1.0
2019-01-29,21.08,21.275,20.94,21.2,20.6192,200812,0.0,1.0
2019-01-28,20.5,21.08,20.46,21.04,20.4636,117911,0.0,1.0
2019-01-25,20.89,21.14,20.531,20.58,20.0162,55837,0.0,1.0
2019-01-24,21.17,21.17,20.8,20.85,20.2788,191302,0.0,1.0
2019-01-23,20.99,21.305,20.9,21.24,20.6581,113794,0.0,1.0
2019-01-22,21.0,21.24,20.56,20.99,20.415,277743,0.0,1.0
2019-01-18,21.28,21.38,20.92,21.06,20.4831,141410,0.0,1.0
2019-01-17,21.7,21.78,21.14,21.27,20.6873,231056,0.0,1.0
2019-01-16,21.0,21.89,20.92,21.78,21.1833,160579,0.0,1.0
2019-01-15,20.93,20.9433,20.5547,20.92,20.3469,174587,0.0,1.0
2019-01-14,20.57,20.95,20.44,20.83,20.2594,161976,0.0,1.0
2019-01-11,20.24,20.65,20.1101,20.63,20.0648,439822,0.0,1.0
2019-01-10,19.76,20.91,19.46,20.29,19.7342,405374,0.0,1.0
2019-01-09,19.5,19.68,19.04,19.36,18.8296,202975,0.0,1.0
2019-01-08,19.48,19.5487,19.01,19.34,18.8102,200016,0.0,1.0
2019-01-07,18.81,19.57,18.73,19.37,18.8394,160045,0.0,1.0
2019-01-04,17.91,18.79,17.85,18.73,18.2169,195802,0.0,1.0
2019-01-03,17.53,18.06,17.51,17.84,17.3513,137102,0.0,1.0
2019-01-02,17.03,17.55,16.89,17.53,17.0498,326672,0.0,1.0
2018-12-31,16.98,17.455,16.63,17.18,16.7094,116761,0.0,1.0
2018-12-28,16.75,17.21,16.677,16.89,16.4273,148826,0.0,1.0
2018-12-27,16.7,16.82,16.08,16.67,16.2133,150158,0.0,1.0
2018-12-26,16.43,17.4632,16.2,16.89,16.4273,130427,0.0,1.0
2018-12-24,16.58,17.25,16.28,16.32,15.8729,120014,0.0,1.0
2018-12-21,17.52,17.94,16.62,16.62,16.1647,845298,0.0,1.0
2018-12-20,17.83,18.42,17.44,17.51,17.0303,163635,0.0,1.0
2018-12-19,17.49,18.17,17.4,17.82,17.3318,217157,0.0,1.0
2018-12-18,17.4,17.91,17.35,17.49,17.0109,218325,0.0,1.0
2018-12-17,17.8,18.16,17.18,17.32,16.8455,198313,0.0,1.0
2018-12-14,17.86,18.325,17.72,17.78,17.2929,135520,0.18,1.0
2018-12-13,18.14,18.91,17.86,18.17,17.4951,166911,0.0,1.0
