timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,10.2,10.2,10.07,10.17,10.17,253514,0.0,1.0
2019-07-25,10.35,10.47,10.105,10.17,10.17,377951,0.0,1.0
2019-07-24,10.25,10.45,10.22,10.4,10.4,389396,0.0,1.0
2019-07-23,9.99,10.25,9.99,10.25,10.25,316299,0.0,1.0
2019-07-22,9.98,10.03,9.93,10.01,10.01,300073,0.0,1.0
2019-07-19,10.04,10.075,9.8884,9.96,9.96,342249,0.125,1.0
2019-07-18,10.06,10.17,9.985,10.14,10.0143,362289,0.0,1.0
2019-07-17,10.25,10.25,10.065,10.08,9.9551,316301,0.0,1.0
2019-07-16,10.34,10.38,10.19,10.26,10.1328,343719,0.0,1.0
2019-07-15,10.24,10.34,10.12,10.34,10.2118,350230,0.0,1.0
2019-07-12,10.36,10.36,10.12,10.18,10.0538,392751,0.0,1.0
2019-07-11,10.36,10.44,10.26,10.3,10.1723,419588,0.0,1.0
2019-07-10,10.32,10.435,10.3,10.38,10.2513,528186,0.0,1.0
2019-07-09,10.19,10.38,10.12,10.26,10.1328,364581,0.0,1.0
2019-07-08,10.19,10.43,10.16,10.21,10.0835,516399,0.0,1.0
2019-07-05,10.16,10.26,10.05,10.19,10.0637,383718,0.0,1.0
2019-07-03,10.2,10.33,10.13,10.17,10.0439,225873,0.0,1.0
2019-07-02,10.13,10.22,10.04,10.16,10.0341,457643,0.0,1.0
2019-07-01,9.94,10.25,9.94,10.17,10.0439,1050665,0.0,1.0
2019-06-28,9.56,9.88,9.56,9.81,9.6884,465035,0.0,1.0
2019-06-27,9.78,9.7801,9.49,9.49,9.3724,453420,0.0,1.0
2019-06-26,9.53,9.78,9.5257,9.74,9.6193,431965,0.0,1.0
2019-06-25,9.4,9.5064,9.3,9.48,9.3625,585501,0.0,1.0
2019-06-24,9.54,9.575,9.3638,9.39,9.2736,693263,0.0,1.0
2019-06-21,9.4,9.54,9.295,9.54,9.4218,593391,0.0,1.0
2019-06-20,9.38,9.685,9.31,9.41,9.2934,819806,0.0,1.0
2019-06-19,9.2,9.3,9.13,9.23,9.1156,5515505,0.0,1.0
2019-06-18,9.12,9.31,9.08,9.16,9.0465,515996,0.0,1.0
2019-06-17,9.18,9.28,9.06,9.07,8.9576,491061,0.0,1.0
2019-06-14,9.34,9.4,9.18,9.19,9.0761,265587,0.0,1.0
2019-06-13,9.33,9.39,9.31,9.37,9.2539,267838,0.0,1.0
2019-06-12,9.32,9.32,9.12,9.26,9.1452,526459,0.0,1.0
2019-06-11,9.31,9.39,9.17,9.33,9.2144,388337,0.0,1.0
2019-06-10,9.17,9.33,9.17,9.23,9.1156,356052,0.0,1.0
2019-06-07,9.25,9.35,9.07,9.11,8.9971,422595,0.0,1.0
2019-06-06,9.39,9.49,9.2,9.26,9.1452,333883,0.0,1.0
2019-06-05,9.36,9.42,9.23,9.36,9.244,317400,0.0,1.0
2019-06-04,9.14,9.37,9.07,9.36,9.244,535501,0.0,1.0
2019-06-03,9.25,9.45,9.0,9.1,8.9872,931605,0.0,1.0
2019-05-31,9.36,9.445,9.31,9.31,9.1946,384820,0.0,1.0
2019-05-30,9.56,9.6644,9.44,9.5,9.3823,374158,0.0,1.0
2019-05-29,9.3,9.555,9.2,9.49,9.3724,619863,0.0,1.0
2019-05-28,9.2,9.48,9.2,9.46,9.3427,871207,0.0,1.0
2019-05-24,9.15,9.28,9.07,9.14,9.0267,423170,0.0,1.0
2019-05-23,9.32,9.33,9.02,9.15,9.0366,746132,0.0,1.0
2019-05-22,9.76,9.81,9.405,9.46,9.3427,601185,0.0,1.0
2019-05-21,10.0,10.16,9.745,9.76,9.639,774358,0.0,1.0
2019-05-20,10.21,10.21,9.95,9.96,9.8365,636570,0.0,1.0
2019-05-17,10.05,10.33,10.03,10.22,10.0933,584734,0.0,1.0
2019-05-16,9.86,10.18,9.85,10.14,10.0143,518629,0.0,1.0
2019-05-15,9.78,9.9,9.68,9.89,9.7674,511193,0.0,1.0
2019-05-14,9.68,9.93,9.65,9.82,9.6983,450694,0.0,1.0
2019-05-13,9.65,9.78,9.55,9.59,9.4711,515757,0.0,1.0
2019-05-10,9.77,9.89,9.71,9.8,9.6785,557713,0.0,1.0
2019-05-09,9.69,10.005,9.61,9.83,9.7082,665587,0.0,1.0
2019-05-08,9.84,10.21,9.76,10.02,9.8958,742983,0.0,1.0
2019-05-07,9.78,9.835,9.46,9.79,9.6687,1470477,0.0,1.0
2019-05-06,10.02,10.1,9.82,9.86,9.7378,774354,0.0,1.0
2019-05-03,10.47,10.52,10.07,10.3,10.1723,1037330,0.0,1.0
2019-05-02,10.22,10.7,10.02,10.44,10.3106,1242780,0.0,1.0
2019-05-01,10.17,10.24,9.98,9.99,9.8662,559308,0.0,1.0
2019-04-30,10.24,10.24,10.05,10.14,10.0143,464927,0.0,1.0
2019-04-29,10.19,10.22,10.07,10.22,10.0933,352165,0.0,1.0
2019-04-26,10.13,10.23,10.04,10.12,9.9946,377274,0.0,1.0
2019-04-25,10.32,10.32,10.06,10.1,9.9748,438980,0.0,1.0
2019-04-24,10.1,10.5,9.9,10.38,10.2513,1254607,0.0,1.0
2019-04-23,9.96,10.11,9.91,10.1,9.9748,472179,0.0,1.0
2019-04-22,9.9,9.96,9.72,9.96,9.8365,759146,0.0,1.0
2019-04-18,10.07,10.07,9.8601,9.94,9.8168,806783,0.125,1.0
2019-04-17,10.05,10.17,9.96,10.14,9.8899,595103,0.0,1.0
2019-04-16,10.05,10.05,9.89,10.02,9.7729,701857,0.0,1.0
2019-04-15,9.93,10.04,9.8662,9.98,9.7339,665297,0.0,1.0
2019-04-12,9.9,9.9632,9.83,9.91,9.6656,691115,0.0,1.0
2019-04-11,9.59,9.885,9.53,9.82,9.5778,1221123,0.0,1.0
2019-04-10,9.24,9.66,9.24,9.64,9.4023,953152,0.0,1.0
2019-04-09,9.31,9.31,9.1,9.2,8.9731,477047,0.0,1.0
2019-04-08,9.37,9.4105,9.19,9.25,9.0219,445064,0.0,1.0
2019-04-05,9.1,9.38,9.04,9.36,9.1292,633417,0.0,1.0
2019-04-04,9.0,9.14,8.95,9.05,8.8268,437953,0.0,1.0
2019-04-03,9.13,9.2,9.0,9.03,8.8073,650720,0.0,1.0
2019-04-02,9.25,9.25,9.06,9.12,8.8951,991087,0.0,1.0
2019-04-01,8.8,9.25,8.8,9.2,8.9731,1334377,0.0,1.0
2019-03-29,8.61,8.77,8.56,8.7,8.4855,1066520,0.0,1.0
2019-03-28,8.56,8.79,8.44,8.55,8.3392,1565432,0.0,1.0
2019-03-27,8.26,8.52,8.26,8.49,8.2806,913766,0.0,1.0
2019-03-26,8.14,8.31,8.1198,8.28,8.0758,789388,0.0,1.0
2019-03-25,7.99,8.14,7.92,8.08,7.8807,574304,0.0,1.0
2019-03-22,8.27,8.29,7.98,7.99,7.793,509584,0.0,1.0
2019-03-21,8.05,8.3,8.05,8.27,8.0661,511058,0.0,1.0
2019-03-20,8.02,8.19,8.02,8.09,7.8905,715344,0.0,1.0
2019-03-19,8.17,8.22,8.02,8.04,7.8417,610476,0.0,1.0
2019-03-18,7.93,8.17,7.92,8.15,7.949,548359,0.0,1.0
2019-03-15,7.91,7.96,7.79,7.93,7.7344,3294710,0.0,1.0
2019-03-14,8.24,8.25,7.9,7.92,7.7247,1174790,0.0,1.0
2019-03-13,8.03,8.25,7.985,8.2,7.9978,1228597,0.0,1.0
2019-03-12,7.89,8.03,7.79,7.95,7.754,1561172,0.0,1.0
2019-03-11,8.03,8.06,7.785,7.88,7.6857,1320129,0.0,1.0
2019-03-08,8.13,8.13,7.91,7.99,7.793,1429025,0.0,1.0
2019-03-07,8.42,8.4837,8.06,8.31,8.1051,1294662,0.0,1.0
2019-03-06,8.79,9.35,8.35,8.47,8.2611,3089837,0.0,1.0
2019-03-05,8.81,8.85,8.69,8.74,8.5245,754357,0.0,1.0
2019-03-04,8.85,8.88,8.64,8.81,8.5927,1042852,0.0,1.0
2019-03-01,8.9,8.9,8.715,8.83,8.6123,629736,0.0,1.0
2019-02-28,8.9,8.9,8.71,8.8,8.583,435163,0.0,1.0
2019-02-27,8.95,9.0181,8.77,8.91,8.6903,925643,0.0,1.0
2019-02-26,9.0,9.06,8.89,8.93,8.7098,568902,0.0,1.0
2019-02-25,9.0,9.14,8.91,9.0,8.7781,447263,0.0,1.0
2019-02-22,8.9,9.03,8.9,9.0,8.7781,684178,0.0,1.0
2019-02-21,9.02,9.09,8.85,8.89,8.6708,371476,0.0,1.0
2019-02-20,9.01,9.0927,8.96,9.09,8.8658,674493,0.0,1.0
2019-02-19,8.97,9.18,8.95,9.01,8.7878,416851,0.0,1.0
2019-02-15,9.12,9.2,8.87,8.92,8.7,498662,0.0,1.0
2019-02-14,8.88,9.11,8.86,9.07,8.8463,504566,0.0,1.0
2019-02-13,8.75,8.935,8.64,8.89,8.6708,453498,0.0,1.0
2019-02-12,8.68,8.82,8.53,8.63,8.4172,459021,0.0,1.0
2019-02-11,8.43,8.6,8.33,8.6,8.3879,409625,0.0,1.0
2019-02-08,8.57,8.6,8.32,8.39,8.1831,644189,0.0,1.0
2019-02-07,8.8,8.87,8.53,8.6,8.3879,508146,0.0,1.0
2019-02-06,8.79,8.86,8.7,8.86,8.6415,287730,0.0,1.0
2019-02-05,8.73,8.8,8.7,8.78,8.5635,360515,0.0,1.0
2019-02-04,9.0,9.1,8.65,8.73,8.5147,610395,0.0,1.0
2019-02-01,9.3,9.36,8.97,9.0,8.7781,681006,0.0,1.0
2019-01-31,9.43,9.5,9.225,9.3,9.0707,632839,0.0,1.0
2019-01-30,9.41,9.5,9.32,9.41,9.1779,560579,0.0,1.0
