timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,152.37,153.1,150.43,152.2,152.2,1458548,0.0,1.0
2019-07-24,150.31,153.71,150.0431,152.51,152.51,2560665,0.0,1.0
2019-07-23,144.75,151.999,144.43,151.66,151.66,4099066,0.0,1.0
2019-07-22,143.62,143.99,141.23,141.5,141.5,1418245,0.0,1.0
2019-07-19,143.57,145.47,143.21,143.55,143.55,924272,0.0,1.0
2019-07-18,142.45,143.44,141.54,142.49,142.49,858763,0.0,1.0
2019-07-17,147.1,147.245,142.72,142.84,142.84,1049811,0.0,1.0
2019-07-16,146.7,148.035,145.61,147.08,147.08,744003,0.0,1.0
2019-07-15,147.11,147.41,146.01,146.66,146.66,863989,0.0,1.0
2019-07-12,144.69,147.47,144.1,147.15,147.15,924959,0.0,1.0
2019-07-11,142.91,144.03,142.53,144.0,144.0,1422821,0.0,1.0
2019-07-10,145.67,146.62,142.81,142.97,142.97,1074676,0.0,1.0
2019-07-09,143.69,144.33,142.74,144.24,144.24,873961,0.0,1.0
2019-07-08,145.87,146.39,144.3018,144.9,144.9,530822,0.0,1.0
2019-07-05,145.99,146.61,144.2,146.52,146.52,515765,0.0,1.0
2019-07-03,147.35,147.74,146.17,147.02,147.02,456671,0.0,1.0
2019-07-02,147.02,147.73,146.07,146.61,146.61,832261,0.0,1.0
2019-07-01,146.98,147.92,145.51,147.24,147.24,956155,0.0,1.0
2019-06-28,143.0,144.82,142.75,144.61,144.61,1355590,0.0,1.0
2019-06-27,143.28,144.37,142.84,143.18,143.18,575432,0.0,1.0
2019-06-26,141.7,143.46,141.33,143.05,143.05,922507,0.0,1.0
2019-06-25,143.31,143.45,140.8,141.7,141.7,983209,0.0,1.0
2019-06-24,143.7,144.08,142.6597,143.13,143.13,896540,0.0,1.0
2019-06-21,144.74,145.53,143.36,143.45,143.45,1470949,0.0,1.0
2019-06-20,145.84,146.72,143.59,146.36,146.36,742496,0.0,1.0
2019-06-19,145.38,145.52,142.68,143.47,143.47,605270,0.0,1.0
2019-06-18,141.92,145.9,141.2,144.56,144.56,1132960,0.0,1.0
2019-06-17,141.58,141.735,140.63,140.8,140.8,501241,0.0,1.0
2019-06-14,142.82,142.82,139.81,141.51,141.51,779066,0.0,1.0
2019-06-13,141.78,143.01,141.005,142.91,142.91,718407,0.0,1.0
2019-06-12,140.2,141.32,139.55,140.98,140.98,531998,0.0,1.0
2019-06-11,140.94,141.92,139.83,140.01,140.01,791991,0.0,1.0
2019-06-10,139.1,140.45,138.72,139.48,139.48,580543,0.0,1.0
2019-06-07,137.21,138.5,136.6,137.69,137.69,694880,0.0,1.0
2019-06-06,134.8,136.81,134.08,136.21,136.21,1167645,0.0,1.0
2019-06-05,133.42,134.94,132.72,134.85,134.85,1030780,0.0,1.0
2019-06-04,129.37,132.57,128.66,132.5,132.5,1124874,0.0,1.0
2019-06-03,126.75,128.6886,126.37,127.28,127.28,880441,0.66,1.0
2019-05-31,129.38,129.38,126.875,127.22,126.5637,908070,0.0,1.0
2019-05-30,130.28,131.84,130.28,131.05,130.374,1051609,0.0,1.0
2019-05-29,129.28,130.75,128.1,130.22,129.5482,782522,0.0,1.0
2019-05-28,132.49,133.28,129.32,129.37,128.7026,1119199,0.0,1.0
2019-05-24,133.04,133.8,132.26,132.8,132.1149,584824,0.0,1.0
2019-05-23,134.1,134.1,131.11,131.87,131.1897,1155059,0.0,1.0
2019-05-22,136.01,137.11,135.52,135.57,134.8706,907679,0.0,1.0
2019-05-21,137.65,138.615,136.45,136.9,136.1938,1030663,0.0,1.0
2019-05-20,133.52,135.91,133.49,135.12,134.423,1036896,0.0,1.0
2019-05-17,137.2,138.56,134.77,134.85,134.1544,1356575,0.0,1.0
2019-05-16,135.39,142.04,135.27,138.36,137.6462,2599063,0.0,1.0
2019-05-15,134.22,136.35,133.14,135.08,134.3832,1967246,0.0,1.0
2019-05-14,136.32,136.68,135.04,135.49,134.7911,1431194,0.0,1.0
2019-05-13,137.75,138.51,134.34,135.75,135.0497,2225999,0.0,1.0
2019-05-10,141.71,142.47,137.1,142.19,141.4565,1453701,0.0,1.0
2019-05-09,141.79,142.65,138.09,142.52,141.7848,1456782,0.0,1.0
2019-05-08,143.96,146.11,142.56,143.95,143.2074,1603711,0.0,1.0
2019-05-07,144.93,144.93,142.13,143.63,142.8891,1220042,0.0,1.0
2019-05-06,146.47,147.33,144.48,146.4,145.6448,1928454,0.0,1.0
2019-05-03,151.21,153.26,150.54,153.08,152.2903,856826,0.0,1.0
2019-05-02,147.84,150.46,147.03,149.97,149.1964,1245651,0.0,1.0
2019-05-01,147.51,149.76,145.73,148.38,147.6146,1503578,0.0,1.0
2019-04-30,147.52,147.52,144.93,146.6,145.8437,1733087,0.0,1.0
2019-04-29,147.08,148.18,146.58,147.32,146.56,967854,0.0,1.0
2019-04-26,143.78,146.45,142.73,146.3,145.5453,1269965,0.0,1.0
2019-04-25,144.95,145.98,143.47,143.49,142.7498,1493321,0.0,1.0
2019-04-24,150.4,154.1,144.98,145.97,145.217,3488887,0.0,1.0
2019-04-23,145.54,147.45,145.035,147.45,146.6894,1596502,0.0,1.0
2019-04-22,145.48,146.14,144.28,145.43,144.6798,909366,0.0,1.0
2019-04-18,145.1,146.13,144.38,145.74,144.9882,1737835,0.0,1.0
2019-04-17,146.37,146.66,144.28,144.62,143.874,1318930,0.0,1.0
2019-04-16,146.94,147.26,145.39,145.82,145.0678,1375564,0.0,1.0
2019-04-15,145.91,148.13,145.91,146.61,145.8537,1389680,0.0,1.0
2019-04-12,145.61,146.58,144.81,146.17,145.416,1074389,0.0,1.0
2019-04-11,142.63,145.06,142.36,144.38,143.6352,1173062,0.0,1.0
2019-04-10,141.97,142.71,141.11,142.46,141.7251,839313,0.0,1.0
2019-04-09,142.61,142.77,140.27,141.87,141.1381,1430603,0.0,1.0
2019-04-08,142.25,144.07,141.68,144.0,143.2572,882373,0.0,1.0
2019-04-05,143.01,144.05,142.55,142.79,142.0534,1153435,0.0,1.0
2019-04-04,140.75,143.13,140.6535,142.94,142.2026,960509,0.0,1.0
2019-04-03,140.0,142.33,139.81,140.75,140.0239,875554,0.0,1.0
2019-04-02,139.36,139.73,137.64,139.3,138.5814,640136,0.0,1.0
2019-04-01,137.99,139.85,137.07,139.51,138.7903,1220978,0.0,1.0
2019-03-29,135.83,137.24,135.27,136.17,135.4675,962036,0.0,1.0
2019-03-28,132.73,134.74,132.59,134.57,133.8758,882303,0.0,1.0
2019-03-27,132.43,133.415,131.408,132.36,131.6772,591629,0.0,1.0
2019-03-26,132.82,133.03,131.19,132.05,131.3688,587510,0.0,1.0
2019-03-25,130.9,132.71,130.57,131.67,130.9908,527412,0.0,1.0
2019-03-22,135.95,135.95,130.755,130.9,130.2247,1076655,0.0,1.0
2019-03-21,131.51,135.03,130.89,134.6,133.9056,732713,0.0,1.0
2019-03-20,133.05,133.625,130.11,131.85,131.1698,829212,0.0,1.0
2019-03-19,134.86,135.38,132.59,133.32,132.6322,679615,0.0,1.0
2019-03-18,131.51,134.26,130.65,134.19,133.4978,835097,0.0,1.0
2019-03-15,132.05,133.97,131.0,131.51,130.8316,1261486,0.0,1.0
2019-03-14,133.24,133.35,131.61,131.98,131.2992,1213330,0.0,1.0
2019-03-13,133.43,134.67,132.7,133.57,132.881,830498,0.0,1.0
2019-03-12,133.0,133.925,132.13,132.6,131.916,1134644,0.0,1.0
2019-03-11,129.26,132.58,129.13,132.55,131.8662,1056008,0.0,1.0
2019-03-08,129.34,129.48,127.49,129.26,128.5932,1542218,0.0,1.0
2019-03-07,133.2,133.355,130.32,131.24,130.563,1900471,0.0,1.0
2019-03-06,134.43,134.85,133.56,133.62,132.9307,863097,0.0,1.0
2019-03-05,134.64,135.19,133.33,134.16,133.4679,1108933,0.0,1.0
2019-03-04,133.08,135.79,133.08,134.95,134.2538,1457976,0.66,1.0
2019-03-01,133.63,134.25,130.92,132.63,131.3036,1427969,0.0,1.0
2019-02-28,136.0,136.0,132.23,132.43,131.1056,1681416,0.0,1.0
2019-02-27,135.8,136.87,133.65,136.46,135.0953,1616595,0.0,1.0
2019-02-26,136.7,137.37,135.85,135.9,134.5409,1339718,0.0,1.0
2019-02-25,139.8,139.9,137.09,137.39,136.016,1134023,0.0,1.0
2019-02-22,138.2,139.34,137.68,138.92,137.5307,1151313,0.0,1.0
2019-02-21,136.5,138.09,135.91,137.54,136.1645,668637,0.0,1.0
2019-02-20,136.77,137.82,136.39,136.82,135.4517,879446,0.0,1.0
2019-02-19,135.5,137.61,134.74,136.56,135.1943,774389,0.0,1.0
2019-02-15,134.25,136.73,133.7084,136.39,135.026,998461,0.0,1.0
2019-02-14,133.07,134.4,131.91,133.08,131.7491,786339,0.0,1.0
2019-02-13,132.75,134.74,132.4757,134.28,132.9371,1170094,0.0,1.0
2019-02-12,129.6,133.04,128.585,132.31,130.9868,1524489,0.0,1.0
2019-02-11,127.62,128.87,127.36,128.34,127.0565,969540,0.0,1.0
2019-02-08,127.52,129.15,125.77,126.82,125.5517,1121680,0.0,1.0
2019-02-07,129.1,129.69,126.23,128.05,126.7694,1271145,0.0,1.0
2019-02-06,130.06,130.99,129.495,130.23,128.9276,1168187,0.0,1.0
2019-02-05,128.96,130.36,127.46,130.26,128.9573,1359524,0.0,1.0
2019-02-04,127.92,128.8,126.685,128.79,127.502,880996,0.0,1.0
2019-02-01,126.5,127.9,125.75,127.79,126.512,1240137,0.0,1.0
2019-01-31,124.3465,126.79,123.04,126.44,125.1755,1548104,0.0,1.0
2019-01-30,124.44,125.0,122.31,124.48,123.2351,1148708,0.0,1.0
2019-01-29,121.36,124.28,120.78,123.33,122.0966,1352773,0.0,1.0
2019-01-28,119.19,121.31,118.61,121.21,119.9978,1429490,0.0,1.0
2019-01-25,119.99,120.96,118.84,120.58,119.3741,1701505,0.0,1.0
2019-01-24,118.85,119.8,116.625,118.24,117.0575,2456892,0.0,1.0
2019-01-23,118.0,121.02,115.535,118.55,117.3644,4049857,0.0,1.0
2019-01-22,119.9,120.5,115.02,115.69,114.533,8738151,0.0,1.0
2019-01-18,133.65,137.96,132.96,136.88,135.5111,2214101,0.0,1.0
2019-01-17,128.25,134.945,127.765,132.65,131.3234,2262213,0.0,1.0
2019-01-16,129.59,130.94,129.155,129.63,128.3336,1295436,0.0,1.0
2019-01-15,131.17,131.17,127.02,128.99,127.7,2181374,0.0,1.0
2019-01-14,131.24,132.44,130.39,130.89,129.581,1150456,0.0,1.0
2019-01-11,131.07,133.09,130.695,132.71,131.3828,995904,0.0,1.0
2019-01-10,130.15,132.33,129.285,132.03,130.7096,1280123,0.0,1.0
2019-01-09,128.79,131.91,128.54,131.05,129.7394,1548048,0.0,1.0
2019-01-08,127.46,129.33,126.62,128.07,126.7892,1669005,0.0,1.0
2019-01-07,123.6,127.035,122.1,125.75,124.4924,2272813,0.0,1.0
2019-01-04,119.52,123.3,119.52,123.15,121.9184,1185109,0.0,1.0
2019-01-03,119.95,120.095,116.16,117.21,116.0378,949127,0.0,1.0
