timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,83.05,83.8684,82.23,83.24,83.24,40786,0.0,1.0
2019-07-23,82.88,84.53,82.88,83.36,83.36,27493,0.0,1.0
2019-07-22,83.7,84.62,82.37,82.71,82.71,67101,0.0,1.0
2019-07-19,84.17,84.9,83.29,83.56,83.56,52309,0.0,1.0
2019-07-18,83.05,85.315,83.0,84.18,84.18,61056,0.0,1.0
2019-07-17,82.94,84.04,82.49,82.79,82.79,38798,0.0,1.0
2019-07-16,82.18,82.8,81.595,82.45,82.45,46679,0.0,1.0
2019-07-15,83.02,83.39,81.58,82.31,82.31,22942,0.0,1.0
2019-07-12,82.48,83.47,81.75,82.9,82.9,48699,0.0,1.0
2019-07-11,82.91,83.3898,82.1,82.41,82.41,32265,0.0,1.0
2019-07-10,83.35,83.52,82.08,83.42,83.42,50664,0.0,1.0
2019-07-09,83.4,85.19,83.4,83.52,83.52,56038,0.0,1.0
2019-07-08,84.4,85.405,82.86,84.14,84.14,47386,0.0,1.0
2019-07-05,84.64,85.06,83.49,84.5,84.5,50461,0.0,1.0
2019-07-03,84.895,86.18,84.465,85.06,85.06,79490,0.0,1.0
2019-07-02,86.28,86.28,84.5,84.78,84.78,72866,0.0,1.0
2019-07-01,86.27,87.39,85.24,86.57,86.57,49920,0.0,1.0
2019-06-28,85.53,88.25,85.03,85.42,85.42,85965,0.0,1.0
2019-06-27,84.71,86.04,84.5,85.48,85.48,37922,0.0,1.0
2019-06-26,85.45,85.45,83.84,84.15,84.15,61811,0.0,1.0
2019-06-25,84.59,86.92,82.76,85.16,85.16,201853,0.0,1.0
2019-06-24,84.93,85.59,83.0,83.92,83.92,242476,0.0,1.0
2019-06-21,86.64,87.14,84.06,85.28,85.28,156255,0.0,1.0
2019-06-20,89.12,89.12,86.42,86.64,86.64,41865,0.0,1.0
2019-06-19,89.72,90.38,88.4,88.49,88.49,55249,0.0,1.0
2019-06-18,89.48,90.145,88.55,89.7,89.7,61057,0.0,1.0
2019-06-17,89.19,90.48,88.035,88.29,88.29,79079,0.0,1.0
2019-06-14,88.91,89.56,88.63,89.24,89.24,34533,0.0,1.0
2019-06-13,89.72,91.09,88.62,89.5,89.5,69784,0.0,1.0
2019-06-12,90.75,91.22,89.45,89.72,89.72,39923,0.0,1.0
2019-06-11,90.75,92.21,90.39,90.73,90.73,70499,0.0,1.0
2019-06-10,90.97,91.67,89.94,90.71,90.71,38249,0.0,1.0
2019-06-07,90.87,91.84,90.46,90.84,90.84,44645,0.0,1.0
2019-06-06,93.23,93.23,90.5,90.66,90.66,54378,0.0,1.0
2019-06-05,95.31,96.815,92.24,92.75,92.75,73531,0.0,1.0
2019-06-04,93.03,95.82,93.03,95.14,95.14,55159,0.0,1.0
2019-06-03,93.57,95.27,92.08,92.91,92.91,69254,0.0,1.0
2019-05-31,92.07,94.21,91.49,92.98,92.98,69564,0.0,1.0
2019-05-30,94.46,96.1,92.46,92.46,92.46,49090,0.0,1.0
2019-05-29,92.85,94.94,92.3,94.75,94.75,62498,0.0,1.0
2019-05-28,93.95,94.98,93.22,93.23,93.23,52626,0.0,1.0
2019-05-24,94.78,97.03,93.53,93.9,93.9,79230,0.0,1.0
2019-05-23,98.94,99.25,93.44,94.65,94.65,125701,0.0,1.0
2019-05-22,100.0,102.28,97.88,101.92,101.92,117144,0.0,1.0
