timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,40.59,41.03,39.86,40.77,40.77,247644,0.0,1.0
2019-07-25,40.56,41.0,40.12,40.33,40.33,584226,0.0,1.0
2019-07-24,40.27,40.79,40.27,40.64,40.64,59189,0.0,1.0
2019-07-23,40.32,41.145,39.87,40.35,40.35,141262,0.0,1.0
2019-07-22,39.48,40.98,39.48,40.39,40.39,165985,0.0,1.0
2019-07-19,39.44,39.86,39.21,39.48,39.48,118656,0.0,1.0
2019-07-18,39.41,39.94,38.68,39.47,39.47,193076,0.0,1.0
2019-07-17,40.09,40.1,39.34,39.45,39.45,131692,0.0,1.0
2019-07-16,39.31,40.26,38.91,39.92,39.92,204537,0.0,1.0
2019-07-15,38.74,39.315,38.74,39.23,39.23,68019,0.0,1.0
2019-07-12,38.51,38.9,38.4155,38.86,38.86,145832,0.0,1.0
2019-07-11,38.7,38.91,38.245,38.64,38.64,146807,0.0,1.0
2019-07-10,37.89,38.79,37.89,38.73,38.73,345877,0.0,1.0
2019-07-09,37.85,37.98,37.526,37.74,37.74,73625,0.0,1.0
2019-07-08,38.78,38.83,37.73,37.77,37.77,85631,0.0,1.0
2019-07-05,38.32,38.81,38.16,38.76,38.76,61033,0.0,1.0
2019-07-03,38.67,38.87,38.15,38.51,38.51,48922,0.0,1.0
2019-07-02,38.32,38.81,38.09,38.37,38.37,81789,0.0,1.0
2019-07-01,37.69,38.69,37.3,38.3,38.3,91216,0.0,1.0
2019-06-28,37.62,37.8689,37.38,37.62,37.62,79830,0.0,1.0
2019-06-27,37.97,37.97,37.43,37.57,37.57,45749,0.0,1.0
2019-06-26,36.87,37.99,36.87,37.92,37.92,87899,0.0,1.0
2019-06-25,37.57,37.672,36.74,36.78,36.78,81181,0.0,1.0
2019-06-24,36.84,37.72,36.72,37.69,37.69,171258,0.0,1.0
2019-06-21,36.59,36.975,36.25,36.85,36.85,459167,0.0,1.0
2019-06-20,36.79,37.05,36.21,36.74,36.74,150000,0.0,1.0
2019-06-19,37.05,37.12,36.42,36.47,36.47,117016,0.0,1.0
2019-06-18,37.66,37.83,36.99,37.04,37.04,106769,0.0,1.0
2019-06-17,37.64,37.87,37.05,37.76,37.76,122130,0.0,1.0
2019-06-14,38.06,38.3,37.62,37.63,37.63,144577,0.0,1.0
2019-06-13,37.44,38.035,37.35,37.89,37.89,194324,0.0,1.0
2019-06-12,37.26,37.58,36.77,37.16,37.16,137975,0.0,1.0
2019-06-11,37.49,37.74,37.16,37.6,37.6,77159,0.0,1.0
