timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,3.4217,3.43,3.3768,3.3768,3.3768,2170,0.0,1.0
2019-07-24,3.3768,3.3768,3.37,3.37,3.37,1278,0.0,1.0
2019-07-23,3.4192,3.43,3.4192,3.43,3.43,1063,0.0,1.0
2019-07-22,3.3681,3.452,3.3681,3.452,3.452,546,0.0,1.0
2019-07-19,3.413,3.43,3.35,3.43,3.43,14819,0.0,1.0
2019-07-18,3.4973,3.4973,3.41,3.41,3.41,1275,0.0,1.0
2019-07-17,3.5,3.5,3.4,3.4,3.4,742,0.0,1.0
2019-07-16,3.4,3.5,3.4,3.5,3.5,2437,0.0,1.0
2019-07-15,3.57,3.57,3.4,3.43,3.43,6784,0.0,1.0
2019-07-12,3.75,3.75,3.56,3.56,3.56,2155,0.0,1.0
2019-07-11,3.7,3.75,3.7,3.75,3.75,1513,0.0,1.0
2019-07-10,3.75,3.75,3.56,3.75,3.75,2190,0.0,1.0
2019-07-09,3.68,3.75,3.55,3.6324,3.6324,5269,0.0,1.0
2019-07-08,3.67,3.7,3.64,3.7,3.7,1126,0.0,1.0
2019-07-05,3.7,3.7,3.46,3.46,3.46,1824,0.0,1.0
2019-07-03,3.73,3.75,3.73,3.75,3.75,1073,0.0,1.0
2019-07-02,3.72,3.75,3.55,3.69,3.69,1294,0.0,1.0
2019-07-01,3.6722,3.75,3.5667,3.57,3.57,3512,0.0,1.0
2019-06-28,3.57,3.75,3.55,3.75,3.75,9840,0.0,1.0
2019-06-27,3.65,3.65,3.52,3.6152,3.6152,1810,0.0,1.0
2019-06-26,3.6726,3.74,3.5678,3.65,3.65,3794,0.0,1.0
2019-06-25,3.68,3.68,3.68,3.68,3.68,1053,0.0,1.0
2019-06-24,3.5678,3.68,3.5678,3.66,3.66,5208,0.0,1.0
2019-06-21,3.59,3.59,3.5355,3.55,3.55,2351,0.0,1.0
2019-06-20,3.53,3.723,3.4205,3.63,3.63,2269,0.0,1.0
2019-06-19,3.45,3.7027,3.445,3.52,3.52,1760,0.0,1.0
2019-06-18,3.45,3.54,3.45,3.54,3.54,874,0.0,1.0
2019-06-17,3.41,3.41,3.41,3.41,3.41,425,0.0,1.0
2019-06-14,3.57,3.57,3.4045,3.5,3.5,4446,0.0,1.0
2019-06-13,3.5475,3.66,3.5475,3.6574,3.6574,5765,0.0,1.0
2019-06-12,3.526,3.54,3.4,3.4,3.4,2232,0.0,1.0
2019-06-11,3.613,3.76,3.613,3.76,3.76,3212,0.0,1.0
2019-06-10,3.5,3.6786,3.5,3.54,3.54,1272,0.0,1.0
2019-06-07,3.52,3.54,3.4,3.4,3.4,318,0.0,1.0
2019-06-06,3.52,3.74,3.41,3.41,3.41,983,0.0,1.0
2019-06-05,3.4371,3.6004,3.42,3.44,3.44,5377,0.0,1.0
2019-06-04,3.7427,3.7427,3.41,3.45,3.45,13836,0.0,1.0
2019-06-03,3.5587,3.665,3.4,3.43,3.43,13979,0.0,1.0
2019-05-31,3.6914,3.6914,3.56,3.57,3.57,830,0.0,1.0
2019-05-30,3.7,3.7,3.57,3.62,3.62,2420,0.0,1.0
2019-05-29,3.78,3.78,3.78,3.78,3.78,63,0.0,1.0
2019-05-28,3.89,3.94,3.6891,3.78,3.78,13697,0.0,1.0
2019-05-24,3.4,3.95,3.4,3.8,3.8,31372,0.0,1.0
2019-05-23,3.4499,3.64,3.4,3.49,3.49,7813,0.0,1.0
2019-05-22,3.49,3.49,3.4,3.4,3.4,2989,0.0,1.0
2019-05-21,3.51,3.54,3.43,3.43,3.43,5489,0.0,1.0
