timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,53.86,53.87,53.39,53.63,53.63,818688,0.0,1.0
2019-07-25,53.89,53.94,53.21,53.29,53.29,876081,0.0,1.0
2019-07-24,53.72,54.22,53.68,53.76,53.76,2529859,0.0,1.0
2019-07-23,54.62,54.76,54.29,54.3,54.3,1032257,0.0,1.0
2019-07-22,54.35,54.54,54.03,54.41,54.41,1550931,0.0,1.0
2019-07-19,54.07,54.54,53.84,54.5,54.5,1488152,0.0,1.0
2019-07-18,54.05,54.46,53.83,54.45,54.45,2529782,0.0,1.0
2019-07-17,54.82,54.8719,54.5,54.63,54.63,3494598,0.0,1.0
2019-07-16,55.8,56.25,55.4,55.59,55.59,2201069,0.0,1.0
2019-07-15,56.46,56.81,56.22,56.58,56.58,2682517,0.0,1.0
2019-07-12,56.02,56.5,55.95,56.45,56.45,2183281,0.0,1.0
2019-07-11,56.51,56.57,56.07,56.43,56.43,1034114,0.0,1.0
2019-07-10,56.17,56.36,55.855,56.3,56.3,979145,0.0,1.0
2019-07-09,55.44,55.58,55.24,55.48,55.48,797354,0.0,1.0
2019-07-08,55.57,55.786,55.46,55.6,55.6,783244,0.0,1.0
2019-07-05,55.46,55.58,55.07,55.37,55.37,575297,0.0,1.0
2019-07-03,55.34,55.5288,55.05,55.51,55.51,1286278,0.0,1.0
2019-07-02,56.43,56.47,55.85,55.94,55.94,769333,0.0,1.0
2019-07-01,56.51,56.54,55.827,56.03,56.03,957448,0.0,1.0
2019-06-28,55.86,56.14,55.74,55.79,55.79,759198,0.0,1.0
2019-06-27,55.95,56.0,55.555,55.6,55.6,617336,0.0,1.0
2019-06-26,56.17,56.54,56.01,56.08,56.08,1319440,0.0,1.0
2019-06-25,55.86,55.89,55.38,55.45,55.45,838346,0.0,1.0
2019-06-24,55.78,55.93,55.55,55.75,55.75,1115733,0.0,1.0
2019-06-21,55.41,55.67,55.37,55.37,55.37,1027424,0.0,1.0
2019-06-20,55.18,55.39,54.77,54.95,54.95,1494888,0.0,1.0
2019-06-19,54.0,54.29,53.87,54.06,54.06,2856739,0.0,1.0
2019-06-18,53.66,54.05,53.575,53.69,53.69,1986964,0.0,1.0
2019-06-17,52.91,53.21,52.56,52.63,52.63,1659798,0.0,1.0
2019-06-14,52.87,53.18,52.737,53.18,53.18,2181675,0.0,1.0
2019-06-13,53.22,53.28,52.76,52.83,52.83,3152783,0.0,1.0
2019-06-12,53.48,53.61,52.71,52.81,52.81,3709076,0.0,1.0
