timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,72.31,72.52,71.75,71.87,71.87,273399,0.0,1.0
2019-07-24,72.25,72.675,71.66,72.27,72.27,366447,0.0,1.0
2019-07-23,72.55,72.62,71.99,72.47,72.47,257987,0.0,1.0
2019-07-22,72.45,73.15,72.22,72.25,72.25,667070,0.0,1.0
2019-07-19,71.11,73.2,71.07,72.35,72.35,966957,0.0,1.0
2019-07-18,69.23,71.24,69.2,70.82,70.82,686524,0.0,1.0
2019-07-17,68.6,69.66,68.24,69.21,69.21,622695,0.0,1.0
2019-07-16,67.54,68.77,67.4134,68.65,68.65,313933,0.0,1.0
2019-07-15,67.55,67.68,66.79,67.56,67.56,211693,0.0,1.0
2019-07-12,66.23,67.41,66.23,67.37,67.37,777949,0.0,1.0
2019-07-11,66.17,66.36,65.97,66.1,66.1,396285,0.0,1.0
2019-07-10,66.69,66.935,65.92,66.0,66.0,308281,0.0,1.0
2019-07-09,66.28,67.25,65.0,66.5,66.5,497816,0.0,1.0
2019-07-08,66.71,66.85,66.36,66.67,66.67,651278,0.0,1.0
2019-07-05,66.1,66.99,65.66,66.88,66.88,557636,0.0,1.0
2019-07-03,65.92,66.47,65.735,66.37,66.37,851933,0.0,1.0
2019-07-02,66.18,66.365,65.4498,65.61,65.61,398981,0.0,1.0
2019-07-01,67.51,67.66,66.03,66.22,66.22,499835,0.0,1.0
2019-06-28,66.97,67.75,66.67,66.9,66.9,1354759,0.0,1.0
2019-06-27,67.11,67.45,66.64,66.97,66.97,392347,0.0,1.0
2019-06-26,67.55,68.1,66.77,66.84,66.84,334361,0.0,1.0
2019-06-25,68.81,68.855,67.47,67.64,67.64,581069,0.0,1.0
2019-06-24,69.37,69.86,68.78,68.84,68.84,326308,0.225,1.0
2019-06-21,68.65,69.67,68.54,69.51,69.2836,806574,0.0,1.0
2019-06-20,69.0,69.27,68.55,68.93,68.7054,264228,0.0,1.0
2019-06-19,67.97,68.64,67.78,68.41,68.1871,302498,0.0,1.0
2019-06-18,68.17,68.94,67.79,67.81,67.5891,320126,0.0,1.0
2019-06-17,68.09,68.45,67.51,67.57,67.3499,463253,0.0,1.0
2019-06-14,68.35,68.94,67.79,68.09,67.8682,232120,0.0,1.0
2019-06-13,68.44,68.7,67.91,68.37,68.1473,272977,0.0,1.0
2019-06-12,68.59,69.09,67.93,68.19,67.9679,486727,0.0,1.0
2019-06-11,68.73,69.77,68.35,68.66,68.4363,364461,0.0,1.0
2019-06-10,68.07,68.36,67.85,68.21,67.9878,273326,0.0,1.0
2019-06-07,67.53,68.02,67.35,67.89,67.6688,424021,0.0,1.0
2019-06-06,67.85,68.16,66.68,67.29,67.0708,686955,0.0,1.0
2019-06-05,67.5,68.11,67.22,67.79,67.5692,521074,0.0,1.0
2019-06-04,66.33,67.39,66.24,67.31,67.0907,414219,0.0,1.0
2019-06-03,65.17,66.42,65.17,65.85,65.6355,487302,0.0,1.0
2019-05-31,65.25,65.49,65.0,65.16,64.9477,569767,0.0,1.0
2019-05-30,65.26,66.15,65.08,65.76,65.5458,488009,0.0,1.0
2019-05-29,64.82,65.72,64.42,65.12,64.9079,724548,0.0,1.0
2019-05-28,66.07,66.625,64.88,64.97,64.7583,545833,0.0,1.0
2019-05-24,66.75,67.37,65.25,65.94,65.7252,719150,0.0,1.0
2019-05-23,66.95,69.9,65.81,66.58,66.3631,812441,0.0,1.0
