timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,2.93,2.985,2.91,2.91,2.91,9509,0.0,1.0
2019-07-25,2.98,2.9999,2.95,2.95,2.95,1957,0.0,1.0
2019-07-24,3.0194,3.0194,3.01,3.01,3.01,462,0.0,1.0
2019-07-23,3.03,3.04,3.02,3.04,3.04,11236,0.0,1.0
2019-07-22,3.0573,3.0573,3.0384,3.0384,3.0384,743,0.0,1.0
2019-07-19,3.08,3.0815,3.03,3.03,3.03,2500,0.0,1.0
2019-07-18,3.16,3.16,3.08,3.08,3.08,19907,0.0,1.0
2019-07-17,3.09,3.1,3.09,3.1,3.1,1259,0.0,1.0
2019-07-16,3.1,3.105,3.1,3.1,3.1,475,0.0,1.0
2019-07-15,3.1,3.1,3.0692,3.07,3.07,8870,0.0,1.0
2019-07-12,3.1055,3.1055,3.09,3.1,3.1,5389,0.0,1.0
2019-07-11,3.096,3.1,3.08,3.09,3.09,14441,0.0,1.0
2019-07-10,3.075,3.1,3.06,3.09,3.09,3618,0.0,1.0
2019-07-09,3.06,3.09,3.0515,3.09,3.09,13445,0.0,1.0
2019-07-08,3.04,3.07,3.04,3.05,3.05,10081,0.0,1.0
2019-07-05,3.06,3.0907,3.06,3.08,3.08,7579,0.0,1.0
2019-07-03,3.08,3.12,3.08,3.08,3.08,5112,0.0,1.0
2019-07-02,3.17,3.1896,3.08,3.08,3.08,6442,0.0,1.0
2019-07-01,3.11,3.12,3.08,3.08,3.08,6391,0.0,1.0
2019-06-28,3.1,3.13,3.08,3.08,3.08,12504,0.0,1.0
2019-06-27,3.12,3.12,3.09,3.09,3.09,3632,0.0,1.0
2019-06-26,3.13,3.16,3.08,3.08,3.08,16088,0.0,1.0
2019-06-25,3.0954,3.1,3.08,3.08,3.08,6184,0.0,1.0
2019-06-24,3.1,3.12,3.08,3.08,3.08,13858,0.0,1.0
2019-06-21,3.08,3.13,3.08,3.09,3.09,26426,0.0,1.0
2019-06-20,3.1,3.14,3.08,3.08,3.08,23141,0.0,1.0
2019-06-19,3.0529,3.1,3.0529,3.1,3.1,9532,0.0,1.0
2019-06-18,3.12,3.1256,3.06,3.06,3.06,26557,0.0,1.0
2019-06-17,3.04,3.1,3.04,3.08,3.08,19449,0.0,1.0
2019-06-14,3.12,3.12,3.07,3.07,3.07,11242,0.0,1.0
2019-06-13,3.06,3.11,3.021,3.08,3.08,22723,0.0,1.0
2019-06-12,3.07,3.1,3.07,3.1,3.1,10252,0.0,1.0
2019-06-11,3.1,3.1575,3.08,3.08,3.08,8567,0.0,1.0
2019-06-10,3.06,3.16,3.06,3.08,3.08,48731,0.0,1.0
2019-06-07,3.1,3.11,3.08,3.08,3.08,9663,0.0,1.0
2019-06-06,3.06,3.1015,3.06,3.07,3.07,2189,0.0,1.0
2019-06-05,3.07,3.1,3.0653,3.08,3.08,13654,0.0,1.0
2019-06-04,3.13,3.13,3.08,3.08,3.08,23383,0.0,1.0
2019-06-03,3.11,3.15,3.11,3.13,3.13,26292,0.0,1.0
2019-05-31,3.1764,3.1764,3.14,3.14,3.14,13759,0.0,1.0
2019-05-30,3.2,3.23,3.18,3.18,3.18,26985,0.0,1.0
2019-05-29,3.16,3.21,3.16,3.18,3.18,24810,0.0,1.0
2019-05-28,3.21,3.23,3.18,3.18,3.18,10439,0.0,1.0
2019-05-24,3.19,3.21,3.18,3.18,3.18,17351,0.0,1.0
2019-05-23,3.17,3.22,3.14,3.18,3.18,17560,0.0,1.0
2019-05-22,3.17,3.2641,3.13,3.18,3.18,18420,0.0,1.0
2019-05-21,3.24,3.26,3.18,3.18,3.18,18591,0.0,1.0
2019-05-20,3.25,3.2836,3.14,3.22,3.22,66031,0.0,1.0
2019-05-17,3.28,3.34,3.25,3.3,3.3,38251,0.0,1.0
2019-05-16,3.28,3.328,3.25,3.29,3.29,32981,0.0,1.0
2019-05-15,3.61,3.6399,3.21,3.29,3.29,33830,0.0,1.0
2019-05-14,3.19,3.29,3.18,3.25,3.25,62275,0.0,1.0
2019-05-13,3.27,3.3182,3.2,3.22,3.22,23671,0.0,1.0
2019-05-10,3.19,3.3222,3.19,3.27,3.27,25878,0.0,1.0
2019-05-09,3.23,3.25,3.2,3.2,3.2,4937,0.0,1.0
2019-05-08,3.31,3.31,3.25,3.25,3.25,5136,0.0,1.0
2019-05-07,3.31,3.39,3.28,3.28,3.28,7083,0.0,1.0
2019-05-06,3.4,3.4,3.32,3.32,3.32,21153,0.0,1.0
2019-05-03,3.31,3.45,3.3,3.4,3.4,37509,0.0,1.0
2019-05-02,3.35,3.4232,3.32,3.33,3.33,15759,0.0,1.0
2019-05-01,3.3065,3.4648,3.165,3.44,3.44,28800,0.0,1.0
2019-04-30,3.35,3.35,3.29,3.295,3.295,14546,0.0,1.0
2019-04-29,3.26,3.35,3.26,3.33,3.33,25157,0.0,1.0
2019-04-26,3.28,3.3,3.26,3.275,3.275,20248,0.0,1.0
