timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,166.03,169.51,163.69,167.72,167.72,1201489,0.0,1.0
2019-07-24,165.95,167.08,164.6,166.06,166.06,2571509,0.0,1.0
2019-07-23,168.91,169.155,163.32,165.73,165.73,1720081,0.0,1.0
2019-07-22,170.23,170.92,168.42,168.78,168.78,970682,0.0,1.0
2019-07-19,174.13,174.26,169.36,169.49,169.49,800289,0.0,1.0
2019-07-18,172.61,174.235,171.25,173.17,173.17,803117,0.0,1.0
2019-07-17,170.72,173.08,170.06,172.75,172.75,845457,0.0,1.0
2019-07-16,174.48,176.9,170.58,171.04,171.04,1167772,0.0,1.0
2019-07-15,175.58,176.0602,173.6926,174.33,174.33,663040,0.0,1.0
2019-07-12,176.0,176.64,173.01,175.09,175.09,885256,0.0,1.0
2019-07-11,175.28,175.7835,173.302,175.65,175.65,921486,0.0,1.0
2019-07-10,172.51,176.62,171.96,173.82,173.82,1194463,0.0,1.0
2019-07-09,167.38,172.16,166.78,171.91,171.91,1000558,0.0,1.0
2019-07-08,169.4,169.5,166.91,167.87,167.87,730397,0.0,1.0
2019-07-05,167.84,170.69,165.7,170.05,170.05,747054,0.0,1.0
2019-07-03,167.16,168.73,166.55,168.68,168.68,764736,0.0,1.0
2019-07-02,163.47,166.73,162.59,166.6,166.6,1717945,0.0,1.0
2019-07-01,165.62,165.62,160.835,163.47,163.47,1095470,0.0,1.0
2019-06-28,161.0,162.305,157.9859,162.11,162.11,2241865,0.0,1.0
2019-06-27,157.24,160.99,155.0,160.51,160.51,2487509,0.0,1.0
2019-06-26,159.32,161.0,155.52,155.52,155.52,2374354,0.0,1.0
2019-06-25,164.37,164.9491,155.78,157.16,157.16,3460669,0.0,1.0
2019-06-24,169.38,170.07,162.15,162.97,162.97,2977270,0.0,1.0
2019-06-21,171.0,171.2,167.85,168.93,168.93,1832893,0.0,1.0
2019-06-20,172.51,173.65,168.68,171.15,171.15,1938425,0.0,1.0
2019-06-19,167.63,170.04,165.76,169.79,169.79,1431454,0.0,1.0
2019-06-18,167.9,169.79,166.84,167.22,167.22,889334,0.0,1.0
2019-06-17,165.6,167.358,164.6,166.46,166.46,915565,0.0,1.0
2019-06-14,166.04,167.365,164.5,164.63,164.63,747841,0.0,1.0
2019-06-13,167.5,168.46,165.27,166.33,166.33,868482,0.0,1.0
2019-06-12,164.75,167.9224,164.08,167.02,167.02,1715155,0.0,1.0
2019-06-11,163.95,165.4864,160.3906,164.44,164.44,1221685,0.0,1.0
2019-06-10,166.42,166.9296,162.36,162.51,162.51,2039032,0.0,1.0
2019-06-07,160.59,164.6,160.04,162.2,162.2,1949838,0.0,1.0
2019-06-06,158.35,161.78,157.26,159.0,159.0,1993380,0.0,1.0
