timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,7.25,7.37,7.2,7.24,7.24,66712,0.0,1.0
2019-07-23,7.22,7.38,7.21,7.3,7.3,108475,0.0,1.0
2019-07-22,7.09,7.21,7.03,7.17,7.17,171703,0.0,1.0
2019-07-19,7.12,7.17,7.0,7.14,7.14,149879,0.0,1.0
2019-07-18,7.25,7.25,7.02,7.12,7.12,119415,0.0,1.0
2019-07-17,7.57,7.57,7.23,7.24,7.24,120640,0.0,1.0
2019-07-16,7.78,7.81,7.58,7.58,7.58,128517,0.0,1.0
2019-07-15,7.83,7.865,7.72,7.76,7.76,82817,0.0,1.0
2019-07-12,7.83,7.83,7.73,7.78,7.78,58460,0.0,1.0
2019-07-11,7.87,7.91,7.75,7.81,7.81,60189,0.0,1.0
2019-07-10,7.9,7.97,7.75,7.84,7.84,142771,0.0,1.0
2019-07-09,7.7,7.9,7.69,7.84,7.84,130969,0.0,1.0
2019-07-08,7.99,7.99,7.71,7.73,7.73,144200,0.0,1.0
2019-07-05,8.12,8.12,7.83,8.05,8.05,110318,0.0,1.0
2019-07-03,8.05,8.05,7.93,8.04,8.04,81495,0.0,1.0
2019-07-02,7.85,8.115,7.85,8.08,8.08,248666,0.0,1.0
2019-07-01,7.88,7.98,7.75,7.89,7.89,167088,0.0,1.0
2019-06-28,7.84,7.955,7.749,7.79,7.79,149195,0.0,1.0
2019-06-27,7.62,7.91,7.57,7.9,7.9,296126,0.0,1.0
2019-06-26,7.64,7.75,7.58,7.61,7.61,146870,0.0,1.0
2019-06-25,7.72,7.77,7.58,7.59,7.59,187753,0.0,1.0
2019-06-24,7.66,7.83,7.54,7.74,7.74,180199,0.0,1.0
2019-06-21,7.76,7.9,7.49,7.64,7.64,707372,0.0,1.0
2019-06-20,7.74,7.9437,7.74,7.78,7.78,296419,0.0,1.0
2019-06-19,7.58,7.77,7.54,7.7,7.7,270306,0.0,1.0
2019-06-18,7.23,7.64,7.18,7.54,7.54,343888,0.0,1.0
2019-06-17,6.69,7.25,6.68,7.19,7.19,413146,0.0,1.0
2019-06-14,6.92,7.07,6.6,6.68,6.68,1521009,0.0,1.0
2019-06-13,7.23,7.28,6.94,6.98,6.98,306580,0.0,1.0
2019-06-12,7.28,7.41,7.12,7.23,7.23,235631,0.0,1.0
2019-06-11,7.31,7.45,7.09,7.33,7.33,366662,0.0,1.0
2019-06-10,7.14,7.37,7.12,7.24,7.24,383421,0.0,1.0
2019-06-07,7.26,7.364,6.99,7.11,7.11,508778,0.0,1.0
