timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,32.17,33.26,32.05,33.2,33.2,1314977,0.0,1.0
2019-07-25,33.62,33.9,32.9,33.26,33.26,958418,0.0,1.0
2019-07-24,32.82,33.77,32.55,33.59,33.59,1129663,0.0,1.0
2019-07-23,33.0,33.14,32.69,32.9,32.9,721178,0.0,1.0
2019-07-22,32.91,33.0187,32.54,32.89,32.89,483768,0.0,1.0
2019-07-19,31.99,33.1119,31.99,32.75,32.75,1107318,0.0,1.0
2019-07-18,31.95,31.98,31.47,31.94,31.94,505438,0.0,1.0
2019-07-17,31.75,31.95,30.76,31.75,31.75,1313590,0.0,1.0
2019-07-16,31.29,32.7821,30.87,31.99,31.99,1183784,0.0,1.0
2019-07-15,31.01,31.28,30.55,30.88,30.88,408348,0.0,1.0
2019-07-12,29.53,31.09,29.53,30.9,30.9,733293,0.0,1.0
2019-07-11,29.21,29.92,28.71,29.74,29.74,966765,0.0,1.0
2019-07-10,30.64,30.77,29.74,29.85,29.85,426088,0.0,1.0
2019-07-09,30.7,30.78,30.385,30.6,30.6,319523,0.0,1.0
2019-07-08,30.82,31.1,30.81,31.03,31.03,366466,0.0,1.0
2019-07-05,30.88,31.13,30.59,30.99,30.99,160561,0.0,1.0
2019-07-03,30.78,31.11,30.77,30.9,30.9,240337,0.0,1.0
2019-07-02,31.08,31.38,30.47,30.61,30.61,654058,0.0,1.0
2019-07-01,31.25,31.54,30.84,31.15,31.15,334752,0.0,1.0
2019-06-28,30.72,31.2199,30.72,31.08,31.08,1267570,0.09,1.0
2019-06-27,30.06,30.88,30.02,30.85,30.7609,590778,0.0,1.0
2019-06-26,29.55,29.98,29.34,29.93,29.8436,379236,0.0,1.0
2019-06-25,29.48,29.81,29.22,29.49,29.4049,622861,0.0,1.0
2019-06-24,30.2,30.32,29.33,29.41,29.3251,522319,0.0,1.0
2019-06-21,30.41,30.67,30.11,30.16,30.0729,824240,0.0,1.0
2019-06-20,30.49,30.55,30.19,30.44,30.3521,388725,0.0,1.0
2019-06-19,30.1,30.35,30.06,30.18,30.0929,386325,0.0,1.0
2019-06-18,30.16,30.57,29.91,30.26,30.1726,435012,0.0,1.0
2019-06-17,30.54,30.68,29.99,30.09,30.0031,558664,0.0,1.0
2019-06-14,30.41,30.7,30.26,30.54,30.4518,376476,0.0,1.0
2019-06-13,30.08,30.46,29.96,30.45,30.3621,577784,0.0,1.0
2019-06-12,29.42,30.0,29.3098,29.96,29.8735,375237,0.0,1.0
2019-06-11,29.83,29.89,29.43,29.48,29.3949,506996,0.0,1.0
2019-06-10,29.17,29.92,29.17,29.55,29.4647,553586,0.0,1.0
2019-06-07,29.37,29.5,29.05,29.07,28.9861,427180,0.0,1.0
2019-06-06,29.15,29.32,28.54,29.24,29.1556,1220596,0.0,1.0
2019-06-05,29.34,29.61,29.01,29.42,29.3351,578514,0.0,1.0
2019-06-04,28.96,29.74,28.7368,29.3,29.2154,849241,0.0,1.0
2019-06-03,27.92,28.71,27.92,28.4,28.318,1081239,0.0,1.0
2019-05-31,27.65,27.95,27.27,27.88,27.7995,1676466,0.0,1.0
2019-05-30,28.21,28.39,27.79,28.25,28.1684,1003998,0.0,1.0
2019-05-29,28.87,28.99,28.15,28.25,28.1684,861320,0.0,1.0
2019-05-28,29.52,29.59,28.8,29.11,29.0259,1301710,0.0,1.0
2019-05-24,29.24,29.78,29.04,29.37,29.2852,1059579,0.0,1.0
2019-05-23,29.97,30.44,29.52,29.56,29.4746,1222261,3.75,1.0
2019-05-22,34.09,34.18,33.37,34.07,30.1471,1383160,0.0,1.0
2019-05-21,34.58,34.8,33.99,34.12,30.1914,1094016,0.0,1.0
2019-05-20,33.63,34.77,33.57,34.26,30.3153,1081239,0.0,1.0
2019-05-17,33.23,34.0,33.09,33.74,29.8551,1075838,0.0,1.0
2019-05-16,32.79,33.55,32.7,33.39,29.5454,1063566,0.0,1.0
2019-05-15,33.26,33.36,32.17,32.82,29.0411,1706367,0.0,1.0
2019-05-14,31.45,31.97,31.3656,31.76,28.1031,285811,0.0,1.0
2019-05-13,31.71,31.805,31.19,31.41,27.7934,665461,0.0,1.0
2019-05-10,32.45,32.565,32.0963,32.39,28.6606,480607,0.0,1.0
2019-05-09,32.18,32.72,31.97,32.55,28.8022,446678,0.0,1.0
2019-05-08,33.09,33.26,32.3,32.39,28.6606,339676,0.0,1.0
2019-05-07,33.29,33.6,32.72,33.09,29.28,412510,0.0,1.0
2019-05-06,32.97,33.75,32.97,33.65,29.7755,493719,0.0,1.0
2019-05-03,33.15,33.57,32.85,33.48,29.6251,420574,0.0,1.0
2019-05-02,32.19,32.96,32.02,32.92,29.1296,1002828,0.0,1.0
2019-05-01,33.41,33.53,32.2,32.28,28.5632,921646,0.0,1.0
2019-04-30,34.65,34.785,33.49,33.5,29.6428,963377,0.0,1.0
2019-04-29,35.75,35.85,34.5,34.55,30.5719,847930,0.0,1.0
2019-04-26,36.34,36.525,34.87,35.75,31.6337,1282086,0.0,1.0
2019-04-25,36.13,36.2,34.72,34.81,30.8019,894400,0.0,1.0
2019-04-24,35.5,36.196,35.29,36.13,31.97,694021,0.0,1.0
2019-04-23,35.36,35.5,35.11,35.45,31.3682,526396,0.0,1.0
2019-04-22,35.35,35.5,35.02,35.35,31.2798,417385,0.0,1.0
2019-04-18,34.83,35.45,34.51,35.33,31.2621,556140,0.0,1.0
2019-04-17,34.95,35.38,34.75,34.79,30.7842,593617,0.0,1.0
2019-04-16,33.9,34.78,33.6977,34.74,30.74,668646,0.0,1.0
2019-04-15,35.1,35.24,34.26,34.39,30.4303,561687,0.0,1.0
2019-04-12,35.38,35.77,34.98,35.01,30.9789,505879,0.09,1.0
2019-04-11,34.86,35.47,34.7705,35.22,31.0848,362365,0.0,1.0
2019-04-10,34.92,35.025,34.53,34.74,30.6612,404416,0.0,1.0
2019-04-09,35.02,35.1684,34.81,34.98,30.873,451957,0.0,1.0
2019-04-08,35.09,35.43,35.03,35.24,31.1025,282899,0.0,1.0
2019-04-05,35.11,35.76,35.11,35.22,31.0848,553442,0.0,1.0
2019-04-04,34.42,35.24,34.42,35.01,30.8995,268499,0.0,1.0
2019-04-03,34.56,35.02,34.28,34.48,30.4317,498860,0.0,1.0
2019-04-02,34.85,34.93,34.32,34.5,30.4494,441983,0.0,1.0
2019-04-01,34.3,34.86,34.3,34.78,30.6965,429962,0.0,1.0
2019-03-29,34.57,34.72,33.96,34.15,30.1404,514199,0.0,1.0
2019-03-28,33.75,34.53,33.75,34.42,30.3787,541599,0.0,1.0
2019-03-27,33.71,34.09,33.58,33.62,29.6727,546941,0.0,1.0
2019-03-26,32.95,33.74,32.91,33.7,29.7433,560268,0.0,1.0
2019-03-25,32.74,33.31,32.66,32.83,28.9754,486242,0.0,1.0
2019-03-22,33.22,33.49,32.85,32.86,29.0019,717756,0.0,1.0
2019-03-21,32.76,33.4,32.5973,33.33,29.4167,585395,0.0,1.0
2019-03-20,33.26,33.29,32.51,32.94,29.0725,1042735,0.0,1.0
2019-03-19,34.68,34.7,33.12,33.33,29.4167,876079,0.0,1.0
2019-03-18,34.51,34.96,34.43,34.82,30.7318,505275,0.0,1.0
2019-03-15,34.73,35.11,34.36,34.42,30.3787,789457,0.0,1.0
2019-03-14,35.1,35.11,34.53,34.73,30.6524,464391,0.0,1.0
2019-03-13,34.98,35.46,34.9,35.13,31.0054,480237,0.0,1.0
2019-03-12,35.2,35.31,34.4,34.83,30.7406,509740,0.0,1.0
