timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,68.4,69.15,67.25,68.96,68.96,531113,0.0,1.0
2019-07-25,69.0,69.21,67.65,68.38,68.38,481110,0.0,1.0
2019-07-24,68.81,69.95,68.8,69.34,69.34,793028,0.0,1.0
2019-07-23,68.09,69.37,68.0,68.95,68.95,430660,0.0,1.0
2019-07-22,67.27,68.47,67.15,67.47,67.47,413820,0.0,1.0
2019-07-19,68.08,68.66,67.66,68.44,68.44,401450,0.0,1.0
2019-07-18,67.57,68.73,67.57,68.15,68.15,384208,0.0,1.0
2019-07-17,69.37,69.37,67.95,68.05,68.05,336155,0.0,1.0
2019-07-16,68.5,70.39,68.3401,69.35,69.35,563230,0.0,1.0
2019-07-15,68.93,69.12,68.14,68.75,68.75,518635,0.0,1.0
2019-07-12,67.45,69.17,67.35,68.85,68.85,709821,0.0,1.0
2019-07-11,68.23,68.415,66.04,67.1,67.1,918227,0.0,1.0
2019-07-10,68.51,69.09,67.555,68.24,68.24,774855,0.0,1.0
2019-07-09,68.03,68.51,67.36,68.32,68.32,870644,0.0,1.0
2019-07-08,69.52,69.82,67.89,68.36,68.36,1071847,0.0,1.0
2019-07-05,67.65,70.0,67.3444,69.73,69.73,614919,0.0,1.0
2019-07-03,66.99,68.18,66.28,68.14,68.14,398623,0.0,1.0
2019-07-02,69.41,69.41,66.76,66.94,66.94,1201181,0.0,1.0
2019-07-01,65.0,70.56,64.4,69.99,69.99,1943975,0.0,1.0
2019-06-28,69.68,70.3,68.65,69.46,69.46,1407149,0.0,1.0
2019-06-27,67.42,69.33,67.22,69.13,69.13,911103,0.0,1.0
2019-06-26,66.54,68.25,66.273,67.51,67.51,880268,0.0,1.0
2019-06-25,66.04,66.39,65.24,66.12,66.12,602360,0.0,1.0
2019-06-24,66.42,66.96,65.88,66.03,66.03,682657,0.0,1.0
2019-06-21,64.27,67.41,64.01,66.46,66.46,1316168,0.0,1.0
2019-06-20,64.11,64.36,62.73,64.33,64.33,914207,0.0,1.0
2019-06-19,64.02,64.565,62.67,62.69,62.69,1131458,0.0,1.0
2019-06-18,64.23,65.32,63.71,64.41,64.41,878671,0.0,1.0
2019-06-17,63.63,63.74,62.23,63.27,63.27,824808,0.0,1.0
2019-06-14,63.84,64.24,63.36,63.76,63.76,702848,0.0,1.0
2019-06-13,62.77,64.03,62.7,64.01,64.01,510715,0.0,1.0
2019-06-12,61.99,62.615,61.365,62.1,62.1,895528,0.0,1.0
2019-06-11,64.01,64.86,62.47,62.54,62.54,950826,0.0,1.0
2019-06-10,64.14,64.73,62.84,63.07,63.07,664433,0.0,1.0
2019-06-07,63.61,64.25,62.39,63.47,63.47,854210,0.0,1.0
2019-06-06,63.37,63.5098,62.09,63.19,63.19,1151683,0.0,1.0
2019-06-05,63.91,63.91,61.51,63.45,63.45,1068496,0.0,1.0
2019-06-04,60.53,63.59,60.39,63.54,63.54,892124,0.0,1.0
2019-06-03,57.58,59.78,57.4,59.53,59.53,904129,0.0,1.0
2019-05-31,57.83,58.56,57.2,57.29,57.29,878350,0.0,1.0
2019-05-30,59.6,59.97,58.81,58.93,58.93,598032,0.0,1.0
2019-05-29,59.27,60.23,58.44,59.92,59.92,523589,0.0,1.0
2019-05-28,60.53,60.9,59.89,60.15,60.15,583313,0.25,1.0
2019-05-24,61.61,61.95,59.77,60.52,60.2695,740943,0.0,1.0
