timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,84.91,84.94,84.38,84.88,84.88,611424,0.0,1.0
2019-07-23,84.51,85.01,84.16,84.91,84.91,717764,0.0,1.0
2019-07-22,84.06,84.52,83.63,84.36,84.36,557216,0.0,1.0
2019-07-19,84.86,85.22,83.74,83.84,83.84,468090,0.0,1.0
2019-07-18,84.73,85.085,84.0,84.92,84.92,608916,0.0,1.0
2019-07-17,84.79,85.12,84.29,84.82,84.82,812903,0.0,1.0
2019-07-16,84.79,85.25,84.57,84.57,84.57,840903,0.0,1.0
2019-07-15,84.48,85.05,84.285,84.97,84.97,730716,0.0,1.0
2019-07-12,83.92,84.64,83.7801,84.33,84.33,645039,0.0,1.0
2019-07-11,84.96,85.05,83.53,84.0,84.0,773996,0.0,1.0
2019-07-10,84.59,85.05,84.34,84.57,84.57,827937,0.0,1.0
2019-07-09,83.36,84.61,83.3136,84.55,84.55,894955,0.0,1.0
2019-07-08,82.8,83.67,82.45,83.43,83.43,682726,0.0,1.0
2019-07-05,82.14,83.22,81.2,82.98,82.98,607186,0.0,1.0
2019-07-03,81.3,82.71,81.2933,82.64,82.64,371074,0.0,1.0
2019-07-02,80.61,81.65,80.4816,81.16,81.16,817343,0.0,1.0
2019-07-01,81.63,81.63,79.08,80.33,80.33,1318655,0.0,1.0
2019-06-28,81.5,81.96,81.05,81.18,81.18,1585628,0.0,1.0
2019-06-27,80.53,81.517,80.53,81.42,81.42,739115,1.034,1.0
2019-06-26,84.24,84.35,81.14,81.3,80.2805,1305563,0.0,1.0
2019-06-25,85.78,86.15,84.03,84.03,82.9762,1755826,0.0,1.0
2019-06-24,85.84,86.12,85.14,85.62,84.5463,1407093,0.0,1.0
2019-06-21,85.73,85.8,84.83,85.58,84.5068,2951856,0.0,1.0
2019-06-20,85.8,86.26,85.47,86.0,84.9215,1629916,0.0,1.0
2019-06-19,84.95,86.2,84.59,85.61,84.5364,1626896,0.0,1.0
2019-06-18,85.77,86.41,84.59,85.17,84.1019,793316,0.0,1.0
2019-06-17,85.66,86.19,85.39,85.83,84.7537,677046,0.0,1.0
2019-06-14,85.34,85.995,85.17,85.5,84.4278,457077,0.0,1.0
2019-06-13,85.0,85.64,85.0,85.28,84.2106,472309,0.0,1.0
2019-06-12,84.99,85.5,84.75,84.91,83.8452,489939,0.0,1.0
2019-06-11,84.78,85.09,84.05,84.89,83.8255,432212,0.0,1.0
2019-06-10,85.24,85.24,84.45,84.77,83.707,459413,0.0,1.0
