timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,4.4,4.5,4.39,4.47,4.47,335268,0.0,1.0
2019-07-24,4.38,4.44,4.33,4.42,4.42,717645,0.0,1.0
2019-07-23,4.4,4.45,4.35,4.4,4.4,608457,0.0,1.0
2019-07-22,4.36,4.46,4.35,4.4,4.4,1178195,0.0,1.0
2019-07-19,4.3,4.45,4.28,4.39,4.39,1053443,0.0,1.0
2019-07-18,4.35,4.36,4.23,4.3,4.3,1142931,0.0,1.0
2019-07-17,4.6,4.65,4.3,4.39,4.39,3119300,0.0,1.0
2019-07-16,3.7,3.9,3.7,3.88,3.88,182353,0.0,1.0
2019-07-15,3.79,3.8,3.7,3.72,3.72,80206,0.0,1.0
2019-07-12,3.72,3.8,3.57,3.77,3.77,247920,0.0,1.0
2019-07-11,3.83,3.8314,3.695,3.73,3.73,92587,0.0,1.0
2019-07-10,3.79,3.83,3.51,3.79,3.79,215852,0.0,1.0
2019-07-09,3.64,3.8,3.62,3.73,3.73,226929,0.0,1.0
2019-07-08,3.56,3.66,3.43,3.65,3.65,120803,0.0,1.0
2019-07-05,3.55,3.608,3.53,3.56,3.56,190970,0.0,1.0
2019-07-03,3.53,3.63,3.53,3.59,3.59,150134,0.0,1.0
2019-07-02,3.67,3.69,3.55,3.57,3.57,512467,0.0,1.0
2019-07-01,3.75,3.78,3.65,3.67,3.67,81781,0.0,1.0
2019-06-28,3.8,3.83,3.72,3.74,3.74,121358,0.0,1.0
2019-06-27,4.01,4.01,3.8,3.81,3.81,105294,0.0,1.0
2019-06-26,4.0,4.04,3.93,4.01,4.01,147496,0.0,1.0
2019-06-25,4.1,4.11,4.02,4.1,4.1,43839,0.0,1.0
2019-06-24,4.21,4.21,4.085,4.1,4.1,61585,0.0,1.0
2019-06-21,3.97,4.28,3.9301,4.19,4.19,613268,0.0,1.0
2019-06-20,3.98,4.0,3.97,3.99,3.99,77988,0.0,1.0
2019-06-19,3.98,4.01,3.92,3.99,3.99,143377,0.0,1.0
2019-06-18,4.04,4.055,3.89,3.97,3.97,121510,0.0,1.0
2019-06-17,3.95,4.14,3.94,4.03,4.03,121632,0.0,1.0
2019-06-14,3.9201,3.94,3.87,3.93,3.93,39967,0.0,1.0
2019-06-13,4.0,4.11,3.88,3.94,3.94,127930,0.0,1.0
2019-06-12,3.84,3.93,3.63,3.91,3.91,161069,0.0,1.0
2019-06-11,3.98,3.98,3.8199,3.84,3.84,84820,0.0,1.0
2019-06-10,3.94,4.02,3.92,3.94,3.94,38845,0.0,1.0
2019-06-07,4.0,4.07,3.92,3.98,3.98,36258,0.0,1.0
2019-06-06,4.05,4.2418,3.885,3.92,3.92,113411,0.0,1.0
2019-06-05,4.06,4.14,4.0,4.12,4.12,40995,0.0,1.0
2019-06-04,4.11,4.15,4.0,4.09,4.09,72937,0.0,1.0
2019-06-03,4.24,4.28,4.02,4.09,4.09,29566,0.0,1.0
2019-05-31,4.17,4.28,4.17,4.28,4.28,69339,0.0,1.0
2019-05-30,4.24,4.24,4.12,4.21,4.21,15560,0.0,1.0
2019-05-29,4.2735,4.34,4.16,4.23,4.23,47072,0.0,1.0
2019-05-28,4.39,4.49,4.27,4.35,4.35,50351,0.0,1.0
2019-05-24,4.213,4.45,4.213,4.42,4.42,88916,0.0,1.0
2019-05-23,4.44,4.47,4.02,4.41,4.41,237817,0.0,1.0
2019-05-22,4.5,4.87,4.3,4.45,4.45,659634,0.0,1.0
2019-05-21,4.46,4.53,4.42,4.48,4.48,18593,0.0,1.0
2019-05-20,4.43,4.47,4.391,4.46,4.46,59003,0.0,1.0
2019-05-17,4.55,4.55,4.3,4.47,4.47,126429,0.0,1.0
2019-05-16,4.56,4.65,4.5,4.6,4.6,155977,0.0,1.0
2019-05-15,4.43,4.57,4.35,4.55,4.55,44166,0.0,1.0
2019-05-14,4.29,4.44,4.29,4.44,4.44,30429,0.0,1.0
2019-05-13,4.38,4.38,4.17,4.22,4.22,58162,0.0,1.0
2019-05-10,4.54,4.57,4.39,4.49,4.49,47981,0.0,1.0
2019-05-09,4.5,4.58,4.3,4.55,4.55,51039,0.0,1.0
2019-05-08,4.45,4.51,4.41,4.46,4.46,21117,0.0,1.0
2019-05-07,4.55,4.58,4.44,4.44,4.44,20245,0.0,1.0
