timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,65.78,66.52,65.0,66.22,66.22,1135050,0.0,1.0
2019-07-23,64.59,66.32,64.59,65.37,65.37,664339,0.0,1.0
2019-07-22,65.5,65.7,64.17,64.23,64.23,824599,0.0,1.0
2019-07-19,66.64,66.82,64.77,64.99,64.99,970797,0.0,1.0
2019-07-18,65.91,66.535,64.72,65.95,65.95,869888,0.0,1.0
2019-07-17,67.48,68.2,66.4,66.45,66.45,723256,0.0,1.0
2019-07-16,67.9,68.226,66.99,67.55,67.55,865281,0.0,1.0
2019-07-15,68.28,68.93,67.97,68.02,68.02,975938,0.0,1.0
2019-07-12,68.84,68.84,67.23,67.49,67.49,1104278,0.0,1.0
2019-07-11,69.13,70.07,68.09,68.42,68.42,789548,0.0,1.0
2019-07-10,71.0,71.63,68.635,69.47,69.47,1205891,0.0,1.0
2019-07-09,69.26,70.74,69.0,70.18,70.18,667621,0.0,1.0
2019-07-08,69.5,70.67,69.41,69.42,69.42,716071,0.0,1.0
2019-07-05,70.11,70.62,69.36,70.44,70.44,455639,0.0,1.0
2019-07-03,71.23,71.42,70.35,70.74,70.74,838023,0.0,1.0
2019-07-02,71.8,72.24,70.63,70.99,70.99,992014,0.0,1.0
2019-07-01,72.31,73.77,71.26,72.71,72.71,1837041,0.0,1.0
2019-06-28,69.52,70.555,69.0701,69.69,69.69,1514947,0.0,1.0
2019-06-27,70.57,70.88,68.47,69.04,69.04,1546171,0.0,1.0
2019-06-26,69.8,70.83,69.29,70.56,70.56,948509,0.0,1.0
2019-06-25,70.46,70.46,67.54,68.7,68.7,1034919,0.0,1.0
2019-06-24,70.0,70.85,69.48,70.55,70.55,788300,0.0,1.0
2019-06-21,70.74,71.24,68.38,69.89,69.89,1987876,0.0,1.0
2019-06-20,72.11,72.45,69.96,71.03,71.03,3610221,0.0,1.0
2019-06-19,73.37,74.44,71.0,71.04,71.04,3385622,0.0,1.0
2019-06-18,75.73,78.7589,75.55,77.18,77.18,754697,0.0,1.0
2019-06-17,73.75,75.88,73.37,74.95,74.95,519721,0.0,1.0
2019-06-14,74.81,74.82,72.61,73.75,73.75,1137696,0.0,1.0
2019-06-13,75.8,76.35,74.34,75.38,75.38,655845,0.0,1.0
2019-06-12,77.0,77.37,74.87,75.57,75.57,1032103,0.0,1.0
2019-06-11,79.39,79.9,77.76,78.0,78.0,953233,0.0,1.0
2019-06-10,76.08,78.25,75.81,77.74,77.74,1347808,0.0,1.0
2019-06-07,70.92,75.0,70.7,74.75,74.75,1510485,0.0,1.0
2019-06-06,68.04,70.99,67.79,70.3,70.3,764315,0.0,1.0
2019-06-05,70.25,70.25,66.85,68.71,68.71,740625,0.0,1.0
2019-06-04,68.0,69.755,67.25,69.6,69.6,669963,0.0,1.0
2019-06-03,68.01,68.66,66.899,67.54,67.54,788146,0.0,1.0
2019-05-31,69.0,69.5,68.13,68.45,68.45,1176257,0.0,1.0
2019-05-30,67.27,70.48,67.24,70.24,70.24,2341922,0.0,1.0
2019-05-29,68.25,69.88,66.53,66.98,66.98,3000710,0.0,1.0
2019-05-28,64.95,65.92,63.75,63.93,63.93,1556317,0.0,1.0
2019-05-24,65.35,65.845,63.545,64.12,64.12,647223,0.0,1.0
2019-05-23,65.0,65.9675,64.19,64.96,64.96,1004274,0.0,1.0
2019-05-22,68.28,69.37,67.0,67.2,67.2,683925,0.0,1.0
2019-05-21,66.43,68.5436,66.43,68.41,68.41,686423,0.0,1.0
2019-05-20,65.41,67.46,65.25,66.27,66.27,1559122,0.0,1.0
