timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,15.38,15.9,15.2,15.3,15.3,1138823,0.0,1.0
2019-07-24,15.09,15.47,15.0,15.39,15.39,1371531,0.0,1.0
2019-07-23,15.48,15.48,15.075,15.09,15.09,753420,0.0,1.0
2019-07-22,15.39,15.51,15.17,15.41,15.41,470556,0.0,1.0
2019-07-19,15.63,15.79,15.17,15.31,15.31,734161,0.0,1.0
2019-07-18,15.38,15.49,14.97,15.49,15.49,1115276,0.0,1.0
2019-07-17,15.8,16.0611,15.4,15.48,15.48,1309368,0.0,1.0
2019-07-16,16.6,16.6486,15.65,15.76,15.76,1310585,0.0,1.0
2019-07-15,16.48,16.65,16.26,16.32,16.32,708841,0.0,1.0
2019-07-12,16.4,16.57,16.12,16.39,16.39,727262,0.0,1.0
2019-07-11,16.45,16.55,16.11,16.35,16.35,724587,0.0,1.0
2019-07-10,16.37,16.745,16.26,16.45,16.45,762364,0.0,1.0
2019-07-09,15.91,16.38,15.76,16.36,16.36,998018,0.0,1.0
2019-07-08,15.97,16.18,15.8425,16.05,16.05,870151,0.0,1.0
2019-07-05,15.82,16.16,15.71,16.11,16.11,771338,0.0,1.0
2019-07-03,15.9,16.25,15.72,16.04,16.04,863186,0.0,1.0
2019-07-02,15.47,15.895,15.15,15.85,15.85,1252094,0.0,1.0
2019-07-01,15.46,15.885,15.35,15.46,15.46,2005352,0.0,1.0
2019-06-28,15.03,15.39,14.935,15.32,15.32,13166392,0.0,1.0
2019-06-27,14.75,15.23,14.71,15.03,15.03,1262827,0.0,1.0
2019-06-26,15.0,15.39,14.6,14.74,14.74,1205658,0.0,1.0
2019-06-25,15.04,15.095,14.61,14.89,14.89,1663662,0.0,1.0
2019-06-24,15.88,15.94,15.0,15.12,15.12,1745352,0.0,1.0
2019-06-21,15.73,16.0,15.5,15.91,15.91,3802334,0.0,1.0
2019-06-20,16.15,16.3,15.5,15.71,15.71,1536617,0.0,1.0
2019-06-19,15.66,16.2788,15.63,15.91,15.91,1396881,0.0,1.0
2019-06-18,15.53,16.0,15.47,15.66,15.66,1431967,0.0,1.0
2019-06-17,14.73,15.64,14.73,15.5,15.5,1852177,0.0,1.0
2019-06-14,14.8,14.85,14.4,14.73,14.73,1297230,0.0,1.0
2019-06-13,15.2,15.29,14.68,14.94,14.94,1242920,0.0,1.0
2019-06-12,14.02,15.18,14.0,14.97,14.97,3071126,0.0,1.0
2019-06-11,14.87,14.9157,14.15,14.17,14.17,2441130,0.0,1.0
2019-06-10,14.81,15.47,14.65,14.76,14.76,3202794,0.0,1.0
2019-06-07,14.5,14.98,14.4,14.56,14.56,2069643,0.0,1.0
2019-06-06,14.16,14.72,14.1,14.57,14.57,2180721,0.0,1.0
2019-06-05,14.55,14.65,13.96,14.18,14.18,2229907,0.0,1.0
2019-06-04,13.6,14.44,13.45,14.3,14.3,3076246,0.0,1.0
2019-06-03,14.0,14.02,13.04,13.26,13.26,8121700,0.0,1.0
2019-05-31,13.36,14.2399,13.35,13.99,13.99,18995249,0.0,1.0
2019-05-30,20.54,20.87,19.7315,19.9,19.9,3951011,0.0,1.0
2019-05-29,21.27,21.31,20.06,20.35,20.35,2474643,0.0,1.0
2019-05-28,21.32,22.01,21.19,21.37,21.37,2190050,0.0,1.0
2019-05-24,21.09,21.37,20.81,21.35,21.35,1172549,0.0,1.0
2019-05-23,22.1,22.17,20.32,20.8,20.8,3787320,0.0,1.0
2019-05-22,22.53,22.84,22.29,22.39,22.39,1036814,0.0,1.0
2019-05-21,22.3,22.79,22.22,22.59,22.59,1599081,0.0,1.0
2019-05-20,22.0,22.23,21.664,22.06,22.06,953346,0.0,1.0
2019-05-17,22.34,22.89,22.06,22.33,22.33,777698,0.0,1.0
2019-05-16,22.27,23.0,22.27,22.56,22.56,1357801,0.0,1.0
2019-05-15,21.61,22.45,21.603,22.24,22.24,892058,0.0,1.0
2019-05-14,21.31,21.93,21.21,21.81,21.81,1095310,0.0,1.0
2019-05-13,21.82,21.931,20.99,21.13,21.13,1135494,0.0,1.0
2019-05-10,22.22,22.48,21.38,22.35,22.35,1370073,0.0,1.0
2019-05-09,21.94,22.805,21.15,22.45,22.45,1372766,0.0,1.0
2019-05-08,22.1,22.84,22.03,22.26,22.26,1249826,0.0,1.0
2019-05-07,22.5,22.98,21.68,22.1,22.1,1616292,0.0,1.0
2019-05-06,21.78,23.04,21.36,22.87,22.87,2885448,0.0,1.0
2019-05-03,21.54,22.33,21.4,22.24,22.24,1149178,0.0,1.0
2019-05-02,21.45,21.77,21.01,21.36,21.36,1110639,0.0,1.0
2019-05-01,22.21,22.2692,21.01,21.38,21.38,1659138,0.0,1.0
2019-04-30,22.01,22.65,21.94,22.1,22.1,1146347,0.0,1.0
2019-04-29,21.41,22.37,21.41,22.11,22.11,2141948,0.0,1.0
2019-04-26,21.45,21.95,21.21,21.35,21.35,1950036,0.0,1.0
2019-04-25,20.55,21.85,20.55,21.26,21.26,4727639,0.0,1.0
2019-04-24,20.2,20.4,19.87,20.05,20.05,1331984,0.0,1.0
2019-04-23,19.4,20.13,19.322,19.99,19.99,1320448,0.0,1.0
2019-04-22,19.07,19.5,18.95,19.32,19.32,883392,0.0,1.0
2019-04-18,19.39,19.64,18.88,19.22,19.22,1350491,0.0,1.0
2019-04-17,19.74,19.8,18.83,19.55,19.55,1687772,0.0,1.0
2019-04-16,19.37,19.74,18.85,19.49,19.49,1421981,0.0,1.0
2019-04-15,19.25,19.63,19.05,19.38,19.38,851861,0.0,1.0
2019-04-12,19.76,19.8789,19.18,19.34,19.34,1415748,0.0,1.0
2019-04-11,19.87,20.0,19.67,19.7,19.7,670162,0.0,1.0
2019-04-10,19.65,20.14,19.62,19.79,19.79,852138,0.0,1.0
2019-04-09,20.07,20.27,19.63,19.68,19.68,720290,0.0,1.0
2019-04-08,20.13,20.31,19.74,20.23,20.23,907615,0.0,1.0
2019-04-05,20.12,20.52,20.06,20.15,20.15,1360192,0.0,1.0
2019-04-04,20.54,20.87,19.7,20.14,20.14,2252250,0.0,1.0
2019-04-03,20.4,20.95,20.22,20.58,20.58,2029058,0.0,1.0
2019-04-02,19.73,20.31,19.6,20.25,20.25,1878443,0.0,1.0
2019-04-01,20.2,20.3,19.57,19.68,19.68,2698428,0.0,1.0
2019-03-29,19.76,20.13,19.38,20.03,20.03,2547677,0.0,1.0
2019-03-28,19.22,20.03,18.87,19.51,19.51,2057507,0.0,1.0
2019-03-27,19.23,19.34,18.13,19.2,19.2,4557875,0.0,1.0
2019-03-26,20.04,20.25,19.13,19.48,19.48,5074344,0.0,1.0
2019-03-25,20.75,20.82,19.51,20.39,20.39,3656092,0.0,1.0
2019-03-22,22.28,23.9699,20.28,20.91,20.91,10602377,0.0,1.0
2019-03-21,23.82,24.4336,23.68,24.33,24.33,5054488,0.0,1.0
2019-03-20,23.83,24.23,23.4,23.74,23.74,1830284,0.0,1.0
2019-03-19,24.0,24.41,23.3101,23.43,23.43,2485611,0.0,1.0
2019-03-18,23.64,23.74,22.77,23.06,23.06,1050645,0.0,1.0
2019-03-15,23.55,23.85,23.09,23.41,23.41,1293007,0.0,1.0
2019-03-14,23.58,24.0,23.28,23.5,23.5,1011243,0.0,1.0
2019-03-13,23.58,24.22,23.45,23.63,23.63,1479676,0.0,1.0
2019-03-12,23.65,24.05,23.4,23.52,23.52,1250559,0.0,1.0
2019-03-11,23.1,24.17,23.1,23.55,23.55,1540636,0.0,1.0
2019-03-08,22.65,23.45,22.36,23.04,23.04,1086762,0.0,1.0
2019-03-07,22.4,23.6,22.31,22.98,22.98,1130403,0.0,1.0
2019-03-06,22.33,23.3,22.25,22.4,22.4,957388,0.0,1.0
2019-03-05,22.71,22.8,22.04,22.5,22.5,2156023,0.0,1.0
2019-03-04,23.7,23.72,21.63,22.81,22.81,1806398,0.0,1.0
2019-03-01,24.09,24.2,23.36,23.41,23.41,1813098,0.0,1.0
2019-02-28,24.44,24.54,23.75,23.76,23.76,916689,0.0,1.0
2019-02-27,23.66,24.65,23.27,24.55,24.55,1258961,0.0,1.0
2019-02-26,24.28,24.48,23.51,23.64,23.64,1185854,0.0,1.0
2019-02-25,24.28,24.47,23.65,24.24,24.24,1641260,0.0,1.0
2019-02-22,23.69,24.07,23.52,23.97,23.97,1741140,0.0,1.0
2019-02-21,23.14,23.45,22.39,23.31,23.31,830555,0.0,1.0
2019-02-20,23.25,23.7,23.04,23.18,23.18,1624348,0.0,1.0
2019-02-19,22.54,23.5,22.32,23.22,23.22,1430220,0.0,1.0
2019-02-15,22.6,23.02,22.41,22.5,22.5,1324633,0.0,1.0
2019-02-14,21.0,22.845,21.0,22.51,22.51,2648462,0.0,1.0
2019-02-13,20.83,21.47,20.8201,21.18,21.18,1043332,0.0,1.0
2019-02-12,20.54,20.9,20.4,20.68,20.68,664024,0.0,1.0
2019-02-11,21.46,21.46,20.08,20.27,20.27,1199378,0.0,1.0
2019-02-08,20.6,21.49,20.5829,21.3,21.3,934083,0.0,1.0
2019-02-07,20.39,20.98,19.8,20.82,20.82,1321281,0.0,1.0
2019-02-06,21.39,21.51,20.29,20.53,20.53,1143591,0.0,1.0
2019-02-05,21.5,21.72,21.0201,21.39,21.39,1307464,0.0,1.0
2019-02-04,20.98,21.85,20.98,21.39,21.39,542981,0.0,1.0
2019-02-01,21.23,21.4,20.5,21.16,21.16,1250003,0.0,1.0
2019-01-31,21.38,22.445,21.28,21.64,21.64,1216765,0.0,1.0
2019-01-30,21.24,21.48,20.9,21.34,21.34,650132,0.0,1.0
2019-01-29,21.14,21.31,20.86,20.87,20.87,421313,0.0,1.0
2019-01-28,21.05,21.38,20.85,21.13,21.13,643122,0.0,1.0
2019-01-25,20.48,21.48,20.21,21.36,21.36,1479813,0.0,1.0
2019-01-24,20.35,20.66,19.82,20.39,20.39,787985,0.0,1.0
2019-01-23,21.5,21.64,19.92,20.43,20.43,1029089,0.0,1.0
2019-01-22,20.92,21.55,20.61,21.34,21.34,892469,0.0,1.0
2019-01-18,20.95,21.6,20.9,21.14,21.14,2241669,0.0,1.0
2019-01-17,20.15,20.95,20.0467,20.76,20.76,1580874,0.0,1.0
2019-01-16,20.25,20.75,19.86,20.2,20.2,1442313,0.0,1.0
2019-01-15,19.84,20.5,19.66,20.48,20.48,1278571,0.0,1.0
2019-01-14,19.9,19.95,19.5,19.77,19.77,651627,0.0,1.0
2019-01-11,19.84,19.99,19.64,19.97,19.97,591588,0.0,1.0
2019-01-10,19.68,20.11,19.12,19.93,19.93,1870734,0.0,1.0
2019-01-09,19.9,20.0,19.7113,19.88,19.88,1011224,0.0,1.0
2019-01-08,19.94,19.94,19.32,19.74,19.74,889700,0.0,1.0
2019-01-07,18.83,19.85,18.76,19.49,19.49,1602812,0.0,1.0
2019-01-04,18.09,18.66,17.96,18.55,18.55,1355322,0.0,1.0
2019-01-03,17.86,18.2098,17.27,17.68,17.68,766703,0.0,1.0
2019-01-02,17.7,18.67,17.65,18.2,18.2,1039498,0.0,1.0
2018-12-31,17.95,18.15,17.7601,18.14,18.14,1125526,0.0,1.0
2018-12-28,17.94,18.16,17.41,17.65,17.65,1141001,0.0,1.0
2018-12-27,17.31,17.92,16.62,17.9,17.9,1011304,0.0,1.0
2018-12-26,16.68,17.82,16.37,17.81,17.81,1092333,0.0,1.0
2018-12-24,15.67,16.85,15.56,16.36,16.36,550036,0.0,1.0
2018-12-21,17.06,17.06,15.88,16.08,16.08,2518287,0.0,1.0
2018-12-20,18.23,18.44,16.69,17.04,17.04,1987718,0.0,1.0
2018-12-19,16.77,18.36,16.7099,17.52,17.52,2647524,0.0,1.0
2018-12-18,16.57,17.1,16.4,16.8,16.8,1970500,0.0,1.0
2018-12-17,17.87,18.08,16.1,16.15,16.15,2642537,0.0,1.0
2018-12-14,17.87,18.53,17.65,18.24,18.24,1039184,0.0,1.0
2018-12-13,18.9,19.09,18.0,18.1,18.1,1024592,0.0,1.0
2018-12-12,18.58,19.08,18.58,18.72,18.72,1912032,0.0,1.0
2018-12-11,18.59,19.5,17.9,18.47,18.47,1884994,0.0,1.0
2018-12-10,18.04,18.62,17.79,18.05,18.05,1192809,0.0,1.0
2018-12-07,18.43,18.5667,17.81,18.14,18.14,1022478,0.0,1.0
2018-12-06,17.9,18.53,17.55,18.53,18.53,1374674,0.0,1.0
2018-12-04,18.91,18.91,18.0,18.1,18.1,2027873,0.0,1.0
2018-12-03,20.2,20.23,18.81,19.25,19.25,1596645,0.0,1.0
2018-11-30,19.13,20.5,18.3465,19.03,19.03,3640975,0.0,1.0
2018-11-29,20.24,20.69,19.71,20.56,20.56,2824103,0.0,1.0
2018-11-28,19.24,20.18,18.91,20.0,20.0,1575794,0.0,1.0
2018-11-27,18.61,19.2399,18.4728,18.75,18.75,939363,0.0,1.0
2018-11-26,18.2,18.97,18.044,18.83,18.83,850166,0.0,1.0
2018-11-23,17.3,18.3,17.2092,17.93,17.93,397738,0.0,1.0
2018-11-21,17.79,18.0,17.37,17.66,17.66,822589,0.0,1.0
2018-11-20,16.52,17.77,16.0,17.4,17.4,2012141,0.0,1.0
2018-11-19,20.73,20.8,17.71,17.76,17.76,2166179,0.0,1.0
2018-11-16,21.05,21.51,20.39,20.73,20.73,780597,0.0,1.0
2018-11-15,20.37,21.38,20.26,21.27,21.27,819416,0.0,1.0
2018-11-14,20.78,21.0,20.3107,20.45,20.45,855214,0.0,1.0
2018-11-13,20.48,21.1,20.22,20.46,20.46,670838,0.0,1.0
2018-11-12,20.93,21.1,20.0,20.33,20.33,795974,0.0,1.0
2018-11-09,21.44,21.6995,20.38,20.97,20.97,1010583,0.0,1.0
2018-11-08,21.5,22.02,21.1,21.85,21.85,1211421,0.0,1.0
2018-11-07,21.24,21.51,20.85,21.49,21.49,1770232,0.0,1.0
2018-11-06,20.87,21.19,20.5,20.8,20.8,786734,0.0,1.0
2018-11-05,20.94,21.0246,20.2393,20.71,20.71,600729,0.0,1.0
2018-11-02,20.8,21.2754,20.49,20.78,20.78,1342263,0.0,1.0
2018-11-01,20.52,20.9,20.01,20.6,20.6,1264683,0.0,1.0
2018-10-31,19.71,20.51,19.5011,20.42,20.42,1718468,0.0,1.0
2018-10-30,18.49,19.35,18.4,19.35,19.35,1110411,0.0,1.0
2018-10-29,19.55,19.94,18.18,18.46,18.46,1141609,0.0,1.0
2018-10-26,18.51,19.49,18.451,19.03,19.03,1063594,0.0,1.0
2018-10-25,18.12,19.62,17.87,19.32,19.32,1395728,0.0,1.0
2018-10-24,19.45,19.69,17.87,17.91,17.91,1173595,0.0,1.0
2018-10-23,18.87,19.79,18.58,19.49,19.49,859454,0.0,1.0
2018-10-22,20.11,20.21,19.21,19.4,19.4,1180948,0.0,1.0
2018-10-19,21.085,21.29,19.78,20.0,20.0,1828720,0.0,1.0
2018-10-18,20.72,21.31,20.257,20.9,20.9,1174440,0.0,1.0
2018-10-17,21.07,21.25,20.0005,20.83,20.83,1252077,0.0,1.0
2018-10-16,20.45,21.1,19.81,20.91,20.91,2125155,0.0,1.0
2018-10-15,18.03,20.3,17.73,19.79,19.79,3176754,0.0,1.0
2018-10-12,19.21,19.21,17.96,18.1,18.1,2350270,0.0,1.0
2018-10-11,18.5,18.92,17.72,17.83,17.83,2642811,0.0,1.0
2018-10-10,19.28,20.11,18.15,18.51,18.51,2509598,0.0,1.0
2018-10-09,19.5,20.1,18.97,19.65,19.65,4979986,0.0,1.0
2018-10-08,20.89,21.24,19.77,19.94,19.94,2119572,0.0,1.0
