timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,52.25,52.875,52.01,52.84,52.84,3110035,0.0,1.0
2019-07-23,52.64,52.885,52.125,52.39,52.39,3013762,0.0,1.0
2019-07-22,52.85,52.93,52.11,52.46,52.46,2444351,0.0,1.0
2019-07-19,53.47,53.5,52.76,52.77,52.77,2322268,0.0,1.0
2019-07-18,53.02,53.405,52.66,53.28,53.28,3415987,0.0,1.0
2019-07-17,52.66,53.11,52.43,53.05,53.05,3595773,0.0,1.0
2019-07-16,52.96,53.385,52.75,52.86,52.86,5142905,0.0,1.0
2019-07-15,53.49,53.865,52.63,53.12,53.12,3792025,0.0,1.0
2019-07-12,53.64,53.73,52.96,53.44,53.44,3420472,0.0,1.0
2019-07-11,54.66,54.73,53.29,53.56,53.56,5411593,0.0,1.0
2019-07-10,53.69,54.74,53.69,54.5,54.5,5428027,0.0,1.0
2019-07-09,53.58,53.69,52.815,53.31,53.31,3767181,0.49,1.0
2019-07-08,54.23,54.63,53.81,54.05,53.5577,3483172,0.0,1.0
2019-07-05,54.15,54.3,53.22,54.18,53.6865,2955479,0.0,1.0
2019-07-03,53.84,54.6,53.72,54.34,53.8451,4190815,0.0,1.0
2019-07-02,53.44,53.68,53.005,53.55,53.0623,3700268,0.0,1.0
2019-07-01,52.89,53.875,52.68,53.33,52.8443,5756469,0.0,1.0
2019-06-28,52.15,53.005,51.96,52.52,52.0417,6302331,0.0,1.0
2019-06-27,51.2,52.345,50.87,52.22,51.7444,5996771,0.0,1.0
2019-06-26,50.39,51.93,48.57,51.31,50.8427,15537900,0.0,1.0
2019-06-25,53.87,54.14,53.51,53.7,53.2109,5883405,0.0,1.0
2019-06-24,54.0,54.14,53.3,53.67,53.1812,3151889,0.0,1.0
2019-06-21,54.04,54.39,53.75,53.77,53.2803,7342079,0.0,1.0
2019-06-20,53.35,54.19,52.9,54.02,53.528,4221146,0.0,1.0
2019-06-19,52.37,53.365,52.09,53.32,52.8344,3321983,0.0,1.0
2019-06-18,53.28,53.33,52.4,52.45,51.9723,3015070,0.0,1.0
2019-06-17,53.5,53.64,52.6,52.98,52.4975,2884008,0.0,1.0
2019-06-14,53.16,53.6,53.1,53.41,52.9236,2449934,0.0,1.0
2019-06-13,52.69,53.165,52.61,52.99,52.5074,2496771,0.0,1.0
2019-06-12,52.66,52.86,52.42,52.61,52.1308,3152184,0.0,1.0
2019-06-11,51.1,52.56,51.0,52.37,51.893,4044755,0.0,1.0
2019-06-10,51.7,51.85,50.82,51.34,50.8724,2718297,0.0,1.0
2019-06-07,51.62,52.04,51.55,51.81,51.3381,2749040,0.0,1.0
2019-06-06,51.34,51.51,50.83,51.33,50.8625,3412532,0.0,1.0
2019-06-05,51.55,51.65,51.0,51.28,50.813,4372262,0.0,1.0
2019-06-04,50.89,51.19,50.62,50.88,50.4166,4467298,0.0,1.0
2019-06-03,49.43,50.88,49.43,50.64,50.1788,4230396,0.0,1.0
2019-05-31,48.59,49.495,48.32,49.44,48.9897,4499301,0.0,1.0
2019-05-30,48.44,48.98,48.24,48.82,48.3754,5389012,0.0,1.0
2019-05-29,49.05,49.11,47.78,48.25,47.8105,11266672,0.0,1.0
2019-05-28,52.57,52.94,51.05,51.09,50.6247,7617145,0.0,1.0
2019-05-24,53.45,53.53,52.78,52.81,52.329,3033908,0.0,1.0
2019-05-23,52.6,53.66,52.38,53.43,52.9434,6855647,0.0,1.0
2019-05-22,52.49,52.8,51.98,52.71,52.2299,2876165,0.0,1.0
2019-05-21,52.77,52.81,52.29,52.39,51.9128,3501400,0.0,1.0
2019-05-20,52.35,52.88,52.24,52.71,52.2299,4319456,0.0,1.0
2019-05-17,52.05,52.56,51.9,52.4,51.9228,3954393,0.0,1.0
2019-05-16,52.42,53.0,51.9681,52.1,51.6255,5230402,0.0,1.0
2019-05-15,51.91,52.46,51.51,52.41,51.9327,2355819,0.0,1.0
2019-05-14,51.77,52.295,51.51,51.97,51.4967,3254230,0.0,1.0
2019-05-13,51.14,51.91,50.96,51.79,51.3183,3053624,0.0,1.0
2019-05-10,51.17,51.61,50.65,51.54,51.0706,2921662,0.0,1.0
2019-05-09,50.94,51.545,50.78,51.41,50.9418,3621433,0.0,1.0
2019-05-08,51.25,51.25,50.605,50.87,50.4067,2645068,0.0,1.0
2019-05-07,51.06,51.43,50.91,51.19,50.7238,3548028,0.0,1.0
2019-05-06,51.13,51.57,50.81,51.45,50.9814,2224427,0.0,1.0
2019-05-03,51.23,51.5027,51.105,51.18,50.7139,2407957,0.0,1.0
2019-05-02,51.04,51.345,50.65,51.26,50.7931,2978337,0.0,1.0
2019-05-01,51.56,51.73,51.15,51.31,50.8427,3563667,0.0,1.0
2019-04-30,51.07,51.63,50.95,51.47,51.0012,4730559,0.0,1.0
2019-04-29,50.94,51.1,50.84,50.94,50.476,2248389,0.0,1.0
2019-04-26,50.55,51.1,50.29,51.09,50.6247,2812370,0.0,1.0
2019-04-25,50.45,50.64,50.02,50.22,49.7626,4034793,0.0,1.0
2019-04-24,50.89,51.25,50.4601,50.68,50.2184,5687168,0.0,1.0
